"hydroid"	"bundle"	"ftype"	"hydrocode"	"name"	"fstatus"	"address1"	"address2"	"city"	"state"	"postal_code"	"description"	"uid"	"status"	"module"	"feed_nid"	"dh_link_facility_mps"	"dh_nextdown_id"	"dh_areasqkm"	"dh_link_admin_location"	"field_dh_from_entity"	"field_dh_to_entity"	"dh_geofield"	"geom"
"442497"	"transfer"	"release"	"vahydro_DC0022004001"	"TO DC0022004001"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441037"	""	""	""	""	""	"POINT (-77.04167 38.81953)"	"POINT (-77.04167 38.81953)"
"442498"	"transfer"	"release"	"vahydro_DC0022004101"	"TO DC0022004101"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441037"	""	""	""	""	""	"POINT (-77.04167 38.81953)"	"POINT (-77.04167 38.81953)"
"442499"	"transfer"	"release"	"vahydro_DC0022004102"	"TO DC0022004102"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441037"	""	""	""	""	""	"POINT (-77.04167 38.81953)"	"POINT (-77.04167 38.81953)"
"442500"	"transfer"	"release"	"vahydro_VA0000248006"	"TO VA0000248006"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441049"	""	""	""	""	""	"POINT (-80.541111 37.180556)"	"POINT (-80.541111 37.180556)"
"442501"	"transfer"	"release"	"vahydro_VA0000248402"	"TO VA0000248402"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441049"	""	""	""	""	""	"POINT (-80.541111 37.180556)"	"POINT (-80.541111 37.180556)"
"442502"	"transfer"	"release"	"vahydro_VA0000281001"	"TO VA0000281001"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441050"	""	""	""	""	""	"POINT (-80.785698 37.048018)"	"POINT (-80.785698 37.048018)"
"442503"	"transfer"	"release"	"vahydro_VA0000370001"	"TO VA0000370001"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441052"	""	""	""	""	""	"POINT (-80.8616 37.37039)"	"POINT (-80.8616 37.37039)"
"442504"	"transfer"	"release"	"vahydro_VA0000370002"	"TO VA0000370002"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441052"	""	""	""	""	""	"POINT (-80.8616 37.37039)"	"POINT (-80.8616 37.37039)"
"442505"	"transfer"	"release"	"vahydro_VA0000370003"	"TO VA0000370003"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441052"	""	""	""	""	""	"POINT (-80.8616 37.37039)"	"POINT (-80.8616 37.37039)"
"442506"	"transfer"	"release"	"vahydro_VA0000370004"	"TO VA0000370004"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441052"	""	""	""	""	""	"POINT (-80.8616 37.37039)"	"POINT (-80.8616 37.37039)"
"442507"	"transfer"	"release"	"vahydro_VA0000370005"	"TO VA0000370005"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441052"	""	""	""	""	""	"POINT (-80.8616 37.37039)"	"POINT (-80.8616 37.37039)"
"442508"	"transfer"	"release"	"vahydro_VA0000370006"	"TO VA0000370006"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441052"	""	""	""	""	""	"POINT (-80.8616 37.37039)"	"POINT (-80.8616 37.37039)"
"442509"	"transfer"	"release"	"vahydro_VA0000370007"	"TO VA0000370007"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441052"	""	""	""	""	""	"POINT (-80.8616 37.37039)"	"POINT (-80.8616 37.37039)"
"442510"	"transfer"	"release"	"vahydro_VA0000523001"	"TO VA0000523001"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441053"	""	""	""	""	""	"POINT (-80.6625 37.3828)"	"POINT (-80.6625 37.3828)"
"442511"	"transfer"	"release"	"vahydro_VA0001015003"	"TO VA0001015003"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441054"	""	""	""	""	""	"POINT (-82.145269 36.990541)"	"POINT (-82.145269 36.990541)"
"442512"	"transfer"	"release"	"vahydro_VA0001015007"	"TO VA0001015007"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441054"	""	""	""	""	""	"POINT (-82.145269 36.990541)"	"POINT (-82.145269 36.990541)"
"442513"	"transfer"	"release"	"vahydro_VA0001015008"	"TO VA0001015008"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441054"	""	""	""	""	""	"POINT (-82.145269 36.990541)"	"POINT (-82.145269 36.990541)"
"442514"	"transfer"	"release"	"vahydro_VA0001015015"	"TO VA0001015015"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441054"	""	""	""	""	""	"POINT (-82.145269 36.990541)"	"POINT (-82.145269 36.990541)"
"442515"	"transfer"	"release"	"vahydro_VA0001015D03"	"TO VA0001015D03"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441054"	""	""	""	""	""	"POINT (-82.145269 36.990541)"	"POINT (-82.145269 36.990541)"
"442516"	"transfer"	"release"	"vahydro_VA0001309001"	"TO VA0001309001"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441056"	""	""	""	""	""	"POINT (-79.411421 36.777769)"	"POINT (-79.411421 36.777769)"
"442517"	"transfer"	"release"	"vahydro_VA0001309101"	"TO VA0001309101"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441056"	""	""	""	""	""	"POINT (-79.411421 36.777769)"	"POINT (-79.411421 36.777769)"
"442518"	"transfer"	"release"	"vahydro_VA0001431001"	"TO VA0001431001"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441058"	""	""	""	""	""	"POINT (-79.9897 37.21328)"	"POINT (-79.9897 37.21328)"
"442519"	"transfer"	"release"	"vahydro_VA0001449001"	"TO VA0001449001"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441059"	""	""	""	""	""	"POINT (-79.40356 37.40734)"	"POINT (-79.40356 37.40734)"
"442520"	"transfer"	"release"	"vahydro_VA0001490001"	"TO VA0001490001"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441061"	""	""	""	""	""	"POINT (-79.726847 37.383623)"	"POINT (-79.726847 37.383623)"
"442521"	"transfer"	"release"	"vahydro_VA0001554001"	"TO VA0001554001"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441062"	""	""	""	""	""	"POINT (-80.263324 36.775033)"	"POINT (-80.263324 36.775033)"
"442522"	"transfer"	"release"	"vahydro_VA0001589005"	"TO VA0001589005"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441063"	""	""	""	""	""	"POINT (-79.99861 37.27251)"	"POINT (-79.99861 37.27251)"
"442523"	"transfer"	"release"	"vahydro_VA0001597002"	"TO VA0001597002"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441064"	""	""	""	""	""	"POINT (-79.976829 37.282513)"	"POINT (-79.976829 37.282513)"
"442524"	"transfer"	"release"	"vahydro_VA0001678001"	"TO VA0001678001"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441065"	""	""	""	""	""	"POINT (-79.30821 37.09389)"	"POINT (-79.30821 37.09389)"
"442525"	"transfer"	"release"	"vahydro_VA0001767001"	"TO VA0001767001"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441066"	""	""	""	""	""	"POINT (-78.8277 38.25863)"	"POINT (-78.8277 38.25863)"
"442526"	"transfer"	"release"	"vahydro_VA0001767101"	"TO VA0001767101"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441066"	""	""	""	""	""	"POINT (-78.8277 38.25863)"	"POINT (-78.8277 38.25863)"
"442527"	"transfer"	"release"	"vahydro_VA0001872001"	"TO VA0001872001"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441067"	""	""	""	""	""	"POINT (-77.27795 38.84781)"	"POINT (-77.27795 38.84781)"
"442528"	"transfer"	"release"	"vahydro_VA0001872101"	"TO VA0001872101"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441067"	""	""	""	""	""	"POINT (-77.27795 38.84781)"	"POINT (-77.27795 38.84781)"
"442529"	"transfer"	"release"	"vahydro_VA0001872102"	"TO VA0001872102"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441067"	""	""	""	""	""	"POINT (-77.27795 38.84781)"	"POINT (-77.27795 38.84781)"
"442530"	"transfer"	"release"	"vahydro_VA0001945001"	"TO VA0001945001"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441068"	""	""	""	""	""	"POINT (-77.193611 38.735833)"	"POINT (-77.193611 38.735833)"
"442531"	"transfer"	"release"	"vahydro_VA0001945901"	"TO VA0001945901"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441068"	""	""	""	""	""	"POINT (-77.193611 38.735833)"	"POINT (-77.193611 38.735833)"
"442532"	"transfer"	"release"	"vahydro_VA0001961001"	"TO VA0001961001"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441069"	""	""	""	""	""	"POINT (-78.59135 38.587847)"	"POINT (-78.59135 38.587847)"
"442533"	"transfer"	"release"	"vahydro_VA0001988001"	"TO VA0001988001"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441070"	""	""	""	""	""	"POINT (-77.1909 38.73367)"	"POINT (-77.1909 38.73367)"
"442534"	"transfer"	"release"	"vahydro_VA0002071001"	"TO VA0002071001"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441071"	""	""	""	""	""	"POINT (-77.2786 38.5391)"	"POINT (-77.2786 38.5391)"
"442535"	"transfer"	"release"	"vahydro_VA0002071003"	"TO VA0002071003"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441071"	""	""	""	""	""	"POINT (-77.2786 38.5391)"	"POINT (-77.2786 38.5391)"
"442536"	"transfer"	"release"	"vahydro_VA0002071007"	"TO VA0002071007"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441071"	""	""	""	""	""	"POINT (-77.2786 38.5391)"	"POINT (-77.2786 38.5391)"
"442537"	"transfer"	"release"	"vahydro_VA0002071008"	"TO VA0002071008"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441071"	""	""	""	""	""	"POINT (-77.2786 38.5391)"	"POINT (-77.2786 38.5391)"
"442538"	"transfer"	"release"	"vahydro_VA0002071009"	"TO VA0002071009"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441071"	""	""	""	""	""	"POINT (-77.2786 38.5391)"	"POINT (-77.2786 38.5391)"
"442539"	"transfer"	"release"	"vahydro_VA0002151003"	"TO VA0002151003"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441072"	""	""	""	""	""	"POINT (-77.298272 38.518351)"	"POINT (-77.298272 38.518351)"
"442540"	"transfer"	"release"	"vahydro_VA0002151007"	"TO VA0002151007"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441072"	""	""	""	""	""	"POINT (-77.298272 38.518351)"	"POINT (-77.298272 38.518351)"
