"hydroid"	"bundle"	"ftype"	"hydrocode"	"name"	"fstatus"	"address1"	"address2"	"city"	"state"	"postal_code"	"description"	"uid"	"status"	"module"	"feed_nid"	"dh_link_facility_mps"	"dh_nextdown_id"	"dh_areasqkm"	"dh_link_admin_location"	"field_dh_from_entity"	"field_dh_to_entity"	"dh_geofield"	"geom"
"444754"	"transfer"	"outfall"	"echo_VA0089460001"	"FROM VA0089460"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441906"	""	""	""	""	""	"POINT (-77.544117000413 38.313611000185)"	"POINT (-77.544117000413 38.313611000185)"
"444755"	"transfer"	"outfall"	"echo_VA0089486001"	"FROM VA0089486"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441908"	""	""	""	""	""	"POINT (-78.73694444468 37.35083333313)"	"POINT (-78.73694444468 37.35083333313)"
"444756"	"transfer"	"outfall"	"echo_VA0089508001"	"FROM VA0089508"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441909"	""	""	""	""	""	"POINT (-78.871678 38.424235)"	"POINT (-78.871678 38.424235)"
"444757"	"transfer"	"outfall"	"echo_VA0089541020"	"FROM VA0089541"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441910"	""	""	""	""	""	"POINT (-77.429999999792 38.946111111302)"	"POINT (-77.429999999792 38.946111111302)"
"444758"	"transfer"	"outfall"	"echo_VA0089541021"	"FROM VA0089541"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441910"	""	""	""	""	""	"POINT (-77.430555555693 38.939722221962)"	"POINT (-77.430555555693 38.939722221962)"
"444759"	"transfer"	"outfall"	"echo_VA0089541025"	"FROM VA0089541"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441910"	""	""	""	""	""	"POINT (-77.440833333572 38.922777777823)"	"POINT (-77.440833333572 38.922777777823)"
"444760"	"transfer"	"outfall"	"echo_VA0089541032"	"FROM VA0089541"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441910"	""	""	""	""	""	"POINT (-77.475832999598 38.938610999751)"	"POINT (-77.475832999598 38.938610999751)"
"444761"	"transfer"	"outfall"	"echo_VA0089541551"	"FROM VA0089541"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441910"	""	""	""	""	""	"POINT (-77.464999999992 38.989444444575)"	"POINT (-77.464999999992 38.989444444575)"
"444762"	"transfer"	"outfall"	"echo_VA0089541552"	"FROM VA0089541"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441910"	""	""	""	""	""	"POINT (-77.464444444091 38.918333333557)"	"POINT (-77.464444444091 38.918333333557)"
"444763"	"transfer"	"outfall"	"echo_VA0089541553"	"FROM VA0089541"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441910"	""	""	""	""	""	"POINT (-77.453615999841 38.974445000177)"	"POINT (-77.453615999841 38.974445000177)"
"444764"	"transfer"	"outfall"	"echo_VA0089541554"	"FROM VA0089541"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441910"	""	""	""	""	""	"POINT (-77.461393999846 38.947222999845)"	"POINT (-77.461393999846 38.947222999845)"
"444765"	"transfer"	"outfall"	"echo_VA0089541555"	"FROM VA0089541"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441910"	""	""	""	""	""	"POINT (-77.453337000181 38.929444000152)"	"POINT (-77.453337000181 38.929444000152)"
"444766"	"transfer"	"outfall"	"echo_VA0089583001"	"FROM VA0089583"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441912"	""	""	""	""	""	"POINT (-81.138611111449 37.192499999738)"	"POINT (-81.138611111449 37.192499999738)"
"444767"	"transfer"	"outfall"	"echo_VA0089605001"	"FROM VA0089605"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441914"	""	""	""	""	""	"POINT (-76.338889999787 36.887028000139)"	"POINT (-76.338889999787 36.887028000139)"
"444768"	"transfer"	"outfall"	"echo_VA0089630001"	"FROM VA0089630"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441915"	""	""	""	""	""	"POINT (-77.468333333601 38.446944444194)"	"POINT (-77.468333333601 38.446944444194)"
"444769"	"transfer"	"outfall"	"echo_VA0089729001"	"FROM VA0089729"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441919"	""	""	""	""	""	"POINT (-78.95694444401 37.708055555785)"	"POINT (-78.95694444401 37.708055555785)"
"444770"	"transfer"	"outfall"	"echo_VA0089796001"	"FROM VA0089796"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441922"	""	""	""	""	""	"POINT (-77.113055555934 38.882499999729)"	"POINT (-77.113055555934 38.882499999729)"
"444771"	"transfer"	"outfall"	"echo_VA0089826001"	"FROM VA0089826"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441924"	""	""	""	""	""	"POINT (-76.629444444202 37.264722222196)"	"POINT (-76.629444444202 37.264722222196)"
"444772"	"transfer"	"outfall"	"echo_VA0089885001"	"FROM VA0089885"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441927"	""	""	""	""	""	"POINT (-79.279722222133 37.886388888858)"	"POINT (-79.279722222133 37.886388888858)"
"444773"	"transfer"	"outfall"	"echo_VA0089907001"	"FROM VA0089907"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441929"	""	""	""	""	""	"POINT (-81.991394 37.234906)"	"POINT (-81.991394 37.234906)"
"444774"	"transfer"	"outfall"	"echo_VA0089915001"	"FROM VA0089915"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441930"	""	""	""	""	""	"POINT (-77.185833333143 37.657500000069)"	"POINT (-77.185833333143 37.657500000069)"
"444775"	"transfer"	"outfall"	"echo_VA0089940001"	"FROM VA0089940"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441932"	""	""	""	""	""	"POINT (-77.74134 39.17148)"	"POINT (-77.74134 39.17148)"
"444776"	"transfer"	"outfall"	"echo_VA0089958001"	"FROM VA0089958"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441933"	""	""	""	""	""	"POINT (-78.099166666556 38.913333333629)"	"POINT (-78.099166666556 38.913333333629)"
"444777"	"transfer"	"outfall"	"echo_VA0089991001"	"FROM VA0089991"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441935"	""	""	""	""	""	"POINT (-80.394722221823 37.190833333334)"	"POINT (-80.394722221823 37.190833333334)"
"444778"	"transfer"	"outfall"	"echo_VA0090051001"	"FROM VA0090051"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441938"	""	""	""	""	""	"POINT (-78.513611110842 38.733888888958)"	"POINT (-78.513611110842 38.733888888958)"
"444779"	"transfer"	"outfall"	"echo_VA0090085001"	"FROM VA0090085"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441939"	""	""	""	""	""	"POINT (-78.946675999627 38.420266000091)"	"POINT (-78.946675999627 38.420266000091)"
"444780"	"transfer"	"outfall"	"echo_VA0090093001"	"FROM VA0090093"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441940"	""	""	""	""	""	"POINT (-77.238333333443 38.921388888624)"	"POINT (-77.238333333443 38.921388888624)"
"444781"	"transfer"	"outfall"	"echo_VA0090115001"	"FROM VA0090115"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441942"	""	""	""	""	""	"POINT (-81.765706 36.858292)"	"POINT (-81.765706 36.858292)"
"444782"	"transfer"	"outfall"	"echo_VA0090131001"	"FROM VA0090131"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441943"	""	""	""	""	""	"POINT (-78.136111111511 37.264444444123)"	"POINT (-78.136111111511 37.264444444123)"
"444783"	"transfer"	"outfall"	"echo_VA0090140001"	"FROM VA0090140"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441944"	""	""	""	""	""	"POINT (-77.916388889232 37.970555555431)"	"POINT (-77.916388889232 37.970555555431)"
"444784"	"transfer"	"outfall"	"echo_VA0090174001"	"FROM VA0090174"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441945"	""	""	""	""	""	"POINT (-79.9499999998 36.650000000035)"	"POINT (-79.9499999998 36.650000000035)"
"444785"	"transfer"	"outfall"	"echo_VA0090182001"	"FROM VA0090182"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441946"	""	""	""	""	""	"POINT (-82.071666666769 36.640277777795)"	"POINT (-82.071666666769 36.640277777795)"
