"hydroid"	"bundle"	"ftype"	"hydrocode"	"name"	"fstatus"	"address1"	"address2"	"city"	"state"	"postal_code"	"description"	"uid"	"status"	"module"	"feed_nid"	"dh_link_facility_mps"	"dh_nextdown_id"	"dh_areasqkm"	"dh_link_admin_location"	"field_dh_from_entity"	"field_dh_to_entity"	"dh_geofield"	"geom"
"445137"	"conveyance"	"water_transfer"	"vahydro_DC0022004_DC0022004001"	"DC0022004 TO DC0022004001"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	""	""	""	""	"442497"	"443817"	"LINESTRING (-77.04167 38.81953, -77.04167 38.81953)"	"LINESTRING (-77.04167 38.81953, -77.04167 38.81953)"
"445138"	"conveyance"	"water_transfer"	"vahydro_DC0022004_DC0022004101"	"DC0022004 TO DC0022004101"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	""	""	""	""	"442498"	"443818"	"LINESTRING (-77.04167 38.81953, -77.04167 38.81953)"	"LINESTRING (-77.04167 38.81953, -77.04167 38.81953)"
"445139"	"conveyance"	"water_transfer"	"vahydro_DC0022004_DC0022004102"	"DC0022004 TO DC0022004102"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	""	""	""	""	"442499"	"443819"	"LINESTRING (-77.04167 38.81953, -77.04167 38.81953)"	"LINESTRING (-77.04167 38.81953, -77.04167 38.81953)"
"445140"	"conveyance"	"water_transfer"	"vahydro_VA0000248_VA0000248006"	"VA0000248 TO VA0000248006"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	""	""	""	""	"442500"	"443820"	"LINESTRING (-80.541111 37.180556, -80.540277778038 37.193611110988)"	"LINESTRING (-80.541111 37.180556, -80.540277778038 37.193611110988)"
"445141"	"conveyance"	"water_transfer"	"vahydro_VA0000248_VA0000248402"	"VA0000248 TO VA0000248402"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	""	""	""	""	"442501"	"443821"	"LINESTRING (-80.541111 37.180556, -80.556944444287 37.185000000353)"	"LINESTRING (-80.541111 37.180556, -80.556944444287 37.185000000353)"
"445142"	"conveyance"	"water_transfer"	"vahydro_VA0000281_VA0000281001"	"VA0000281 TO VA0000281001"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	""	""	""	""	"442502"	"443822"	"LINESTRING (-80.785698 37.048018, -80.785698 37.048018)"	"LINESTRING (-80.785698 37.048018, -80.785698 37.048018)"
"445143"	"conveyance"	"water_transfer"	"vahydro_VA0000370_VA0000370001"	"VA0000370 TO VA0000370001"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	""	""	""	""	"442503"	"443823"	"LINESTRING (-80.8616 37.37039, -80.862222222309 37.371388888842)"	"LINESTRING (-80.8616 37.37039, -80.862222222309 37.371388888842)"
"445144"	"conveyance"	"water_transfer"	"vahydro_VA0000370_VA0000370002"	"VA0000370 TO VA0000370002"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	""	""	""	""	"442504"	"443824"	"LINESTRING (-80.8616 37.37039, -80.863333333213 37.371666666749)"	"LINESTRING (-80.8616 37.37039, -80.863333333213 37.371666666749)"
"445145"	"conveyance"	"water_transfer"	"vahydro_VA0000370_VA0000370003"	"VA0000370 TO VA0000370003"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	""	""	""	""	"442505"	"443825"	"LINESTRING (-80.8616 37.37039, -80.863888889114 37.371944444342)"	"LINESTRING (-80.8616 37.37039, -80.863888889114 37.371944444342)"
"445146"	"conveyance"	"water_transfer"	"vahydro_VA0000370_VA0000370004"	"VA0000370 TO VA0000370004"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	""	""	""	""	"442506"	"443826"	"LINESTRING (-80.8616 37.37039, -80.867222221825 37.373611111143)"	"LINESTRING (-80.8616 37.37039, -80.867222221825 37.373611111143)"
