"DEQ.ID.of.Source"	"FacilityName"	"FacilityID"	"Latitude"	"Longitude"	"flag"
58747	"L TOM LEWIS"	73252	0.1	0.1	"vwuds_flag_coord"
58748	"L TOM LEWIS"	73252	0.1	0.1	"vwuds_flag_coord"
58752	"Cubberley Farms"	67210	0.1	0.1	"vwuds_flag_coord"
58753	"Cubberley Farms"	67210	0.1	0.1	"vwuds_flag_coord"
58759	"W.T. HOLLAND & SONS, INC"	72807	0.1	0.1	"vwuds_flag_coord"
58761	"W.T. HOLLAND & SONS, INC"	72807	0.1	0.1	"vwuds_flag_coord"
58762	"W.T. HOLLAND & SONS, INC"	72807	0.1	0.1	"vwuds_flag_coord"
58763	"W.T. HOLLAND & SONS, INC"	72807	0.1	0.1	"vwuds_flag_coord"
58764	"W.T. HOLLAND & SONS, INC"	72807	0.1	0.1	"vwuds_flag_coord"
58765	"W.T. HOLLAND & SONS, INC"	72807	NA	NA	"vwuds_flag_coord"
58806	"VAN DORN"	73844	NA	NA	"vwuds_flag_coord"
58855	"NiceView Farm"	72018	NA	NA	"vwuds_flag_coord"
58860	"HALL FARMS INC"	71601	0.1	0.1	"vwuds_flag_coord"
58897	"PHENIX SERVICE AREA"	74332	NA	NA	"vwuds_flag_coord"
58950	"CHEROKEE POINT FARMS"	73926	0.1	0.1	"vwuds_flag_coord"
58954	"CONCORD CONCENTRATOR SITE"	71999	36.522	-77.3447	"vwuds_flag_coord"
58959	"BALLARD FARM"	71864	0.1	0.1	"vwuds_flag_coord"
58986	"ELKTON PLANT"	73412	0.03	0.01	"vwuds_flag_coord"
58993	"RICHARD L  SCRUGGS"	72966	0.1	0.1	"vwuds_flag_coord"
58996	"VINTON SERVICE AREA"	74424	NA	-79.8980555556	"vwuds_flag_coord"
59016	"LAKE LAND 'OR SERVICE AREA"	73768	NA	NA	"vwuds_flag_coord"
59018	"BASS FARMS"	73901	0.1	0.1	"vwuds_flag_coord"
59037	"Brink Concentrator Site System"	72936	NA	NA	"vwuds_flag_coord"
59038	"SMALL SYSTEMS"	73830	NA	NA	"vwuds_flag_coord"
59041	"Henry Fitzgerald Farm"	73215	NA	NA	"vwuds_flag_coord"
