"FacilityID"	"CWPName"	"OutfallID"	"DesignFlow_mgd"	"Measured_Effluent"	"Units"	"MP_Begin_Date"	"MP_End_Date"	"dmr_flag_desflow"
"VA0057576"	"DOMINION TERMINAL ASSOCIATES LLP"	"VA0057576001"	1.01	441000	"MGD"	"06/01/2016"	"06/30/2016"	"dmr_flag_desflow"
"VA0052621"	"VALLEY MILK PRODUCTS"	"VA0052621001"	0.08	44116	"MGD"	"02/01/2018"	"02/28/2018"	"dmr_flag_desflow"
"VA0052621"	"VALLEY MILK PRODUCTS"	"VA0052621001"	0.08	39554	"MGD"	"12/01/2017"	"12/31/2017"	"dmr_flag_desflow"
"VA0052621"	"VALLEY MILK PRODUCTS"	"VA0052621001"	0.08	39532	"MGD"	"01/01/2018"	"01/31/2018"	"dmr_flag_desflow"
"VA0052621"	"VALLEY MILK PRODUCTS"	"VA0052621001"	0.08	34799	"MGD"	"03/01/2018"	"03/31/2018"	"dmr_flag_desflow"
"VA0052621"	"VALLEY MILK PRODUCTS"	"VA0052621001"	0.08	33844	"MGD"	"04/01/2018"	"04/30/2018"	"dmr_flag_desflow"
"VA0052621"	"VALLEY MILK PRODUCTS"	"VA0052621001"	0.08	32598	"MGD"	"05/01/2018"	"05/31/2018"	"dmr_flag_desflow"
"VA0004090"	"DOMINION ENERGY- SURRY AND GRAVEL NECK STATIONS"	"VA0004090101"	2170	18461	"MGD"	"12/01/2016"	"12/31/2016"	"dmr_flag_desflow"
"VA0029785"	"LINCOLN TERMINAL COMPANY"	"VA0029785009"	6	12960	"MGD"	"06/01/2017"	"06/30/2017"	"dmr_flag_desflow"
"VA0004090"	"DOMINION ENERGY- SURRY AND GRAVEL NECK STATIONS"	"VA0004090101"	2170	15055	"MGD"	"11/01/2016"	"11/30/2016"	"dmr_flag_desflow"
"VA0004090"	"DOMINION ENERGY- SURRY AND GRAVEL NECK STATIONS"	"VA0004090101"	2170	15041	"MGD"	"08/01/2017"	"08/31/2017"	"dmr_flag_desflow"
"VA0004090"	"DOMINION ENERGY- SURRY AND GRAVEL NECK STATIONS"	"VA0004090101"	2170	12270	"MGD"	"10/01/2017"	"10/31/2017"	"dmr_flag_desflow"
"VA0029785"	"LINCOLN TERMINAL COMPANY"	"VA0029785006"	6	10080	"MGD"	"06/01/2017"	"06/30/2017"	"dmr_flag_desflow"
"VA0029785"	"LINCOLN TERMINAL COMPANY"	"VA0029785006"	6	8640	"MGD"	"12/01/2015"	"12/31/2015"	"dmr_flag_desflow"
"VA0029785"	"LINCOLN TERMINAL COMPANY"	"VA0029785006"	6	7920	"MGD"	"10/01/2016"	"10/31/2016"	"dmr_flag_desflow"
"VA0029785"	"LINCOLN TERMINAL COMPANY"	"VA0029785006"	6	7200	"MGD"	"11/01/2016"	"11/30/2016"	"dmr_flag_desflow"
"VA0029785"	"LINCOLN TERMINAL COMPANY"	"VA0029785006"	6	7200	"MGD"	"05/01/2016"	"05/31/2016"	"dmr_flag_desflow"
"VA0029785"	"LINCOLN TERMINAL COMPANY"	"VA0029785006"	6	7200	"MGD"	"08/01/2016"	"08/31/2016"	"dmr_flag_desflow"
"VA0029785"	"LINCOLN TERMINAL COMPANY"	"VA0029785006"	6	6480	"MGD"	"11/01/2015"	"11/30/2015"	"dmr_flag_desflow"
"VA0029785"	"LINCOLN TERMINAL COMPANY"	"VA0029785008"	6	4320	"MGD"	"06/01/2017"	"06/30/2017"	"dmr_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	"VA0052451001"	0	3096	"MGD"	"06/01/2012"	"06/30/2012"	"dmr_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	"VA0052451001"	0	3087.4	"MGD"	"05/01/2018"	"05/31/2018"	"dmr_flag_desflow"
