"FacilityID"	"FacilityName"	"FacLong"	"FacLat"	"OutfallID"	"Outfall_Longitude"	"Outfall_Latitude"	"DesignFlow_mgd"	"Measured_Effluent"	"Units"	"Permitted_Limit"	"MP_Begin_Date"	"MP_End_Date"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	3096	"MGD"	NA	"06/01/2012"	"06/30/2012"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	3087.4	"MGD"	NA	"05/01/2018"	"05/31/2018"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	3070.8	"MGD"	NA	"06/01/2013"	"06/30/2013"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	3052.8	"MGD"	NA	"06/01/2017"	"06/30/2017"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	3047	"MGD"	NA	"07/01/2015"	"07/31/2015"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	3034.8	"MGD"	NA	"07/01/2012"	"07/31/2012"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	2992.3	"MGD"	NA	"08/01/2012"	"08/31/2012"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	2992.3	"MGD"	NA	"08/01/2017"	"08/31/2017"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	2991.6	"MGD"	NA	"07/01/2017"	"07/31/2017"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	2977.2	"MGD"	NA	"11/01/2017"	"11/30/2017"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	2977.2	"MGD"	NA	"06/01/2014"	"06/30/2014"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	2977.2	"MGD"	NA	"08/01/2011"	"08/31/2011"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	2972.2	"MGD"	NA	"07/01/2013"	"07/31/2013"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	2963.5	"MGD"	NA	"06/01/2016"	"06/30/2016"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	2963.5	"MGD"	NA	"06/01/2011"	"06/30/2011"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	2952	"MGD"	NA	"07/01/2016"	"07/31/2016"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	2941.2	"MGD"	NA	"07/01/2011"	"07/31/2011"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	2941.2	"MGD"	NA	"08/01/2015"	"08/31/2015"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	2916	"MGD"	NA	"06/01/2015"	"06/30/2015"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	2916	"MGD"	NA	"09/01/2012"	"09/30/2012"	"VPDES_flag_desflow"
"VA0052451"	"DOMINION - NORTH ANNA POWER STATION"	-77.80041	38.05477	"VA0052451001"	-77.7286111114949	38.0083888888224	0	2916	"MGD"	NA	"10/01/2012"	"10/31/2012"	"VPDES_flag_desflow"
