"hydrocode"	"desflow"	"tsvalue"	"limit"	"tstime"	"tsendtime"	"varkey"	"vardesc"
"echo_VA0052451001"	0	3096	NA	"06/01/2012"	"06/30/2012"	"prop_flag_zerodesflow"	"Suspicious Design Flow. Reported as 0 MGD."
"echo_VA0052451001"	0	3087.4	NA	"05/01/2018"	"05/31/2018"	"prop_flag_zerodesflow"	"Suspicious Design Flow. Reported as 0 MGD."
"echo_VA0052451001"	0	3070.8	NA	"06/01/2013"	"06/30/2013"	"prop_flag_zerodesflow"	"Suspicious Design Flow. Reported as 0 MGD."
"echo_VA0052451001"	0	3052.8	NA	"06/01/2017"	"06/30/2017"	"prop_flag_zerodesflow"	"Suspicious Design Flow. Reported as 0 MGD."
"echo_VA0052451001"	0	3047	NA	"07/01/2015"	"07/31/2015"	"prop_flag_zerodesflow"	"Suspicious Design Flow. Reported as 0 MGD."
"echo_VA0052451001"	0	3034.8	NA	"07/01/2012"	"07/31/2012"	"prop_flag_zerodesflow"	"Suspicious Design Flow. Reported as 0 MGD."
"echo_VA0052451001"	0	2992.3	NA	"08/01/2012"	"08/31/2012"	"prop_flag_zerodesflow"	"Suspicious Design Flow. Reported as 0 MGD."
"echo_VA0052451001"	0	2992.3	NA	"08/01/2017"	"08/31/2017"	"prop_flag_zerodesflow"	"Suspicious Design Flow. Reported as 0 MGD."
"echo_VA0052451001"	0	2991.6	NA	"07/01/2017"	"07/31/2017"	"prop_flag_zerodesflow"	"Suspicious Design Flow. Reported as 0 MGD."
"echo_VA0052451001"	0	2977.2	NA	"11/01/2017"	"11/30/2017"	"prop_flag_zerodesflow"	"Suspicious Design Flow. Reported as 0 MGD."
"echo_VA0052451001"	0	2977.2	NA	"06/01/2014"	"06/30/2014"	"prop_flag_zerodesflow"	"Suspicious Design Flow. Reported as 0 MGD."
"echo_VA0052451001"	0	2977.2	NA	"08/01/2011"	"08/31/2011"	"prop_flag_zerodesflow"	"Suspicious Design Flow. Reported as 0 MGD."
"echo_VA0052451001"	0	2972.2	NA	"07/01/2013"	"07/31/2013"	"prop_flag_zerodesflow"	"Suspicious Design Flow. Reported as 0 MGD."
"echo_VA0052451001"	0	2963.5	NA	"06/01/2016"	"06/30/2016"	"prop_flag_zerodesflow"	"Suspicious Design Flow. Reported as 0 MGD."
"echo_VA0052451001"	0	2963.5	NA	"06/01/2011"	"06/30/2011"	"prop_flag_zerodesflow"	"Suspicious Design Flow. Reported as 0 MGD."
"echo_VA0052451001"	0	2952	NA	"07/01/2016"	"07/31/2016"	"prop_flag_zerodesflow"	"Suspicious Design Flow. Reported as 0 MGD."
"echo_VA0052451001"	0	2941.2	NA	"07/01/2011"	"07/31/2011"	"prop_flag_zerodesflow"	"Suspicious Design Flow. Reported as 0 MGD."
"echo_VA0052451001"	0	2941.2	NA	"08/01/2015"	"08/31/2015"	"prop_flag_zerodesflow"	"Suspicious Design Flow. Reported as 0 MGD."
"echo_VA0052451001"	0	2916	NA	"06/01/2015"	"06/30/2015"	"prop_flag_zerodesflow"	"Suspicious Design Flow. Reported as 0 MGD."
"echo_VA0052451001"	0	2916	NA	"09/01/2012"	"09/30/2012"	"prop_flag_zerodesflow"	"Suspicious Design Flow. Reported as 0 MGD."
"echo_VA0052451001"	0	2916	NA	"10/01/2012"	"10/31/2012"	"prop_flag_zerodesflow"	"Suspicious Design Flow. Reported as 0 MGD."
"echo_VA0052451001"	0	2894.4	NA	"07/01/2014"	"07/31/2014"	"prop_flag_zerodesflow"	"Suspicious Design Flow. Reported as 0 MGD."
"echo_VA0052451001"	0	2880	NA	"08/01/2014"	"08/31/2014"	"prop_flag_zerodesflow"	"Suspicious Design Flow. Reported as 0 MGD."
"echo_VA0052451001"	0	2880	NA	"05/01/2016"	"05/31/2016"	"prop_flag_zerodesflow"	"Suspicious Design Flow. Reported as 0 MGD."
"echo_VA0052451001"	0	2878.1	NA	"08/01/2016"	"08/31/2016"	"prop_flag_zerodesflow"	"Suspicious Design Flow. Reported as 0 MGD."
"echo_VA0052451001"	0	2871.4	NA	"09/01/2015"	"09/30/2015"	"prop_flag_zerodesflow"	"Suspicious Design Flow. Reported as 0 MGD."
"echo_VA0052451001"	0	2854.8	NA	"08/01/2013"	"08/31/2013"	"prop_flag_zerodesflow"	"Suspicious Design Flow. Reported as 0 MGD."
"echo_VA0052451001"	0	2851.2	NA	"11/01/2016"	"11/30/2016"	"prop_flag_zerodesflow"	"Suspicious Design Flow. Reported as 0 MGD."
"echo_VA0052451001"	0	2848.3	NA	"05/01/2012"	"05/31/2012"	"prop_flag_zerodesflow"	"Suspicious Design Flow. Reported as 0 MGD."
"echo_VA0052451001"	0	2829.6	NA	"10/01/2015"	"10/31/2015"	"prop_flag_zerodesflow"	"Suspicious Design Flow. Reported as 0 MGD."
"echo_VA0052451001"	0	2790	NA	"05/01/2011"	"05/31/2011"	"prop_flag_zerodesflow"	"Suspicious Design Flow. Reported as 0 MGD."
"echo_VA0052451001"	0	2772	NA	"11/01/2013"	"11/30/2013"	"prop_flag_zerodesflow"	"Suspicious Design Flow. Reported as 0 MGD."
"echo_VA0052451001"	0	2764.8	NA	"05/01/2017"	"05/31/2017"	"prop_flag_zerodesflow"	"Suspicious Design Flow. Reported as 0 MGD."
"echo_VA0052451001"	0	2732.4	NA	"11/01/2015"	"11/30/2015"	"prop_flag_zerodesflow"	"Suspicious Design Flow. Reported as 0 MGD."
"echo_VA0052451001"	0	2718	NA	"05/01/2015"	"05/31/2015"	"prop_flag_zerodesflow"	"Suspicious Design Flow. Reported as 0 MGD."
"echo_VA0052451001"	0	2577.6	NA	"04/01/2017"	"04/30/2017"	"prop_flag_zerodesflow"	"Suspicious Design Flow. Reported as 0 MGD."
"echo_VA0052451001"	0	2548.8	NA	"10/01/2017"	"10/31/2017"	"prop_flag_zerodesflow"	"Suspicious Design Flow. Reported as 0 MGD."
"echo_VA0052451101"	0	2547.2	NA	"07/01/2012"	"07/31/2012"	"prop_flag_zerodesflow"	"Suspicious Design Flow. Reported as 0 MGD."
"echo_VA0052451101"	0	2545.2	NA	"08/01/2012"	"08/31/2012"	"prop_flag_zerodesflow"	"Suspicious Design Flow. Reported as 0 MGD."
"echo_VA0052451001"	0	2534.4	NA	"10/01/2013"	"10/31/2013"	"prop_flag_zerodesflow"	"Suspicious Design Flow. Reported as 0 MGD."
"echo_VA0052451001"	0	2523.6	NA	"10/01/2016"	"10/31/2016"	"prop_flag_zerodesflow"	"Suspicious Design Flow. Reported as 0 MGD."
"echo_VA0052451101"	0	2518.5	NA	"06/01/2012"	"06/30/2012"	"prop_flag_zerodesflow"	"Suspicious Design Flow. Reported as 0 MGD."
"echo_VA0052451101"	0	2508.6	NA	"07/01/2011"	"07/31/2011"	"prop_flag_zerodesflow"	"Suspicious Design Flow. Reported as 0 MGD."
"echo_VA0052451001"	0	2508.5	NA	"05/01/2013"	"05/31/2013"	"prop_flag_zerodesflow"	"Suspicious Design Flow. Reported as 0 MGD."
"echo_VA0052451001"	0	2502	NA	"11/01/2012"	"11/30/2012"	"prop_flag_zerodesflow"	"Suspicious Design Flow. Reported as 0 MGD."
"echo_VA0052451101"	0	2494.8	NA	"06/01/2011"	"06/30/2011"	"prop_flag_zerodesflow"	"Suspicious Design Flow. Reported as 0 MGD."
"echo_VA0052451001"	0	2469.6	NA	"11/01/2014"	"11/30/2014"	"prop_flag_zerodesflow"	"Suspicious Design Flow. Reported as 0 MGD."
"echo_VA0052451001"	0	2427.8	NA	"03/01/2017"	"03/31/2017"	"prop_flag_zerodesflow"	"Suspicious Design Flow. Reported as 0 MGD."
"echo_VA0052451101"	0	2422	NA	"07/01/2013"	"07/31/2013"	"prop_flag_zerodesflow"	"Suspicious Design Flow. Reported as 0 MGD."
"echo_VA0052451101"	0	2412.1	NA	"08/01/2013"	"08/31/2013"	"prop_flag_zerodesflow"	"Suspicious Design Flow. Reported as 0 MGD."
"echo_VA0052451101"	0	2391.2	NA	"09/01/2012"	"09/30/2012"	"prop_flag_zerodesflow"	"Suspicious Design Flow. Reported as 0 MGD."
"echo_VA0052451001"	0	2390.4	NA	"12/01/2015"	"12/31/2015"	"prop_flag_zerodesflow"	"Suspicious Design Flow. Reported as 0 MGD."
"echo_VA0052451001"	0	2384.6	NA	"04/01/2014"	"04/30/2014"	"prop_flag_zerodesflow"	"Suspicious Design Flow. Reported as 0 MGD."
"echo_VA0052451101"	0	2364	NA	"06/01/2013"	"06/30/2013"	"prop_flag_zerodesflow"	"Suspicious Design Flow. Reported as 0 MGD."
"echo_VA0052451001"	0	2361.6	NA	"11/01/2011"	"11/30/2011"	"prop_flag_zerodesflow"	"Suspicious Design Flow. Reported as 0 MGD."
"echo_VA0052451101"	0	2355.6	NA	"07/01/2017"	"07/31/2017"	"prop_flag_zerodesflow"	"Suspicious Design Flow. Reported as 0 MGD."
"echo_VA0052451101"	0	2347.7	NA	"05/01/2012"	"05/31/2012"	"prop_flag_zerodesflow"	"Suspicious Design Flow. Reported as 0 MGD."
"echo_VA0052451101"	0	2345.1	NA	"08/01/2017"	"08/31/2017"	"prop_flag_zerodesflow"	"Suspicious Design Flow. Reported as 0 MGD."
"echo_VA0052451101"	0	2344.2	NA	"07/01/2015"	"07/31/2015"	"prop_flag_zerodesflow"	"Suspicious Design Flow. Reported as 0 MGD."
"echo_VA0052451101"	0	2341.7	NA	"07/01/2014"	"07/31/2014"	"prop_flag_zerodesflow"	"Suspicious Design Flow. Reported as 0 MGD."
"echo_VA0052451101"	0	2341.5	NA	"09/01/2015"	"09/30/2015"	"prop_flag_zerodesflow"	"Suspicious Design Flow. Reported as 0 MGD."
"echo_VA0052451101"	0	2337.4	NA	"06/01/2017"	"06/30/2017"	"prop_flag_zerodesflow"	"Suspicious Design Flow. Reported as 0 MGD."
"echo_VA0052451101"	0	2333	NA	"06/01/2014"	"06/30/2014"	"prop_flag_zerodesflow"	"Suspicious Design Flow. Reported as 0 MGD."
"echo_VA0052451101"	0	2332.7	NA	"08/01/2014"	"08/31/2014"	"prop_flag_zerodesflow"	"Suspicious Design Flow. Reported as 0 MGD."
"echo_VA0052451101"	0	2321.9	NA	"08/01/2015"	"08/31/2015"	"prop_flag_zerodesflow"	"Suspicious Design Flow. Reported as 0 MGD."
"echo_VA0052451101"	0	2315.5	NA	"05/01/2011"	"05/31/2011"	"prop_flag_zerodesflow"	"Suspicious Design Flow. Reported as 0 MGD."
