"hydrocode"	"varkey"	"tsvalue"	"tstime"	"tsendtime"	"tscode"
"echo_VA0002194001"	"dmr_mon_mgd"	0.116	"08/01/2017"	"08/31/2017"	1
"echo_VA0002194001"	"dmr_mon_mgd"	0.08	"09/01/2017"	"09/30/2017"	1
"echo_VA0002194001"	"dmr_mon_mgd"	0	"10/01/2017"	"10/31/2017"	1
"echo_VA0002194001"	"dmr_mon_mgd"	0	"11/01/2017"	"11/30/2017"	1
"echo_VA0002194001"	"dmr_mon_mgd"	0	"12/01/2017"	"12/31/2017"	1
"echo_VA0002194001"	"dmr_mon_mgd"	0.04	"01/01/2018"	"01/31/2018"	1
"echo_VA0002194001"	"dmr_mon_mgd"	0.33	"02/01/2018"	"02/28/2018"	1
"echo_VA0002194001"	"dmr_mon_mgd"	0.08	"03/01/2018"	"03/31/2018"	1
"echo_VA0002194001"	"dmr_mon_mgd"	0.027	"04/01/2018"	"04/30/2018"	1
"echo_VA0002194003"	"dmr_mon_mgd"	0	"07/01/2016"	"07/31/2016"	1
"echo_VA0002194003"	"dmr_mon_mgd"	1.41	"08/01/2016"	"08/31/2016"	1
"echo_VA0002194003"	"dmr_mon_mgd"	0.36	"09/01/2016"	"09/30/2016"	1
"echo_VA0002194003"	"dmr_mon_mgd"	0	"10/01/2016"	"10/31/2016"	1
"echo_VA0002194003"	"dmr_mon_mgd"	0.13	"11/01/2016"	"11/30/2016"	1
"echo_VA0002194003"	"dmr_mon_mgd"	0.36	"12/01/2016"	"12/31/2016"	1
"echo_VA0002194003"	"dmr_mon_mgd"	1.41	"01/01/2017"	"01/31/2017"	1
"echo_VA0002194003"	"dmr_mon_mgd"	0	"02/01/2017"	"02/28/2017"	1
"echo_VA0002194003"	"dmr_mon_mgd"	0	"03/01/2017"	"03/31/2017"	1
"echo_VA0002194003"	"dmr_mon_mgd"	0.36	"04/01/2017"	"04/30/2017"	1
"echo_VA0002194003"	"dmr_mon_mgd"	1.02	"05/01/2017"	"05/31/2017"	1
"echo_VA0002194003"	"dmr_mon_mgd"	1.02	"06/01/2017"	"06/30/2017"	1
"echo_VA0002194003"	"dmr_mon_mgd"	0.66	"07/01/2017"	"07/31/2017"	1
"echo_VA0002194003"	"dmr_mon_mgd"	1.84	"08/01/2017"	"08/31/2017"	1
"echo_VA0002194003"	"dmr_mon_mgd"	0.36	"09/01/2017"	"09/30/2017"	1
"echo_VA0002194003"	"dmr_mon_mgd"	0	"10/01/2017"	"10/31/2017"	1
"echo_VA0002194003"	"dmr_mon_mgd"	0	"11/01/2017"	"11/30/2017"	1
"echo_VA0002194003"	"dmr_mon_mgd"	0	"12/01/2017"	"12/31/2017"	1
"echo_VA0002194003"	"dmr_mon_mgd"	0.13	"01/01/2018"	"01/31/2018"	1
"echo_VA0002194003"	"dmr_mon_mgd"	0.36	"02/01/2018"	"02/28/2018"	1
"echo_VA0002194003"	"dmr_mon_mgd"	0.13	"03/01/2018"	"03/31/2018"	1
"echo_VA0002194003"	"dmr_mon_mgd"	0.13	"04/01/2018"	"04/30/2018"	1
"echo_VA0006254001"	"dmr_mon_mgd"	0	"05/01/2016"	"05/31/2016"	1
"echo_VA0006254001"	"dmr_mon_mgd"	0	"06/01/2016"	"06/30/2016"	1
"echo_VA0006254001"	"dmr_mon_mgd"	0	"07/01/2016"	"07/31/2016"	1
"echo_VA0006254001"	"dmr_mon_mgd"	0	"08/01/2016"	"08/31/2016"	1
"echo_VA0006254001"	"dmr_mon_mgd"	0	"09/01/2016"	"09/30/2016"	1
"echo_VA0006254001"	"dmr_mon_mgd"	0	"10/01/2016"	"10/31/2016"	1
"echo_VA0006254001"	"dmr_mon_mgd"	0	"11/01/2016"	"11/30/2016"	1
"echo_VA0006254001"	"dmr_mon_mgd"	0	"12/01/2016"	"12/31/2016"	1
"echo_VA0006254001"	"dmr_mon_mgd"	0	"01/01/2017"	"01/31/2017"	1
"echo_VA0006254001"	"dmr_mon_mgd"	0	"02/01/2017"	"02/28/2017"	1
"echo_VA0006254001"	"dmr_mon_mgd"	0	"03/01/2017"	"03/31/2017"	1
"echo_VA0006254001"	"dmr_mon_mgd"	0	"04/01/2017"	"04/30/2017"	1
"echo_VA0006254001"	"dmr_mon_mgd"	0	"05/01/2017"	"05/31/2017"	1
"echo_VA0006254001"	"dmr_mon_mgd"	0	"06/01/2017"	"06/30/2017"	1
"echo_VA0006254001"	"dmr_mon_mgd"	0	"07/01/2017"	"07/31/2017"	1
"echo_VA0006254001"	"dmr_mon_mgd"	0	"08/01/2017"	"08/31/2017"	1
"echo_VA0006254001"	"dmr_mon_mgd"	0	"09/01/2017"	"09/30/2017"	1
