"hydrocode"	"varkey"	"propname"	"propvalue"	"proptext"	"propcode"	"startdate"	"enddate"
"echo_VA0063606"	"css"	"css"	""	""	"No"	""	""
"echo_VA0086355"	"css"	"css"	""	""	"No"	""	""
"echo_VAL026531"	"css"	"css"	""	""	"No"	""	""
"echo_VA0027162"	"css"	"css"	""	""	"No"	""	""
"echo_VA0027171"	"css"	"css"	""	""	"No"	""	""
"echo_VA0091529"	"css"	"css"	""	""	"No"	""	""
"echo_VA0002194"	"css"	"css"	""	""	"No"	""	""
"echo_VAU001601"	"css"	"css"	""	""	"No"	""	""
"echo_VAU001696"	"css"	"css"	""	""	"No"	""	""
"echo_VA0090441"	"css"	"css"	""	""	"No"	""	""
"echo_VA0006254"	"css"	"css"	""	""	"No"	""	""
"echo_VAN040082"	"css"	"css"	""	""	"No"	""	""
"echo_VA0005291"	"css"	"css"	""	""	"No"	""	""
"echo_VA0005312"	"css"	"css"	""	""	"No"	""	""
"echo_VA0092304"	"css"	"css"	""	""	"No"	""	""
"echo_VAU001719"	"css"	"css"	""	""	"No"	""	""
"echo_VAL022292"	"css"	"css"	""	""	"No"	""	""
"echo_VAL064637"	"css"	"css"	""	""	"No"	""	""
"echo_VAU000053"	"css"	"css"	""	""	"No"	""	""
"echo_VAU001841"	"css"	"css"	""	""	"No"	""	""
"echo_VA0052655"	"css"	"css"	""	""	"No"	""	""
"echo_VA0026816"	"css"	"css"	""	""	"No"	""	""
"echo_VA0089133"	"css"	"css"	""	""	"No"	""	""
"echo_VAL025160"	"css"	"css"	""	""	"No"	""	""
"echo_VAL087068"	"css"	"css"	""	""	"Yes"	""	""
"echo_VA0087068"	"css"	"css"	""	""	"Yes"	""	""
"echo_VA0025160"	"css"	"css"	""	""	"No"	""	""
"echo_VAN010059"	"css"	"css"	""	""	"No"	""	""
"echo_VA0090671"	"css"	"css"	""	""	"No"	""	""
"echo_VAL090671"	"css"	"css"	""	""	"No"	""	""
"echo_VAU000005"	"css"	"css"	""	""	"No"	""	""
"echo_VAN040069"	"css"	"css"	""	""	"No"	""	""
"echo_VA0027979"	"css"	"css"	""	""	"No"	""	""
"echo_VAG110188"	"css"	"css"	""	""	"No"	""	""
"echo_VAG110065"	"css"	"css"	""	""	"No"	""	""
"echo_VAG110064"	"css"	"css"	""	""	"No"	""	""
"echo_VAG114034"	"css"	"css"	""	""	"No"	""	""
"echo_VAN010008"	"css"	"css"	""	""	"No"	""	""
"echo_VA0001961"	"css"	"css"	""	""	"No"	""	""
"echo_VA0020451"	"css"	"css"	""	""	"No"	""	""
"echo_VAL020451"	"css"	"css"	""	""	"No"	""	""
"echo_VAN040105"	"css"	"css"	""	""	"No"	""	""
"echo_VAL091707"	"css"	"css"	""	""	"No"	""	""
"echo_VA0086681"	"css"	"css"	""	""	"No"	""	""
"echo_VA0091707"	"css"	"css"	""	""	"No"	""	""
"echo_VAR140069"	"css"	"css"	""	""	"No"	""	""
"echo_VA0091979"	"css"	"css"	""	""	"No"	""	""
"echo_VAU001613"	"css"	"css"	""	""	"No"	""	""
"echo_VA0001015"	"css"	"css"	""	""	"No"	""	""
"echo_VA0087106"	"css"	"css"	""	""	"No"	""	""
"echo_VA0087092"	"css"	"css"	""	""	"No"	""	""
"echo_VA0088765"	"css"	"css"	""	""	"No"	""	""
"echo_VAU001600"	"css"	"css"	""	""	"No"	""	""
"echo_VAR130015"	"css"	"css"	""	""	"No"	""	""
"echo_VA0063657"	"css"	"css"	""	""	"No"	""	""
"echo_VA0082546"	"css"	"css"	""	""	"No"	""	""
"echo_VA0088684"	"css"	"css"	""	""	"No"	""	""
"echo_VAU001658"	"css"	"css"	""	""	"No"	""	""
"echo_VA0089303"	"css"	"css"	""	""	"No"	""	""
"echo_VAU001687"	"css"	"css"	""	""	"No"	""	""
"echo_VAU001671"	"css"	"css"	""	""	"No"	""	""
"echo_VAR050577"	"css"	"css"	""	""	"No"	""	""
"echo_VA0083054"	"css"	"css"	""	""	"No"	""	""
"echo_VA0092070"	"css"	"css"	""	""	"No"	""	""
"echo_VAR150067"	"css"	"css"	""	""	"No"	""	""
"echo_VAR050901"	"css"	"css"	""	""	"No"	""	""
"echo_VA0000370"	"css"	"css"	""	""	"No"	""	""
"echo_VA0060798"	"css"	"css"	""	""	"No"	""	""
"echo_VA0052337"	"css"	"css"	""	""	"No"	""	""
"echo_VA0002160"	"css"	"css"	""	""	"No"	""	""
"echo_VAN010050"	"css"	"css"	""	""	"No"	""	""
"echo_VA0001678"	"css"	"css"	""	""	"No"	""	""
"echo_VA0089958"	"css"	"css"	""	""	"No"	""	""
"echo_VAU001634"	"css"	"css"	""	""	"No"	""	""
"echo_VA0089486"	"css"	"css"	""	""	"No"	""	""
"echo_VA0005819"	"css"	"css"	""	""	"No"	""	""
"echo_VA0020249"	"css"	"css"	""	""	"No"	""	""
"echo_VA0020257"	"css"	"css"	""	""	"No"	""	""
"echo_VAN010023"	"css"	"css"	""	""	"No"	""	""
"echo_VA0060968"	"css"	"css"	""	""	"No"	""	""
