"hydrocode"	"varkey"	"propname"	"propvalue"	"proptext"	"propcode"	"startdate"	"enddate"
"echo_VA0086355"	"reachcode_rad"	"reachcode_rad"	""	""	"5050002000477"	""	""
"echo_VAL026531"	"reachcode_rad"	"reachcode_rad"	""	""	"6010102000637"	""	""
"echo_VA0027162"	"reachcode_rad"	"reachcode_rad"	""	""	"2080111015332"	""	""
"echo_VA0027171"	"reachcode_rad"	"reachcode_rad"	""	""	"2080111015183"	""	""
"echo_VA0091529"	"reachcode_rad"	"reachcode_rad"	""	""	"2040304099807"	""	""
"echo_VA0002194"	"reachcode_rad"	"reachcode_rad"	""	""	"2070005000075"	""	""
"echo_VAU001601"	"reachcode_rad"	"reachcode_rad"	""	""	"3010101000249"	""	""
"echo_VAU001696"	"reachcode_rad"	"reachcode_rad"	""	""	""	""	""
"echo_VA0090441"	"reachcode_rad"	"reachcode_rad"	""	""	"2070010000809"	""	""
"echo_VA0006254"	"reachcode_rad"	"reachcode_rad"	""	""	"2080207000030"	""	""
"echo_VAN040082"	"reachcode_rad"	"reachcode_rad"	""	""	"2080206000796"	""	""
"echo_VA0005291"	"reachcode_rad"	"reachcode_rad"	""	""	"2080206000796"	""	""
"echo_VA0005312"	"reachcode_rad"	"reachcode_rad"	""	""	"2080207011248"	""	""
"echo_VA0092304"	"reachcode_rad"	"reachcode_rad"	""	""	"5050001000899"	""	""
"echo_VAU001719"	"reachcode_rad"	"reachcode_rad"	""	""	"3010202000814"	""	""
"echo_VAL022292"	"reachcode_rad"	"reachcode_rad"	""	""	""	""	""
"echo_VAL064637"	"reachcode_rad"	"reachcode_rad"	""	""	""	""	""
"echo_VAU000053"	"reachcode_rad"	"reachcode_rad"	""	""	"2070010000399"	""	""
"echo_VAU001841"	"reachcode_rad"	"reachcode_rad"	""	""	"2080204000071"	""	""
"echo_VA0052655"	"reachcode_rad"	"reachcode_rad"	""	""	"6010205000300"	""	""
"echo_VA0026816"	"reachcode_rad"	"reachcode_rad"	""	""	"3010204000887"	""	""
"echo_VA0089133"	"reachcode_rad"	"reachcode_rad"	""	""	"2070008000233"	""	""
"echo_VAL025160"	"reachcode_rad"	"reachcode_rad"	""	""	"2070010000106"	""	""
"echo_VAL087068"	"reachcode_rad"	"reachcode_rad"	""	""	"2070010000046"	""	""
"echo_VA0087068"	"reachcode_rad"	"reachcode_rad"	""	""	"2070010000106"	""	""
"echo_VA0025160"	"reachcode_rad"	"reachcode_rad"	""	""	"2070010000106"	""	""
"echo_VAN010059"	"reachcode_rad"	"reachcode_rad"	""	""	"2070010000106"	""	""
"echo_VAL090671"	"reachcode_rad"	"reachcode_rad"	""	""	"2080201002486"	""	""
