"hydrocode"	"varkey"	"propname"	"propvalue"	"proptext"	"propcode"	"startdate"	"enddate"
"echo_VA0063606"	"last_inspect"	"last_inspect"	""	""	""	"12/07/2017"	""
"echo_VA0086355"	"last_inspect"	"last_inspect"	""	""	""	"04/08/2015"	""
"echo_VAL026531"	"last_inspect"	"last_inspect"	""	""	""	"08/16/2017"	""
"echo_VA0027162"	"last_inspect"	"last_inspect"	""	""	""	"02/07/2012"	""
"echo_VA0027171"	"last_inspect"	"last_inspect"	""	""	""	"07/29/2011"	""
"echo_VA0091529"	"last_inspect"	"last_inspect"	""	""	""	"07/31/2017"	""
"echo_VA0002194"	"last_inspect"	"last_inspect"	""	""	""	"08/26/2016"	""
"echo_VAU001601"	"last_inspect"	"last_inspect"	""	""	""	"03/20/2002"	""
"echo_VAU001696"	"last_inspect"	"last_inspect"	""	""	""	"08/10/2004"	""
"echo_VA0090441"	"last_inspect"	"last_inspect"	""	""	""	"03/16/2015"	""
"echo_VA0006254"	"last_inspect"	"last_inspect"	""	""	""	"07/11/2013"	""
"echo_VAN040082"	"last_inspect"	"last_inspect"	""	""	""	"06/09/2017"	""
"echo_VA0005291"	"last_inspect"	"last_inspect"	""	""	""	"06/09/2017"	""
"echo_VA0005312"	"last_inspect"	"last_inspect"	""	""	""	"08/23/2017"	""
"echo_VA0092304"	"last_inspect"	"last_inspect"	""	""	""	NA	""
"echo_VAU001719"	"last_inspect"	"last_inspect"	""	""	""	"02/22/2005"	""
"echo_VAL022292"	"last_inspect"	"last_inspect"	""	""	""	NA	""
"echo_VAL064637"	"last_inspect"	"last_inspect"	""	""	""	NA	""
"echo_VAU000053"	"last_inspect"	"last_inspect"	""	""	""	"05/05/2000"	""
"echo_VAU001841"	"last_inspect"	"last_inspect"	""	""	""	NA	""
"echo_VA0052655"	"last_inspect"	"last_inspect"	""	""	""	"09/05/2017"	""
"echo_VA0026816"	"last_inspect"	"last_inspect"	""	""	""	"01/11/2008"	""
"echo_VA0089133"	"last_inspect"	"last_inspect"	""	""	""	"11/21/2016"	""
"echo_VAL025160"	"last_inspect"	"last_inspect"	""	""	""	"09/21/2017"	""
"echo_VAL087068"	"last_inspect"	"last_inspect"	""	""	""	"09/19/2017"	""
"echo_VA0087068"	"last_inspect"	"last_inspect"	""	""	""	"09/19/2017"	""
"echo_VA0025160"	"last_inspect"	"last_inspect"	""	""	""	"09/21/2017"	""
"echo_VAN010059"	"last_inspect"	"last_inspect"	""	""	""	"09/21/2017"	""
"echo_VA0090671"	"last_inspect"	"last_inspect"	""	""	""	"11/18/2017"	""
"echo_VAL090671"	"last_inspect"	"last_inspect"	""	""	""	NA	""
"echo_VAU000005"	"last_inspect"	"last_inspect"	""	""	""	NA	""
"echo_VAN040069"	"last_inspect"	"last_inspect"	""	""	""	NA	""
"echo_VA0027979"	"last_inspect"	"last_inspect"	""	""	""	"10/20/2017"	""
"echo_VAG110188"	"last_inspect"	"last_inspect"	""	""	""	"08/31/2005"	""
"echo_VAG110065"	"last_inspect"	"last_inspect"	""	""	""	"09/07/2005"	""
"echo_VAG110064"	"last_inspect"	"last_inspect"	""	""	""	"04/08/2014"	""
"echo_VAG114034"	"last_inspect"	"last_inspect"	""	""	""	"10/14/2005"	""
"echo_VAN010008"	"last_inspect"	"last_inspect"	""	""	""	NA	""
"echo_VA0001961"	"last_inspect"	"last_inspect"	""	""	""	"06/12/2015"	""
"echo_VA0020451"	"last_inspect"	"last_inspect"	""	""	""	"05/24/2017"	""
"echo_VAL020451"	"last_inspect"	"last_inspect"	""	""	""	NA	""
"echo_VAN040105"	"last_inspect"	"last_inspect"	""	""	""	NA	""
"echo_VAL091707"	"last_inspect"	"last_inspect"	""	""	""	NA	""
"echo_VA0086681"	"last_inspect"	"last_inspect"	""	""	""	"04/29/2015"	""
"echo_VA0091707"	"last_inspect"	"last_inspect"	""	""	""	NA	""
"echo_VAR140069"	"last_inspect"	"last_inspect"	""	""	""	"02/04/2003"	""
"echo_VA0091979"	"last_inspect"	"last_inspect"	""	""	""	"07/30/2015"	""
"echo_VAU001613"	"last_inspect"	"last_inspect"	""	""	""	"12/12/2002"	""
"echo_VA0001015"	"last_inspect"	"last_inspect"	""	""	""	"10/26/2016"	""
"echo_VA0087106"	"last_inspect"	"last_inspect"	""	""	""	"01/06/2015"	""
"echo_VA0087092"	"last_inspect"	"last_inspect"	""	""	""	"12/27/2016"	""
"echo_VA0088765"	"last_inspect"	"last_inspect"	""	""	""	"01/06/2015"	""
"echo_VAU001600"	"last_inspect"	"last_inspect"	""	""	""	"02/05/2002"	""
"echo_VAR130015"	"last_inspect"	"last_inspect"	""	""	""	"09/17/2003"	""
"echo_VA0063657"	"last_inspect"	"last_inspect"	""	""	""	"11/10/2014"	""
"echo_VA0082546"	"last_inspect"	"last_inspect"	""	""	""	"11/10/2014"	""
"echo_VA0088684"	"last_inspect"	"last_inspect"	""	""	""	"12/08/2016"	""
"echo_VAU001658"	"last_inspect"	"last_inspect"	""	""	""	"11/26/2003"	""
"echo_VA0089303"	"last_inspect"	"last_inspect"	""	""	""	"11/15/2011"	""
"echo_VAU001687"	"last_inspect"	"last_inspect"	""	""	""	"08/06/2004"	""
"echo_VAU001671"	"last_inspect"	"last_inspect"	""	""	""	"02/23/2004"	""
"echo_VAR050577"	"last_inspect"	"last_inspect"	""	""	""	"02/06/2003"	""
"echo_VA0083054"	"last_inspect"	"last_inspect"	""	""	""	"09/22/2016"	""
"echo_VA0092070"	"last_inspect"	"last_inspect"	""	""	""	"06/27/2013"	""
"echo_VAR150067"	"last_inspect"	"last_inspect"	""	""	""	"05/02/2002"	""
"echo_VAR050901"	"last_inspect"	"last_inspect"	""	""	""	"05/02/2002"	""
"echo_VA0000370"	"last_inspect"	"last_inspect"	""	""	""	"01/31/2018"	""
"echo_VA0060798"	"last_inspect"	"last_inspect"	""	""	""	"07/20/2017"	""
"echo_VA0052337"	"last_inspect"	"last_inspect"	""	""	""	"06/08/2009"	""
"echo_VA0002160"	"last_inspect"	"last_inspect"	""	""	""	"06/02/2017"	""
"echo_VAN010050"	"last_inspect"	"last_inspect"	""	""	""	"06/02/2017"	""
"echo_VA0001678"	"last_inspect"	"last_inspect"	""	""	""	"11/20/2009"	""
"echo_VA0089958"	"last_inspect"	"last_inspect"	""	""	""	"02/27/2018"	""
"echo_VAU001634"	"last_inspect"	"last_inspect"	""	""	""	"05/13/2003"	""
"echo_VA0089486"	"last_inspect"	"last_inspect"	""	""	""	"03/25/2015"	""
"echo_VA0005819"	"last_inspect"	"last_inspect"	""	""	""	"05/19/2016"	""
"echo_VA0020249"	"last_inspect"	"last_inspect"	""	""	""	"11/09/2016"	""
"echo_VA0020257"	"last_inspect"	"last_inspect"	""	""	""	"11/09/2016"	""
"echo_VAN010023"	"last_inspect"	"last_inspect"	""	""	""	"01/19/2018"	""
"echo_VA0060968"	"last_inspect"	"last_inspect"	""	""	""	"01/19/2018"	""
"echo_VAL060968"	"last_inspect"	"last_inspect"	""	""	""	"01/19/2018"	""
"echo_VAR050690"	"last_inspect"	"last_inspect"	""	""	""	"05/09/2005"	""
"echo_VA0021733"	"last_inspect"	"last_inspect"	""	""	""	"08/29/2012"	""
"echo_VAU001584"	"last_inspect"	"last_inspect"	""	""	""	"06/25/2002"	""
"echo_VA0088579"	"last_inspect"	"last_inspect"	""	""	""	"07/25/2017"	""
"echo_VAL025143"	"last_inspect"	"last_inspect"	""	""	""	NA	""
"echo_VAN010021"	"last_inspect"	"last_inspect"	""	""	""	"07/25/2017"	""
"echo_VA0025143"	"last_inspect"	"last_inspect"	""	""	""	"07/25/2017"	""
"echo_VAU001754"	"last_inspect"	"last_inspect"	""	""	""	"09/26/2006"	""
"echo_VAU001579"	"last_inspect"	"last_inspect"	""	""	""	"05/20/2002"	""
"echo_VAR101072"	"last_inspect"	"last_inspect"	""	""	""	"06/30/2004"	""
"echo_VA0088692"	"last_inspect"	"last_inspect"	""	""	""	"12/10/2008"	""
"echo_VA0092631"	"last_inspect"	"last_inspect"	""	""	""	NA	""
