"bundle"	"name"	"ftype"	"hydrocode"	"fstatus"	"field_dh_from_entity"	"field_dh_to_entity"
"conveyance"	"VA0000248 TO VA0000248041"	"water_transfer"	"vahydro_VA0000248_VA0000248041"	"inactive"	"vahydro_VA0000248041"	"echo_VA0000248041"
"conveyance"	"VA0000248 TO VA0000248044"	"water_transfer"	"vahydro_VA0000248_VA0000248044"	"inactive"	"vahydro_VA0000248044"	"echo_VA0000248044"
"conveyance"	"VA0000248 TO VA0000248050"	"water_transfer"	"vahydro_VA0000248_VA0000248050"	"inactive"	"vahydro_VA0000248050"	"echo_VA0000248050"
"conveyance"	"VA0000248 TO VA0000248054"	"water_transfer"	"vahydro_VA0000248_VA0000248054"	"inactive"	"vahydro_VA0000248054"	"echo_VA0000248054"
"conveyance"	"VA0000248 TO VA0000248291"	"water_transfer"	"vahydro_VA0000248_VA0000248291"	"active"	"vahydro_VA0000248291"	"echo_VA0000248291"
"conveyance"	"VA0000248 TO VA0000248401"	"water_transfer"	"vahydro_VA0000248_VA0000248401"	"inactive"	"vahydro_VA0000248401"	"echo_VA0000248401"
"conveyance"	"VA0000248 TO VA0000248402"	"water_transfer"	"vahydro_VA0000248_VA0000248402"	"active"	"vahydro_VA0000248402"	"echo_VA0000248402"
"conveyance"	"VA0000248 TO VA0000248999"	"water_transfer"	"vahydro_VA0000248_VA0000248999"	"inactive"	"vahydro_VA0000248999"	"echo_VA0000248999"
"conveyance"	"VA0000299 TO VA0000299001"	"water_transfer"	"vahydro_VA0000299_VA0000299001"	"active"	"vahydro_VA0000299001"	"echo_VA0000299001"
"conveyance"	"VA0000299 TO VA0000299002"	"water_transfer"	"vahydro_VA0000299_VA0000299002"	"active"	"vahydro_VA0000299002"	"echo_VA0000299002"
"conveyance"	"VA0000299 TO VA0000299003"	"water_transfer"	"vahydro_VA0000299_VA0000299003"	"active"	"vahydro_VA0000299003"	"echo_VA0000299003"
"conveyance"	"VA0000299 TO VA0000299005"	"water_transfer"	"vahydro_VA0000299_VA0000299005"	"active"	"vahydro_VA0000299005"	"echo_VA0000299005"
"conveyance"	"VA0000299 TO VA0000299009"	"water_transfer"	"vahydro_VA0000299_VA0000299009"	"inactive"	"vahydro_VA0000299009"	"echo_VA0000299009"
"conveyance"	"VA0000299 TO VA0000299010"	"water_transfer"	"vahydro_VA0000299_VA0000299010"	"inactive"	"vahydro_VA0000299010"	"echo_VA0000299010"
"conveyance"	"VA0000299 TO VA0000299105"	"water_transfer"	"vahydro_VA0000299_VA0000299105"	"inactive"	"vahydro_VA0000299105"	"echo_VA0000299105"
"conveyance"	"VA0000299 TO VA0000299107"	"water_transfer"	"vahydro_VA0000299_VA0000299107"	"inactive"	"vahydro_VA0000299107"	"echo_VA0000299107"
"conveyance"	"VA0000299 TO VA0000299111"	"water_transfer"	"vahydro_VA0000299_VA0000299111"	"inactive"	"vahydro_VA0000299111"	"echo_VA0000299111"
"conveyance"	"VA0000299 TO VA0000299501"	"water_transfer"	"vahydro_VA0000299_VA0000299501"	"inactive"	"vahydro_VA0000299501"	"echo_VA0000299501"
"conveyance"	"VA0000299 TO VA0000299502"	"water_transfer"	"vahydro_VA0000299_VA0000299502"	"inactive"	"vahydro_VA0000299502"	"echo_VA0000299502"
"conveyance"	"VA0000299 TO VA0000299503"	"water_transfer"	"vahydro_VA0000299_VA0000299503"	"inactive"	"vahydro_VA0000299503"	"echo_VA0000299503"
"conveyance"	"VA0000299 TO VA0000299905"	"water_transfer"	"vahydro_VA0000299_VA0000299905"	"inactive"	"vahydro_VA0000299905"	"echo_VA0000299905"
"conveyance"	"VA0000299 TO VA0000299999"	"water_transfer"	"vahydro_VA0000299_VA0000299999"	"inactive"	"vahydro_VA0000299999"	"echo_VA0000299999"
"conveyance"	"VA0000370 TO VA0000370001"	"water_transfer"	"vahydro_VA0000370_VA0000370001"	"active"	"vahydro_VA0000370001"	"echo_VA0000370001"
"conveyance"	"VA0001333 TO VA0001333001"	"water_transfer"	"vahydro_VA0001333_VA0001333001"	"active"	"vahydro_VA0001333001"	"echo_VA0001333001"
"conveyance"	"VA0001333 TO VA0001333002"	"water_transfer"	"vahydro_VA0001333_VA0001333002"	"active"	"vahydro_VA0001333002"	"echo_VA0001333002"
"conveyance"	"VA0001431 TO VA0001431001"	"water_transfer"	"vahydro_VA0001431_VA0001431001"	"active"	"vahydro_VA0001431001"	"echo_VA0001431001"
"conveyance"	"VA0001449 TO VA0001449001"	"water_transfer"	"vahydro_VA0001449_VA0001449001"	"active"	"vahydro_VA0001449001"	"echo_VA0001449001"
"conveyance"	"VA0001490 TO VA0001490001"	"water_transfer"	"vahydro_VA0001490_VA0001490001"	"active"	"vahydro_VA0001490001"	"echo_VA0001490001"
"conveyance"	"VA0001490 TO VA0001490101"	"water_transfer"	"vahydro_VA0001490_VA0001490101"	"inactive"	"vahydro_VA0001490101"	"echo_VA0001490101"
"conveyance"	"VA0001554 TO VA0001554001"	"water_transfer"	"vahydro_VA0001554_VA0001554001"	"active"	"vahydro_VA0001554001"	"echo_VA0001554001"
"conveyance"	"VA0001554 TO VA0001554002"	"water_transfer"	"vahydro_VA0001554_VA0001554002"	"inactive"	"vahydro_VA0001554002"	"echo_VA0001554002"
"conveyance"	"VA0001554 TO VA0001554003"	"water_transfer"	"vahydro_VA0001554_VA0001554003"	"inactive"	"vahydro_VA0001554003"	"echo_VA0001554003"
"conveyance"	"VA0001554 TO VA0001554004"	"water_transfer"	"vahydro_VA0001554_VA0001554004"	"inactive"	"vahydro_VA0001554004"	"echo_VA0001554004"
"conveyance"	"VA0001589 TO VA0001589001"	"water_transfer"	"vahydro_VA0001589_VA0001589001"	"inactive"	"vahydro_VA0001589001"	"echo_VA0001589001"
"conveyance"	"VA0001589 TO VA0001589002"	"water_transfer"	"vahydro_VA0001589_VA0001589002"	"inactive"	"vahydro_VA0001589002"	"echo_VA0001589002"
"conveyance"	"VA0001589 TO VA0001589003"	"water_transfer"	"vahydro_VA0001589_VA0001589003"	"inactive"	"vahydro_VA0001589003"	"echo_VA0001589003"
"conveyance"	"VA0001589 TO VA0001589005"	"water_transfer"	"vahydro_VA0001589_VA0001589005"	"active"	"vahydro_VA0001589005"	"echo_VA0001589005"
"conveyance"	"VA0001589 TO VA0001589006"	"water_transfer"	"vahydro_VA0001589_VA0001589006"	"inactive"	"vahydro_VA0001589006"	"echo_VA0001589006"
