"DEQ.ID.of.Source","Corrected_Latitude","Corrected_Longitude"
236,37.747805555,-75.602333333
237,37.74725,-75.602805555
238,37.745333333,-75.604752777
239,37.744916111,-75.60525
241,37.720972222,-75.618472222
242,37.721444444,-75.618333333
243,37.723,-75.616083333
244,37.723,-75.616027777
245,37.743638888,-75.663694444
246,37.745277777,-75.6645
247,37.753527777,-75.663972222
248,37.867138888,-75.566638888
249,37.850722222,-75.56725
250,37.850777777,-75.567388888
251,37.850972222,-75.567833333
252,37.8585,-75.582444444
253,37.858555555,-75.582555555
254,37.858611111,-75.582611111
255,37.820555555,-75.615861111
256,37.857888888,-75.582666666
257,37.748166666,-75.679027777
258,37.751333333,-75.67825
259,37.848888888,-75.598444444
260,37.849388888,-75.597555555
262,37.757888888,-75.654944444
263,37.757933333,-75.654844444
264,37.757852777,-75.654691666
265,37.716333333,-75.654527777
266,37.715333333,-75.654833333
267,37.712666666,-75.657166666
272,37.989416666,-75.424611111
273,38.003222222,-75.425916666
274,38.001861111,-75.410305555
276,37.643883333,-75.720758333
277,37.643630555,-75.719913888
278,37.644519444,-75.722258055
279,37.605272222,-75.803541666
280,37.605566666,-75.804288888
281,37.606205555,-75.805125
283,37.533194444,-75.793944444
284,37.532777777,-75.793111111
286,37.687722222,-75.659916666
287,37.686527777,-75.659694444
288,37.685138888,-75.659472222
289,37.766388888,-75.604027777
290,37.766138888,-75.60375
291,37.766666666,-75.603555555
292,37.766444444,-75.604972222
293,37.766222222,-75.605361111
295,37.842401694,-75.592100083
296,37.842345855,-75.593377838
297,37.876211111,-75.562563888
298,37.901986366,-75.55351793
300,37.840138888,-75.563027777
301,37.840027777,-75.563083333
302,37.600813888,-75.810891666
303,37.600541666,-75.810925
304,37.600266666,-75.810955555
305,37.599997222,-75.810988888
306,37.599722222,-75.811022222
307,37.599175,-75.811091666
308,37.598905555,-75.811119444
309,37.598613888,-75.811152777
310,37.598638888,-75.811494444
311,37.602583333,-75.807902777
312,37.600322222,-75.810702777
313,37.600466666,-75.815383333
314,37.601077777,-75.815311111
315,37.60005,-75.809330555
316,37.600147222,-75.815052777
317,37.599844444,-75.815433333
318,37.599511111,-75.815497222
319,37.59945,-75.816497222
320,37.599472222,-75.811055555
321,37.784611111,-75.650305555
322,37.56165,-75.795522222
323,37.560827777,-75.796541666
335,37.647739225,-77.33568168
340,37.761666666,-77.365833333
343,37.629027777,-77.398333333
346,37.671668055,-77.335558055
371,36.789578611,-76.691389722
374,36.7887825,-76.691048055
375,36.795111111,-76.690694444
380,37.497222222,-77.122222222
382,37.519416666,-77.178944444
383,37.515555555,-76.981111111
384,37.494722222,-77.123888888
385,37.541269444,-77.113386111
388,37.399491666,-76.901622222
389,37.398869444,-76.901677777
391,37.516527777,-77.180472222
392,37.50055428,-77.16735673
393,37.539175,-77.203947222
394,37.516989752,-76.979530002
395,37.537983333,-77.117061111
396,37.504262752,-77.080850266
397,37.502422172,-77.169485691
398,37.503138888,-77.169916666
399,37.471666666,-77.025833333
404,37.606666666,-75.806430555
405,37.606966666,-75.807272222
406,37.604452777,-75.805575
407,37.604583333,-75.805355555
408,37.604080555,-75.80085
411,37.604733333,-75.833977777
413,37.604911111,-75.835363888
417,37.6036,-75.814944444
437,37.721416666,-75.618388888
452,37.615366666,-75.807072222
473,37.304055555,-76.934444444
474,37.373347222,-77.189461111
475,37.349725,-77.192233333
476,37.315055555,-76.936333333
477,37.349722222,-77.078611111
479,37.35,-77.077222222
481,37.437227777,-77.161369444
485,37.436944444,-77.161388888
486,37.438354208,-77.128374108
487,37.438489727,-77.128292072
490,37.348330555,-77.29
491,37.349166666,-77.290555555
498,37.624444444,-77.377777777
499,37.627222222,-77.382222222
500,37.628055555,-77.356111111
501,37.6547,-77.361897222
502,37.631666666,-77.399722222
503,37.631666666,-77.399444444
505,37.585,-77.298611111
506,37.621230555,-77.323855555
507,37.601413888,-77.346722222
508,37.592222222,-77.324166666
513,37.639444444,-77.390833333
514,37.639666666,-77.391055555
515,37.709694444,-77.446527777
518,37.711666666,-77.357222222
520,37.623055555,-77.393611111
522,37.6125,-77.345833333
523,37.618055555,-77.346111111
524,37.608888888,-77.352222222
525,37.6825,-77.357222222
526,37.632777777,-77.399027777
528,37.627125,-77.327358333
529,37.756666666,-77.3425
530,37.652608333,-77.373347222
533,37.648333333,-77.248055555
535,37.579444444,-77.295555555
538,37.624444444,-77.351111111
540,37.697777777,-77.355
541,37.619639208,-77.245434791
543,37.685994444,-77.353977777
545,37.627222222,-77.382222222
546,37.601466666,-77.346861111
554,37.766388888,-77.368055555
557,37.635833333,-77.317222222
558,37.633888888,-77.316944444
559,37.680277777,-77.383888888
560,37.676944444,-77.385555555
563,37.653055555,-77.390555555
564,37.621666666,-77.389166666
565,37.627777777,-77.396111111
566,37.654722222,-77.3575
569,37.665833333,-77.33944444
572,37.753638888,-77.342888888
573,37.71,-77.360277777
583,37.627222222,-77.40125
584,37.756111111,-77.348611111
585,37.756388888,-77.348888888
586,37.649722222,-77.249444444
591,37.756805555,-77.342111111
593,37.558944444,-77.269944444
607,36.980555555,-76.637222222
608,36.976388888,-76.647777777
609,36.970277777,-76.610555555
612,36.995388888,-76.630916666
613,36.996027777,-76.630166666
614,36.997666666,-76.630611111
615,36.998444444,-76.628638888
616,36.991111111,-76.632416666
619,36.991972222,-76.631611111
626,36.661438888,-76.905930555
628,36.653094444,-76.897627777
630,36.648,-76.895
632,36.697544444,-76.911083333
633,36.705041666,-76.907758333
634,36.712161111,-76.907533333
635,36.718561111,-76.907919444
636,36.724125,-76.908191666
637,36.731502777,-76.908163888
638,36.734544444,-76.906130555
639,36.737627777,-76.904097222
641,36.712611111,-76.83475
642,36.711111111,-76.825
643,36.712777777,-76.825
646,36.943611111,-76.516388888
647,36.993944444,-76.558277777
649,37.027777777,-76.604444444
650,36.656944444,-76.900233333
651,36.666252777,-76.910325
652,36.990027777,-76.631277777
653,36.911083333,-76.522472222
655,36.689163888,-76.914152777
656,36.673444444,-76.910611111
657,36.846055555,-76.819169444
659,37.003833333,-76.628888888
660,36.845833333,-76.756111111
662,36.679055555,-76.90735
663,36.652875,-76.897433333
664,36.875555555,-76.682416666
665,36.964166666,-76.609166666
667,36.994,-76.55825
671,36.911111111,-76.5225
673,37.062538888,-76.676697222
675,36.99675,-76.629888888
676,36.993805555,-76.632305555
677,36.998388888,-76.628666666
678,36.986666666,-76.614722222
681,36.806444444,-76.743888888
683,36.920805555,-76.525333333
685,36.920777777,-76.5255
687,36.647444444,-76.895188888
689,36.945388888,-76.644055555
690,37.116083333,-76.668444444
691,37.116,-76.668305555
693,36.945333333,-76.643972222
696,36.710388888,-76.821861111
697,36.710583333,-76.821833333
698,36.964472222,-76.609166666
699,36.976444444,-76.844719444
700,36.976277777,-76.844741666
701,36.974083333,-76.847722222
702,36.974305555,-76.847666666
703,36.967166666,-76.848861111
704,36.96725,-76.848972222
705,36.970166666,-76.849777777
706,36.976277777,-76.844741666
707,36.970138888,-76.84725
708,36.97025,-76.847333333
710,37.062583333,-76.676736111
713,36.714277777,-76.832666666
717,37.363611111,-76.769722222
718,37.183666666,-76.617
720,37.189638888,-76.608194444
723,37.241111111,-76.810555555
724,37.326388888,-76.738333333
725,37.386111111,-76.686944444
726,37.256666666,-76.75
727,37.366944444,-76.771388888
728,37.236666666,-76.750833333
729,37.363333333,-76.769722222
730,37.313888888,-76.745555555
731,37.319166666,-76.785833333
732,37.310277777,-76.758888888
733,37.261944444,-76.742777777
734,37.261944444,-76.742777777
735,37.318333333,-76.785833333
736,37.318888888,-76.761944444
737,37.323055555,-76.758888888
738,37.227777777,-76.669444444
739,37.235805555,-76.776111111
740,37.235333333,-76.775916666
741,37.232278752,-76.647635155
742,37.246944444,-76.776666666
743,37.299444444,-76.756111111
744,37.366944444,-76.771388888
745,37.326111111,-76.804444444
746,37.370277777,-76.813333333
747,37.381388888,-76.806388888
748,37.224166666,-76.761666666
749,37.225833333,-76.768055555
750,37.363416666,-76.769611111
751,37.283611111,-76.733333333
752,37.283611111,-76.733333333
753,37.274166666,-76.7725
754,37.347333333,-76.758388888
759,37.228333333,-76.678055555
760,37.3925,-76.762777777
761,37.235555555,-76.638611111
762,37.316722222,-76.758777777
763,37.386583333,-76.801777777
764,37.4425,-76.8375
765,37.412777777,-76.744166666
766,37.412777777,-76.744166666
767,37.337777777,-76.771944444
768,37.354166666,-76.817916666
769,37.354166666,-76.817944444
771,37.253888888,-76.69
772,37.388694444,-76.717388888
773,37.307777777,-76.795833333
774,37.312777777,-76.776388888
775,37.306388888,-76.779444444
776,37.293611111,-76.792777777
777,37.304444444,-76.788055555
778,37.2515,-76.852583333
779,37.426861111,-76.851361111
780,37.414166666,-76.834166666
781,37.340138888,-76.763111111
782,37.424275,-76.820102777
783,37.424252777,-76.820088888
786,37.426805555,-76.851222222
787,37.342972222,-76.763916666
788,37.423522222,-76.815083333
789,37.386666666,-76.801666666
791,37.363388888,-76.769555555
794,37.366944444,-76.771388888
795,37.261852777,-76.742838888
799,37.363333333,-76.769513888
800,37.386111111,-76.686947222
801,37.386111111,-76.68695
804,37.310333333,-76.794861111
808,37.386075,-76.795411111
809,37.313777777,-76.745805555
812,37.415336111,-76.858075
817,37.388583333,-76.717888888
818,37.347166666,-76.758777777
819,37.316722222,-76.741333333
820,37.247969552,-76.768684088
821,37.442380555,-76.837475
822,37.415,-76.858194444
823,37.246881841,-76.768495102
825,37.247087136,-76.768025955
826,37.348694444,-76.758888888
827,37.348694444,-76.758888888
834,37.298666666,-76.802666666
836,37.3375,-76.795805555
837,37.308138888,-76.809638888
841,37.387891666,-76.768441666
846,37.550927,-76.8122
847,37.537883333,-76.804458333
848,37.54735,-76.809
849,37.554894,-76.817457
850,37.543194444,-76.805722222
853,37.542493,-76.79878
855,37.535092,-76.802951
856,37.556694444,-76.795916666
857,37.538433333,-76.804033333
858,37.540024,-76.806535
862,37.695013888,-77.036111111
863,37.531055555,-76.797222222
867,37.530042,-76.799731
868,37.543885,-76.804557
869,37.75,-77.125
870,37.555006,-76.817576
871,37.542511,-76.798622
872,37.535184,-76.802861
873,37.693908333,-77.035833333
874,37.540571,-76.803249
875,37.537742,-76.804842
877,37.547179,-76.808911
878,37.774554641,-77.138126869
880,37.582664,-76.878125
881,37.582676,-76.87777
882,37.546683333,-76.808
883,37.821952777,-77.143333333
890,37.717222222,-77.121388888
891,37.77147767,-77.133555725
892,37.745555555,-77.135555555
894,37.545194444,-76.793055555
895,37.545633333,-76.810013888
896,37.545388888,-76.808997222
897,37.745506666,-77.135402777
898,37.762023791,-77.122821419
900,37.754483333,-77.149933333
901,37.718447222,-77.178105555
902,37.718352777,-77.177738888
903,37.555092,-76.817476
904,37.546733,-76.80828
906,37.537795,-76.804601
907,37.687638888,-77.126055555
908,37.582677,-76.877664
912,36.903333333,-76.435833333
913,36.9025,-76.436111111
914,36.901666666,-76.434722222
915,36.902777777,-76.434166666
918,36.775847222,-76.5425
919,36.902516666,-76.432783333
920,36.871666666,-76.463055555
924,36.720833333,-76.6625
925,36.688888888,-76.609777777
926,36.688888888,-76.609722222
927,36.8635,-76.582333333
928,36.862055555,-76.576111111
929,36.681111111,-76.785555555
930,36.681116666,-76.785555555
931,36.7225,-76.625833333
932,36.722472222,-76.625861111
933,36.711944444,-76.660527777
934,36.866111111,-76.501944444
935,36.866138888,-76.501944444
936,36.810277777,-76.619166666
937,36.802222222,-76.631944444
938,36.836944444,-76.635277777
939,36.803333333,-76.655833333
940,36.748083333,-76.537388888
941,36.588444444,-76.684
942,36.596861111,-76.674166666
943,36.741375,-76.560111111
944,36.729777777,-76.601694444
945,36.725166666,-76.603777777
946,36.721944444,-76.643611111
947,36.767138888,-76.54
948,36.747722222,-76.587194444
949,36.820305555,-76.647222222
950,36.820083333,-76.64725
952,36.75175,-76.584638888
953,36.768361111,-76.538694444
954,36.9025,-76.500305555
955,36.817777777,-76.551944444
956,36.820555555,-76.530833333
957,36.729361111,-76.608527777
958,36.72175,-76.608722222
961,36.863416666,-76.574227777
962,36.790777777,-76.599305555
963,36.795916666,-76.626416666
964,36.844111111,-76.5685
966,36.849138888,-76.496861111
969,36.724722222,-76.642222222
970,36.849138888,-76.496944444
971,36.900555555,-76.488055555
972,36.711944444,-76.660333333
973,36.681388888,-76.781111111
974,36.717027777,-76.662777777
975,36.78125,-76.6215
976,36.845083333,-76.570694444
977,36.711944444,-76.660555555
978,36.716944444,-76.662777777
979,36.7225,-76.625888888
980,36.871666666,-76.463138888
981,36.866055555,-76.501944444
982,36.689166666,-76.609722222
991,36.643555555,-76.89105
992,36.842111111,-76.465722222
993,36.842166666,-76.465611111
994,36.868569444,-76.471116666
995,36.82575,-76.641444444
997,36.747716666,-76.587177777
999,36.825666666,-76.641444444
1001,36.588694444,-76.688138888
1004,36.82575,-76.641361111
1009,36.593916666,-76.681777777
1019,37.522783333,-77.11585
1020,37.492658333,-76.863197222
1021,37.505,-76.865
1029,37.473333333,-75.880225
1030,37.473441666,-75.879763888
1031,37.473527777,-75.879533333
1032,37.470672222,-75.884702777
1033,37.470283333,-75.88465
1034,37.469736111,-75.881347222
1035,37.268733333,-76.002483333
1037,37.487861111,-75.838305555
1038,37.489027777,-75.837611111
1039,37.489972222,-75.836916666
1040,37.373916666,-75.974666666
1041,37.373944444,-75.975333333
1045,37.468916666,-75.901027777
1046,37.46875,-75.900638888
1060,37.033805555,-76.353083333
1062,37.033972222,-76.352833333
1073,36.569472222,-76.250611111
1074,36.568638888,-76.252194444
1075,36.612666666,-76.181527777
1077,36.818777777,-76.224111111
1079,36.817361111,-76.225527777
1080,36.819805555,-76.224944444
1081,36.614341666,-76.191547222
1085,36.816388888,-76.224972222
1088,36.613722222,-76.182666666
1092,37.537938888,-77.205558333
1094,37.480277777,-77.0075
1095,37.534172222,-77.113091666
1096,37.537058333,-77.202844444
1098,37.520763888,-77.172297222
1099,37.519022222,-77.1142
1100,36.777527777,-76.460166666
1103,36.7855,-76.450527777
1105,37.514279044,-77.182871225
1111,37.500519202,-77.167360966
1112,37.502948483,-77.161648883
1116,37.5125,-76.986111111
1117,37.514444444,-76.984427777
1123,37.476361111,-75.862333333
1124,37.543611111,-75.820277777
1125,37.541666666,-75.820833333
1127,37.475583333,-75.865194444
1128,37.289361111,-76.012055555
1129,37.354736111,-75.943913888
1130,37.354722222,-75.943913888
1131,37.351669444,-75.938911111
1132,37.137958333,-75.968794444
1133,37.268055555,-76.006111111
1134,37.28925,-76.010888888
1135,37.283333333,-76.010416666
1138,37.290722222,-76.012944444
1139,37.289861111,-76.012361111
1142,37.138080555,-75.968844444
1143,37.268611111,-76.003055555
1147,37.222938888,-75.981208333
1152,37.288361111,-76.012
1153,37.289305555,-76.011777777
1155,37.149722222,-75.956111111
1157,37.156388888,-75.955277777
1158,37.167388888,-75.974916666
1160,37.172111111,-75.97725
1161,37.261944444,-76.021083333
1163,37.260777777,-76.023166666
1164,37.259805555,-76.023111111
1165,37.268277777,-76.00525
1167,37.261777777,-76.021472222
1170,37.268611111,-76.006944444
1173,37.494972222,-75.956777777
1174,37.494833333,-75.956722222
1178,37.138336111,-75.9714
1179,37.138077777,-75.971130555
1180,37.135708333,-75.967680555
1181,37.515109722,-75.834184444
1182,37.511965833,-75.837366111
1183,37.511473333,-75.836821111
1184,37.512098888,-75.839458333
1185,37.513092777,-75.839451944
1186,37.513406388,-75.835914444
1187,37.513676111,-75.837389166
1188,37.514845,-75.838755277
1189,37.515065277,-75.838922222
1190,37.514758055,-75.839495
1191,37.514584166,-75.839730277
1192,37.515385555,-75.83466
1193,37.515981111,-75.835604722
1198,37.3486,-75.969372222
1199,37.350947222,-75.970516666
1200,37.530833333,-75.901027777
1201,37.528005555,-75.893555555
1202,37.529855555,-75.894163888
1203,37.528947222,-75.896630555
1204,37.532083333,-75.901916666
1205,37.528283333,-75.899463888
1210,37.223769444,-75.968813888
1211,37.223852777,-75.968805555
1212,37.230930555,-75.952197222
1217,37.529805555,-75.889305555
1219,37.2105,-75.986222222
1220,37.480194444,-75.957833333
1221,37.354466666,-75.944188888
1222,37.531916666,-75.903083333
1223,37.535452777,-75.897075
1224,37.538525,-75.896072222
1225,37.539213888,-75.894766666
1226,37.537805555,-75.882455555
1227,37.541080555,-75.884080555
1228,37.376944444,-75.894452777
1229,37.28575,-76.010861111
1232,37.283305555,-76.010722222
1239,37.166944444,-75.977361111
1240,37.261583333,-76.022055555
1241,37.259527777,-76.020638888
1242,37.259472222,-76.020611111
1243,37.258694444,-76.022416666
1244,37.263166666,-76.021861111
1249,37.402875,-75.886875
1250,37.402591666,-75.887041666
1251,37.402063888,-75.88725
1252,37.400733333,-75.887991666
1257,37.495171158,-75.879707277
1258,37.421344444,-75.923234883
1260,37.242027777,-75.973611111
1261,37.234,-75.97175
1262,37.400875,-75.888302777
1263,37.402061111,-75.887
1277,37.473644444,-75.883038888
1278,37.473119444,-75.882630555
1283,37.5003379,-75.875512861
1285,37.143888888,-77.358333333
1286,37.293777777,-77.211472222
1287,37.275555555,-77.202777777
1288,37.297111111,-77.205002777
1289,37.216638888,-77.26
1290,37.216638888,-77.260055555
1291,37.216472222,-77.254611111
1292,37.216305555,-77.254555555
1293,37.156527777,-77.327638888
1294,37.277916666,-77.206083333
1295,37.1575,-77.338611111
1296,37.217777777,-77.275277777
1297,37.219444444,-77.272083333
1298,37.221111111,-77.274166666
1299,37.144533411,-77.359745927
1301,37.305944444,-77.22075
1302,37.158611111,-77.286527777
1303,37.159527777,-77.284388888
1304,37.146472222,-77.357833333
1306,37.223361111,-77.316138888
1307,37.224194444,-77.3275
1309,37.148888888,-77.357777777
1310,37.216388888,-77.2545
1312,36.650263888,-76.998533333
1313,36.658088888,-77.007655555
1314,36.654422222,-77.003622222
1315,36.585111111,-77.204472222
1316,36.9075,-76.899138888
1317,36.904111111,-76.897694444
1318,36.584722222,-77.1975
1319,36.710816666,-77.199355555
1320,36.718055555,-77.070833333
1321,36.718055555,-77.070833333
1322,36.625833333,-77.124444444
1323,36.628611111,-77.126666666
1327,36.715666666,-76.941861111
1330,36.703983333,-77.204805555
1331,36.798055555,-77.035277777
1332,36.5825,-77.193888888
1333,36.574166666,-77.236944444
1334,36.574166666,-77.235555555
1335,36.772794444,-77.174458333
1336,36.586555555,-77.204166666
1337,36.798055555,-77.035277777
1338,36.798055555,-77.035277777
1339,36.798055555,-77.034166666
1340,36.708611111,-77.052222222
1341,36.724325,-77.247836111
1342,36.775222222,-76.982361111
1343,36.679638888,-77.386305555
1344,36.594388888,-76.933416666
1345,36.588416666,-76.927055555
1347,36.6508,-76.996622222
1348,36.685152777,-77.0253
1349,36.685305555,-77.025575
1350,36.775305555,-76.982416666
1352,36.706388888,-76.981672222
1354,36.725141666,-77.256313888
1355,36.706388888,-76.981408333
1356,36.715419444,-77.259905555
1357,36.736155555,-77.254019444
1358,36.586861111,-77.204444444
1359,36.8889,-76.840969444
1362,36.773075,-77.175022222
1363,36.700277777,-77.109166666
1365,36.728833333,-77.243166666
1367,36.907694444,-76.899444444
1370,36.679738816,-77.404274772
1375,36.856083333,-77.038027777
1376,36.855638888,-77.038
1377,36.864194444,-77.033416666
1378,36.864083333,-77.033472222
1379,36.862333333,-77.03975
1380,36.862222222,-77.039666666
1385,37.141666666,-76.841111111
1386,37.133333333,-76.847222222
1389,37.166304877,-76.694434338
1390,37.154248925,-76.673098361
1391,37.165623905,-76.699451769
1392,37.163714255,-76.69685893
1393,37.080166666,-76.902944444
1395,37.145,-76.730833333
1396,37.145833333,-76.740555555
1397,37.164101686,-76.698815888
1398,37.079166666,-76.901416666
1399,37.2225,-76.951388888
1400,37.168542583,-76.696738725
1401,37.168314747,-76.696509597
1402,37.160620922,-76.693363025
1403,37.156673588,-76.689376786
1404,37.045833333,-76.935
1405,37.2225,-76.951666666
1406,37.158876802,-76.693369572
1407,37.110472222,-77.044555555
1408,37.110333333,-77.0445
1409,37.112861111,-77.033194444
1410,37.112722222,-77.033166666
1411,37.108277777,-77.041055555
1412,37.108333333,-77.040833333
1413,37.124916666,-77.06775
1414,37.124888888,-77.068
1415,37.122833333,-77.076888888
1416,37.122916666,-77.076694444
1417,37.1678475,-76.980021944
1418,37.139638888,-76.722694444
1419,37.120694444,-76.743083333
1424,36.971388888,-76.989722222
1425,36.971666666,-76.989444444
1426,36.910833333,-77.034444444
1427,37.0325,-77.109444444
1428,36.942833333,-77.397555555
1429,36.910138888,-77.033888888
1430,36.971944444,-76.989166666
1431,37.049444444,-77.199444444
1432,37.048333333,-77.200833333
1438,37.074583333,-77.152
1439,37.0035,-77.033083333
1440,37.003361111,-77.033388888
1441,36.930333333,-77.037277777
1443,36.941055555,-77.039888888
1444,36.941138888,-77.039777777
1445,36.900166666,-77.086722222
1446,36.900166666,-77.086972222
1447,36.984194444,-77.168027777
1448,36.984277777,-77.167888888
1449,36.983861111,-77.190277777
1450,36.983805555,-77.190222222
1451,36.989222222,-77.193805555
1452,36.98925,-77.193694444
1453,36.946666666,-77.393444444
1454,36.947,-77.391916666
1455,36.943777777,-77.400138888
1456,37.356388888,-76.721944444
1457,37.313333333,-76.699444444
1458,37.260555555,-76.637222222
1459,37.355111111,-76.740972222
1460,37.347972222,-76.738055555
1461,37.351666666,-76.721111111
1462,37.365527777,-76.721305555
1463,37.263611111,-76.634722222
1467,37.259722222,-76.637222222
1469,37.356222222,-76.721472222
1470,37.348416666,-76.745777777
1471,37.348416666,-76.745777777
1472,37.347833333,-76.750611111
1475,37.242305555,-76.64075
1476,37.240083333,-76.641388888
1488,37.0795,-76.443277777
1489,37.076388888,-76.444166666
1491,37.03375,-76.352472222
1505,37.146083333,-76.571722222
1508,37.057222222,-76.502777777
1509,37.056666666,-76.5025
1510,37.056944444,-76.5025
1511,37.056666666,-76.503055555
1512,37.056666666,-76.501666666
1513,37.056388888,-76.506111111
1514,37.056111111,-76.506388888
1515,36.968638888,-76.426111111
1517,36.966422222,-76.419180555
1518,37.177697222,-76.588197222
1519,37.186341666,-76.570147222
1520,37.166722222,-76.554383333
1521,37.178388888,-76.588197222
1522,37.186777777,-76.570166666
1523,37.1666,-76.554416666
1528,37.056388888,-76.505833333
1529,37.056944444,-76.505277777
1537,37.131127777,-76.510858333
1538,37.128611111,-76.511136111
1539,37.128611111,-76.511805555
1540,37.131944444,-76.508341666
1541,37.132230555,-76.507794444
1546,37.114805555,-76.575972222
1547,37.166472222,-76.605361111
1548,37.136055555,-76.597055555
1549,36.964702777,-76.421813888
1550,36.974333333,-76.422444444
1551,36.974222222,-76.422361111
1552,36.974083333,-76.422277777
1553,36.974,-76.422166666
1554,36.973861111,-76.422083333
1555,36.973722222,-76.422
1556,36.973555555,-76.421972222
1558,37.192972222,-76.579833333
1561,37.059163055,-76.504292222
1562,37.058938888,-76.503405555
1563,37.131361111,-76.511111111
1564,37.113155555,-76.581383333
1565,37.112230555,-76.574625
1567,36.880833333,-76.198611111
1568,36.858138888,-76.309638888
1569,36.877222222,-76.326111111
