"DEQ.ID.of.Source","Corrected_Latitude","Corrected_Longitude"
15,37.889305555,-75.56275
16,37.887138888,-75.560333333
17,37.884527777,-75.558972222
18,37.882388888,-75.557
21,37.709166666,-75.741666666
22,37.709166666,-75.741666666
23,37.734083333,-75.653444444
27,37.738638888,-75.652666666
28,37.942388888,-75.455722222
29,37.741694444,-75.655805555
30,37.735722222,-75.649527777
31,37.994694444,-75.417388888
32,37.940888888,-75.456333333
33,37.709444444,-75.741666666
34,37.716388888,-75.748055555
35,37.716388888,-75.748333333
36,38.003222222,-75.425833333
37,37.757777777,-75.6225
38,37.989444444,-75.424527777
39,37.738944444,-75.660472222
40,37.891592622,-75.559116761
41,37.863333333,-75.508888888
42,37.86,-75.510833333
51,37.976944444,-75.538333333
52,37.941444444,-75.455694444
54,37.856138888,-75.559638888
55,37.945,-75.453888888
58,37.977222222,-75.538333333
59,37.48225,-75.791861111
60,37.958611111,-75.450833333
61,37.935972222,-75.460861111
62,37.936583333,-75.46
63,37.938611111,-75.459
64,37.734611111,-75.653444444
65,37.885777777,-75.559583333
66,37.862222222,-75.509444444
68,37.958888888,-75.4475
69,37.853611111,-75.558083333
70,37.859444444,-75.510833333
71,37.941444444,-75.455694444
72,37.940694444,-75.456722222
73,37.939666666,-75.456888888
76,37.83525,-75.578555555
77,37.654972222,-75.819861111
78,37.653888888,-75.821333333
79,37.658166666,-75.825166666
81,37.653083333,-75.818222222
91,37.836222222,-75.582416666
92,37.836305555,-75.582638888
93,37.8365,-75.582861111
94,37.836583333,-75.583
95,37.83675,-75.58325
96,37.836888888,-75.583444444
97,37.836944444,-75.583555555
98,37.837027777,-75.583555555
99,37.837138888,-75.583777777
100,37.836861111,-75.583111111
101,37.836916666,-75.583277777
102,37.653416666,-75.815194444
104,37.85675,-75.559777777
105,37.854611111,-75.555888888
106,37.853861111,-75.556277777
107,37.854055555,-75.557805555
108,37.852861111,-75.553611111
109,37.852444444,-75.559222222
110,37.849194444,-75.558166666
118,37.785027777,-75.650222222
119,37.959269444,-75.448886111
120,37.853611111,-75.558333333
121,37.855166666,-75.55875
124,37.738638888,-75.660666666
126,37.989166666,-75.542
127,37.990333333,-75.539972222
128,37.989027777,-75.539333333
129,37.987888888,-75.543416666
130,37.989638888,-75.54425
131,37.990972222,-75.542833333
132,37.989583333,-75.541055555
133,37.988166666,-75.541277777
134,37.989944444,-75.542611111
135,37.988922222,-75.53935
140,37.715863888,-75.686555555
141,37.716108333,-75.686566666
142,37.7155,-75.687091666
143,37.709933333,-75.727925
144,37.709469444,-75.72805
145,37.708566666,-75.728947222
149,37.933041666,-75.499086111
150,37.932788888,-75.499180555
151,37.928636111,-75.491561111
152,37.871888888,-75.577777777
153,37.872138888,-75.579855555
154,37.872155555,-75.581525
155,37.829661111,-75.613744444
159,37.833358333,-75.570908333
160,37.832563888,-75.585055555
162,37.584361111,-75.790861111
164,37.938083333,-75.459305555
165,37.805138888,-75.629527777
166,37.801416666,-75.637138888
167,37.803805555,-75.634638888
168,37.803666666,-75.633666666
169,37.657416666,-75.826361111
171,37.826297222,-75.547344444
172,37.8239,-75.5425
173,37.720008333,-75.671411111
174,37.719452777,-75.671413888
175,37.648891666,-75.8014
176,37.651127777,-75.798636111
177,37.648066666,-75.8025
178,37.688625,-75.738055555
179,37.691113888,-75.729747222
180,37.688627777,-75.751394444
181,37.487305555,-75.788888888
182,37.934527777,-75.4705
183,37.944333333,-75.481583333
184,37.937611111,-75.477111111
185,37.936,-75.473472222
186,37.939083333,-75.480638888
187,37.651527777,-75.730138888
189,37.650288888,-75.688338888
190,37.767797222,-75.619727777
191,37.765566666,-75.621688888
192,37.766130555,-75.621394444
193,37.671672222,-75.657513888
194,37.671672222,-75.658888888
195,37.695013888,-75.681122222
196,37.695280555,-75.680833333
197,37.696125,-75.680838888
198,37.679461111,-75.698058333
199,37.679188888,-75.69945
200,37.682238888,-75.700847222
201,37.680297222,-75.697230555
202,37.680580555,-75.696411111
203,37.679722222,-75.698072222
204,37.6803,-75.699169444
205,37.683627777,-75.686111111
206,37.683063888,-75.686947222
207,37.682227777,-75.687777777
208,37.681686111,-75.688341666
209,37.681119444,-75.688891666
210,37.679447222,-75.689733333
211,37.680005555,-75.689177777
214,37.826136111,-75.592508333
215,37.742233333,-75.593897222
216,37.670563888,-75.641411111
217,37.66945,-75.640555555
218,37.871833333,-75.577666666
220,37.706916666,-75.737333333
221,37.707527777,-75.738638888
222,37.708138888,-75.737194444
226,37.794602777,-75.553516666
227,37.794602777,-75.569166666
228,37.79545,-75.553516666
229,37.770638888,-75.579511111
230,37.770694444,-75.579527777
231,37.771916666,-75.578
232,37.771944444,-75.578833333
233,37.770527777,-75.574166666
234,37.771527777,-75.573305555
235,37.772055555,-75.574305555
