"HydroID","Permit","Facility","Well Name","Date","Value","Parameter","Units","Variable Key","Well Type","Facility Use Type","Well Depth (ft)","Latitude","Longitude","Permit ID","Locality","DEQ Well Number"
"718","BASF Corporation","BASF Corporation","Deep Well #3 +WQ","06/21/2012","684","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","production","industrial","520.00","37.183666666667","-76.617000000000","GW0035101","","147-00009"
"718","BASF Corporation","BASF Corporation","Deep Well #3 +WQ","03/09/2012","824","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","production","industrial","520.00","37.183666666667","-76.617000000000","GW0035101","","147-00009"
"718","BASF Corporation","BASF Corporation","Deep Well #3 +WQ","12/13/2011","768","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","production","industrial","520.00","37.183666666667","-76.617000000000","GW0035101","","147-00009"
"718","BASF Corporation","BASF Corporation","Deep Well #3 +WQ","09/23/2011","645","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","production","industrial","520.00","37.183666666667","-76.617000000000","GW0035101","","147-00009"
"718","BASF Corporation","BASF Corporation","Deep Well #3 +WQ","06/29/2011","724","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","production","industrial","520.00","37.183666666667","-76.617000000000","GW0035101","","147-00009"
"720","BASF Corporation","BASF Corporation","Deep Well #5 - Emergency","03/31/2009","870","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","production","industrial","510.00","37.189638888889","-76.608194444444","GW0035101","","147-00011"
"718","BASF Corporation","BASF Corporation","Deep Well #3 +WQ","03/31/2009","676","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","production","industrial","520.00","37.183666666667","-76.617000000000","GW0035101","","147-00009"
"720","BASF Corporation","BASF Corporation","Deep Well #5 - Emergency","12/16/2008","1,110","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","production","industrial","510.00","37.189638888889","-76.608194444444","GW0035101","","147-00011"
"718","BASF Corporation","BASF Corporation","Deep Well #3 +WQ","12/16/2008","672","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","production","industrial","520.00","37.183666666667","-76.617000000000","GW0035101","","147-00009"
"718","BASF Corporation","BASF Corporation","Deep Well #3 +WQ","09/04/2008","780","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","production","industrial","520.00","37.183666666667","-76.617000000000","GW0035101","","147-00009"
"720","BASF Corporation","BASF Corporation","Deep Well #5 - Emergency","09/04/2008","630","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","production","industrial","510.00","37.189638888889","-76.608194444444","GW0035101","","147-00011"
"718","BASF Corporation","BASF Corporation","Deep Well #3 +WQ","06/11/2008","684","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","production","industrial","520.00","37.183666666667","-76.617000000000","GW0035101","","147-00009"
"720","BASF Corporation","BASF Corporation","Deep Well #5 - Emergency","06/11/2008","1,230","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","production","industrial","510.00","37.189638888889","-76.608194444444","GW0035101","","147-00011"
"720","BASF Corporation","BASF Corporation","Deep Well #5 - Emergency","03/11/2008","708","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","production","industrial","510.00","37.189638888889","-76.608194444444","GW0035101","","147-00011"
"718","BASF Corporation","BASF Corporation","Deep Well #3 +WQ","03/11/2008","1,140","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","production","industrial","520.00","37.183666666667","-76.617000000000","GW0035101","","147-00009"
"718","BASF Corporation","BASF Corporation","Deep Well #3 +WQ","12/27/2007","696","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","production","industrial","520.00","37.183666666667","-76.617000000000","GW0035101","","147-00009"
"720","BASF Corporation","BASF Corporation","Deep Well #5 - Emergency","12/26/2007","588","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","production","industrial","510.00","37.189638888889","-76.608194444444","GW0035101","","147-00011"
"90600","Bayshore Concrete Cape Charles","Bayshore Concrete Products Corp Cape Charles","#13 (&WQ)","06/18/2019","57","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","monitoring","industrial","305.50","37.261666666667","-76.021944444444","GW0037901","","165-00630"
"1138","Cherrystone Family Camping Resort","Cherrystone Family Camping Resort","W-8 Swimming Pool","07/30/2018","981","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","production","commercial","268.00","37.290722222222","-76.012944444444","GW0046000","","165-00096"
"1138","Cherrystone Family Camping Resort","Cherrystone Family Camping Resort","W-8 Swimming Pool","05/23/2016","482","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","production","commercial","268.00","37.290722222222","-76.012944444444","GW0046000","","165-00096"
"1138","Cherrystone Family Camping Resort","Cherrystone Family Camping Resort","W-8 Swimming Pool","08/26/2015","740","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","production","commercial","268.00","37.290722222222","-76.012944444444","GW0046000","","165-00096"
"1138","Cherrystone Family Camping Resort","Cherrystone Family Camping Resort","W-8 Swimming Pool","05/06/2015","514","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","production","commercial","268.00","37.290722222222","-76.012944444444","GW0046000","","165-00096"
"1138","Cherrystone Family Camping Resort","Cherrystone Family Camping Resort","W-8 Swimming Pool","07/25/2013","310","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","production","commercial","268.00","37.290722222222","-76.012944444444","GW0046000","","165-00096"
"1138","Cherrystone Family Camping Resort","Cherrystone Family Camping Resort","W-8 Swimming Pool","05/22/2013","576","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","production","commercial","268.00","37.290722222222","-76.012944444444","GW0046000","","165-00096"
"1138","Cherrystone Family Camping Resort","Cherrystone Family Camping Resort","W-8 Swimming Pool","07/26/2012","592","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","production","commercial","268.00","37.290722222222","-76.012944444444","GW0046000","","165-00096"
"1138","Cherrystone Family Camping Resort","Cherrystone Family Camping Resort","W-8 Swimming Pool","08/11/2011","652","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","production","commercial","268.00","37.290722222222","-76.012944444444","GW0046000","","165-00096"
"1138","Cherrystone Family Camping Resort","Cherrystone Family Camping Resort","W-8 Swimming Pool","08/30/2010","567","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","production","commercial","268.00","37.290722222222","-76.012944444444","GW0046000","","165-00096"
"1138","Cherrystone Family Camping Resort","Cherrystone Family Camping Resort","W-8 Swimming Pool","06/29/2010","582","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","production","commercial","268.00","37.290722222222","-76.012944444444","GW0046000","","165-00096"
"1138","Cherrystone Family Camping Resort","Cherrystone Family Camping Resort","W-8 Swimming Pool","09/21/2009","614","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","production","commercial","268.00","37.290722222222","-76.012944444444","GW0046000","","165-00096"
"1138","Cherrystone Family Camping Resort","Cherrystone Family Camping Resort","W-8 Swimming Pool","06/30/2009","570","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","production","commercial","268.00","37.290722222222","-76.012944444444","GW0046000","","165-00096"
"1138","Cherrystone Family Camping Resort","Cherrystone Family Camping Resort","W-8 Swimming Pool","08/25/2008","610","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","production","commercial","268.00","37.290722222222","-76.012944444444","GW0046000","","165-00096"
"1138","Cherrystone Family Camping Resort","Cherrystone Family Camping Resort","W-8 Swimming Pool","06/16/2008","663","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","production","commercial","268.00","37.290722222222","-76.012944444444","GW0046000","","165-00096"
"1138","Cherrystone Family Camping Resort","Cherrystone Family Camping Resort","W-8 Swimming Pool","08/22/2007","636","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","production","commercial","268.00","37.290722222222","-76.012944444444","GW0046000","","165-00096"
"1138","Cherrystone Family Camping Resort","Cherrystone Family Camping Resort","W-8 Swimming Pool","06/28/2007","1,479","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","production","commercial","268.00","37.290722222222","-76.012944444444","GW0046000","","165-00096"
"1138","Cherrystone Family Camping Resort","Cherrystone Family Camping Resort","W-8 Swimming Pool","06/07/2006","590","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","production","commercial","268.00","37.290722222222","-76.012944444444","GW0046000","","165-00096"
"1138","Cherrystone Family Camping Resort","Cherrystone Family Camping Resort","W-8 Swimming Pool","09/06/2005","633","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","production","commercial","268.00","37.290722222222","-76.012944444444","GW0046000","","165-00096"
"1138","Cherrystone Family Camping Resort","Cherrystone Family Camping Resort","W-8 Swimming Pool","06/03/2005","1,114","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","production","commercial","268.00","37.290722222222","-76.012944444444","GW0046000","","165-00096"
"1138","Cherrystone Family Camping Resort","Cherrystone Family Camping Resort","W-8 Swimming Pool","09/16/2004","584","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","production","commercial","268.00","37.290722222222","-76.012944444444","GW0046000","","165-00096"
"1138","Cherrystone Family Camping Resort","Cherrystone Family Camping Resort","W-8 Swimming Pool","08/26/2004","862","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","production","commercial","268.00","37.290722222222","-76.012944444444","GW0046000","","165-00096"
"1798","City of Chesapeake Northwest River Water Supply System","Northwest River/Western Branch Systems","NWR-3","04/27/2017","6,976","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","production","municipal","1289.00","36.584950000000","-76.203566666667","GW0043901","","234-00222"
"1749","City of Chesapeake Northwest River Water Supply System","Northwest River/Western Branch Systems","NWR-OW-5","04/27/2017","5,804","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","monitoring","municipal","1294.00","36.591333333333","-76.188611111111","GW0043901","","234-00226"
"1808","City of Chesapeake Northwest River Water Supply System","Northwest River/Western Branch Systems","NWR-1","04/27/2017","5,925","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","production","municipal","1320.00","36.593097222222","-76.210425000000","GW0043901","","234-00220"
"1750","City of Chesapeake Northwest River Water Supply System","Northwest River/Western Branch Systems","NWR-2","04/27/2017","4,793","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","production","municipal","1251.00","36.598144444444","-76.208575000000","GW0043901","","234-00221"
"1810","City of Chesapeake Northwest River Water Supply System","Northwest River/Western Branch Systems","MW-2","04/26/2017","3,258","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","monitoring","municipal","880.00","36.777333333333","-76.460472222222","GW0043901","","234-00256"
"1101","City of Chesapeake Northwest River Water Supply System","Northwest River/Western Branch Systems","MW-1","04/26/2017","2,564","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","monitoring","municipal","720.00","36.787083333333","-76.443972222222","GW0043901","","234-00210"
"1773","City of Chesapeake Northwest River Water Supply System","Northwest River/Western Branch Systems","MW-4","04/26/2017","669","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","monitoring","municipal","","36.790166666667","-76.446222222222","GW0043901","","234-00258"
"1772","City of Chesapeake Northwest River Water Supply System","Northwest River/Western Branch Systems","MW-3","04/26/2017","676","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","monitoring","municipal","880.00","36.783944444444","-76.459194444444","GW0043901","","234-00257"
"1102","City of Chesapeake Northwest River Water Supply System","Northwest River/Western Branch Systems","MW-5","04/26/2017","2,203","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","monitoring","municipal","725.00","36.785444444444","-76.450333333333","GW0043901","","234-00209"
"1102","City of Chesapeake Northwest River Water Supply System","Northwest River/Western Branch Systems","MW-5","02/28/2017","2,266","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","monitoring","municipal","725.00","36.785444444444","-76.450333333333","GW0043901","","234-00209"
"1773","City of Chesapeake Northwest River Water Supply System","Northwest River/Western Branch Systems","MW-4","02/28/2017","678","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","monitoring","municipal","","36.790166666667","-76.446222222222","GW0043901","","234-00258"
"1101","City of Chesapeake Northwest River Water Supply System","Northwest River/Western Branch Systems","MW-1","02/28/2017","2,303","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","monitoring","municipal","720.00","36.787083333333","-76.443972222222","GW0043901","","234-00210"
"1810","City of Chesapeake Northwest River Water Supply System","Northwest River/Western Branch Systems","MW-2","02/28/2017","3,480","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","monitoring","municipal","880.00","36.777333333333","-76.460472222222","GW0043901","","234-00256"
"1772","City of Chesapeake Northwest River Water Supply System","Northwest River/Western Branch Systems","MW-3","02/28/2017","709","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","monitoring","municipal","880.00","36.783944444444","-76.459194444444","GW0043901","","234-00257"
"1808","City of Chesapeake Northwest River Water Supply System","Northwest River/Western Branch Systems","NWR-1","02/10/2017","6,042","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","production","municipal","1320.00","36.593097222222","-76.210425000000","GW0043901","","234-00220"
"1750","City of Chesapeake Northwest River Water Supply System","Northwest River/Western Branch Systems","NWR-2","02/10/2017","4,770","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","production","municipal","1251.00","36.598144444444","-76.208575000000","GW0043901","","234-00221"
"1798","City of Chesapeake Northwest River Water Supply System","Northwest River/Western Branch Systems","NWR-3","02/10/2017","7,827","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","production","municipal","1289.00","36.584950000000","-76.203566666667","GW0043901","","234-00222"
"1749","City of Chesapeake Northwest River Water Supply System","Northwest River/Western Branch Systems","NWR-OW-5","02/10/2017","5,765","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","monitoring","municipal","1294.00","36.591333333333","-76.188611111111","GW0043901","","234-00226"
