"MP_hydroid","Hydrocode","Source Type","MP Name","Facility_hydroid","Facility","Use Type","Month","Year","Water Use MGM","Latitude","Longitude","Locality","FIPS Code"
"466515","echo_VA0000523001","Transfer","FROM VA0000523","73315","Lhoist North America Kimballton Plant 1","mining","01","2022","155","37.377777777778","-80.659722222222","","51071"
"466515","echo_VA0000523001","Transfer","FROM VA0000523","73315","Lhoist North America Kimballton Plant 1","mining","01","2021","104","37.377777777778","-80.659722222222","","51071"
"466515","echo_VA0000523001","Transfer","FROM VA0000523","73315","Lhoist North America Kimballton Plant 1","mining","02","2021","150","37.377777777778","-80.659722222222","","51071"
"466515","echo_VA0000523001","Transfer","FROM VA0000523","73315","Lhoist North America Kimballton Plant 1","mining","03","2021","135","37.377777777778","-80.659722222222","","51071"
"466515","echo_VA0000523001","Transfer","FROM VA0000523","73315","Lhoist North America Kimballton Plant 1","mining","04","2021","97","37.377777777778","-80.659722222222","","51071"
"466515","echo_VA0000523001","Transfer","FROM VA0000523","73315","Lhoist North America Kimballton Plant 1","mining","05","2021","104","37.377777777778","-80.659722222222","","51071"
"466515","echo_VA0000523001","Transfer","FROM VA0000523","73315","Lhoist North America Kimballton Plant 1","mining","06","2021","109","37.377777777778","-80.659722222222","","51071"
"466515","echo_VA0000523001","Transfer","FROM VA0000523","73315","Lhoist North America Kimballton Plant 1","mining","07","2021","108","37.377777777778","-80.659722222222","","51071"
"466515","echo_VA0000523001","Transfer","FROM VA0000523","73315","Lhoist North America Kimballton Plant 1","mining","08","2021","108","37.377777777778","-80.659722222222","","51071"
"466515","echo_VA0000523001","Transfer","FROM VA0000523","73315","Lhoist North America Kimballton Plant 1","mining","09","2021","92","37.377777777778","-80.659722222222","","51071"
"466515","echo_VA0000523001","Transfer","FROM VA0000523","73315","Lhoist North America Kimballton Plant 1","mining","10","2021","92","37.377777777778","-80.659722222222","","51071"
"466515","echo_VA0000523001","Transfer","FROM VA0000523","73315","Lhoist North America Kimballton Plant 1","mining","11","2021","98","37.377777777778","-80.659722222222","","51071"
"466515","echo_VA0000523001","Transfer","FROM VA0000523","73315","Lhoist North America Kimballton Plant 1","mining","12","2021","86","37.377777777778","-80.659722222222","","51071"
"466515","echo_VA0000523001","Transfer","FROM VA0000523","73315","Lhoist North America Kimballton Plant 1","mining","12","2022","127","37.377777777778","-80.659722222222","","51071"
"466515","echo_VA0000523001","Transfer","FROM VA0000523","73315","Lhoist North America Kimballton Plant 1","mining","11","2022","114","37.377777777778","-80.659722222222","","51071"
"466515","echo_VA0000523001","Transfer","FROM VA0000523","73315","Lhoist North America Kimballton Plant 1","mining","10","2022","107","37.377777777778","-80.659722222222","","51071"
"466515","echo_VA0000523001","Transfer","FROM VA0000523","73315","Lhoist North America Kimballton Plant 1","mining","09","2022","111","37.377777777778","-80.659722222222","","51071"
"466515","echo_VA0000523001","Transfer","FROM VA0000523","73315","Lhoist North America Kimballton Plant 1","mining","08","2022","102","37.377777777778","-80.659722222222","","51071"
"466515","echo_VA0000523001","Transfer","FROM VA0000523","73315","Lhoist North America Kimballton Plant 1","mining","07","2022","93","37.377777777778","-80.659722222222","","51071"
"466515","echo_VA0000523001","Transfer","FROM VA0000523","73315","Lhoist North America Kimballton Plant 1","mining","06","2022","132","37.377777777778","-80.659722222222","","51071"
"466515","echo_VA0000523001","Transfer","FROM VA0000523","73315","Lhoist North America Kimballton Plant 1","mining","05","2022","145","37.377777777778","-80.659722222222","","51071"
