"MP_hydroid","Hydrocode","Source Type","MP Name","Facility_hydroid","Facility","Use Type","Year","Water Use MGY","Water Use (MGD)","Latitude","Longitude","FIPS Code","Locality","OWS Planner"
"466443","echo_VA0091219001","Transfer","FROM VA0091219","73163","Laurel Hill Trout Farm- Middlebrook","agriculture","2021","0","0.00","38.037919440000","-79.380838890000","51015","","joseph.grist@de..."
"466443","echo_VA0091219001","Transfer","FROM VA0091219","73163","Laurel Hill Trout Farm- Middlebrook","agriculture","2021","0","0.00","38.037919440000","-79.380838890000","51015","","gmahadwar"
"466443","echo_VA0091219001","Transfer","FROM VA0091219","73163","Laurel Hill Trout Farm- Middlebrook","agriculture","2022","0","0.00","38.037919440000","-79.380838890000","51015","","sgjordan"
"466443","echo_VA0091219001","Transfer","FROM VA0091219","73163","Laurel Hill Trout Farm- Middlebrook","agriculture","2022","0","0.00","38.037919440000","-79.380838890000","51015","","joseph.grist@de..."
"466443","echo_VA0091219001","Transfer","FROM VA0091219","73163","Laurel Hill Trout Farm- Middlebrook","agriculture","2022","0","0.00","38.037919440000","-79.380838890000","51015","","gmahadwar"
"466447","echo_VA0091278001","Transfer","FROM VA0091278","73898","Laurel Hill Trout Farm-South Monterey","agriculture","2021","0","0.00","38.316666666667","-79.633333333333","51091","","sgjordan"
"466447","echo_VA0091278001","Transfer","FROM VA0091278","73898","Laurel Hill Trout Farm-South Monterey","agriculture","2021","0","0.00","38.316666666667","-79.633333333333","51091","","joseph.grist@de..."
"466447","echo_VA0091278001","Transfer","FROM VA0091278","73898","Laurel Hill Trout Farm-South Monterey","agriculture","2021","0","0.00","38.316666666667","-79.633333333333","51091","","gmahadwar"
"466447","echo_VA0091278001","Transfer","FROM VA0091278","73898","Laurel Hill Trout Farm-South Monterey","agriculture","2021","0","0.00","38.316666666667","-79.633333333333","51091","","Anonymous (not verified)"
"466515","echo_VA0000523001","Transfer","FROM VA0000523","73315","Lhoist North America Kimballton Plant 1","mining","2021","1283","3.52","37.377777777778","-80.659722222222","51071","","trevor.lawson@d..."
"466515","echo_VA0000523001","Transfer","FROM VA0000523","73315","Lhoist North America Kimballton Plant 1","mining","2021","1283","3.52","37.377777777778","-80.659722222222","51071","","joseph.grist@de..."
"466515","echo_VA0000523001","Transfer","FROM VA0000523","73315","Lhoist North America Kimballton Plant 1","mining","2021","1283","3.52","37.377777777778","-80.659722222222","51071","","Anonymous (not verified)"
"466515","echo_VA0000523001","Transfer","FROM VA0000523","73315","Lhoist North America Kimballton Plant 1","mining","2022","1655","4.53","37.377777777778","-80.659722222222","51071","","trevor.lawson@d..."
"466515","echo_VA0000523001","Transfer","FROM VA0000523","73315","Lhoist North America Kimballton Plant 1","mining","2022","1655","4.53","37.377777777778","-80.659722222222","51071","","joseph.grist@de..."
"466515","echo_VA0000523001","Transfer","FROM VA0000523","73315","Lhoist North America Kimballton Plant 1","mining","2022","1655","4.53","37.377777777778","-80.659722222222","51071","","Anonymous (not verified)"
"467151","echo_VA0021067001","Transfer","FROM VA0021067","67334","Dahlgren Base","municipal","2021","124.9","0.34","38.323711800000","-77.029685500000","51099","","cetisdale"
"467151","echo_VA0021067001","Transfer","FROM VA0021067","67334","Dahlgren Base","municipal","2021","124.9","0.34","38.323711800000","-77.029685500000","51099","","sgjordan"
"467151","echo_VA0021067001","Transfer","FROM VA0021067","67334","Dahlgren Base","municipal","2021","124.9","0.34","38.323711800000","-77.029685500000","51099","","joseph.grist@de..."
"467151","echo_VA0021067001","Transfer","FROM VA0021067","67334","Dahlgren Base","municipal","2021","124.9","0.34","38.323711800000","-77.029685500000","51099","","hsomers"
"467151","echo_VA0021067001","Transfer","FROM VA0021067","67334","Dahlgren Base","municipal","2022","128.87","0.35","38.323711800000","-77.029685500000","51099","","cetisdale"
"467151","echo_VA0021067001","Transfer","FROM VA0021067","67334","Dahlgren Base","municipal","2022","128.87","0.35","38.323711800000","-77.029685500000","51099","","sgjordan"
"467151","echo_VA0021067001","Transfer","FROM VA0021067","67334","Dahlgren Base","municipal","2022","128.87","0.35","38.323711800000","-77.029685500000","51099","","joseph.grist@de..."
"467151","echo_VA0021067001","Transfer","FROM VA0021067","67334","Dahlgren Base","municipal","2022","128.87","0.35","38.323711800000","-77.029685500000","51099","","hsomers"
"468554","echo_VA0002160001","Transfer","FROM VA0002160","73133","The LYCRA Company Waynesboro Plant","manufacturing","2022","0","0.00","38.059722222222","-78.893611111111","51820","","sgjordan"
"468554","echo_VA0002160001","Transfer","FROM VA0002160","73133","The LYCRA Company Waynesboro Plant","manufacturing","2022","0","0.00","38.059722222222","-78.893611111111","51820","","joseph.grist@de..."
"468554","echo_VA0002160001","Transfer","FROM VA0002160","73133","The LYCRA Company Waynesboro Plant","manufacturing","2022","0","0.00","38.059722222222","-78.893611111111","51820","","gmahadwar"
"468871","echo_VA0028371001","Transfer","FROM VA0028371","90421","MEDAL OF HONOR GOLF COURSE","commercial","2022","24.6","0.07","38.531264000000","-77.309525000000","51153","","cetisdale"
"468871","echo_VA0028371001","Transfer","FROM VA0028371","90421","MEDAL OF HONOR GOLF COURSE","commercial","2022","24.6","0.07","38.531264000000","-77.309525000000","51153","","sgjordan"
"468871","echo_VA0028371001","Transfer","FROM VA0028371","90421","MEDAL OF HONOR GOLF COURSE","commercial","2022","24.6","0.07","38.531264000000","-77.309525000000","51153","","joseph.grist@de..."
"468871","echo_VA0028371001","Transfer","FROM VA0028371","90421","MEDAL OF HONOR GOLF COURSE","commercial","2022","24.6","0.07","38.531264000000","-77.309525000000","51153","","hsomers"
"468873","echo_VA0028363001","Transfer","FROM VA0028363","72561","POST CAMP WTP","municipal","2021","0","0.00","38.523611111111","-77.368055555556","51153","","cetisdale"
"468873","echo_VA0028363001","Transfer","FROM VA0028363","72561","POST CAMP WTP","municipal","2021","0","0.00","38.523611111111","-77.368055555556","51153","","sgjordan"
"468873","echo_VA0028363001","Transfer","FROM VA0028363","72561","POST CAMP WTP","municipal","2021","0","0.00","38.523611111111","-77.368055555556","51153","","joseph.grist@de..."
"468873","echo_VA0028363001","Transfer","FROM VA0028363","72561","POST CAMP WTP","municipal","2021","0","0.00","38.523611111111","-77.368055555556","51153","","hsomers"
"469399","echo_VA0003646003","Transfer","FROM VA0003646","74117","WestRock Covington Plant","manufacturing","2022","0","0.00","37.798055555556","-79.995555555556","51005","","sgjordan"
"469399","echo_VA0003646003","Transfer","FROM VA0003646","74117","WestRock Covington Plant","manufacturing","2022","0","0.00","37.798055555556","-79.995555555556","51005","","andrew.kirk@deq..."
"469399","echo_VA0003646003","Transfer","FROM VA0003646","74117","WestRock Covington Plant","manufacturing","2022","0","0.00","37.798055555556","-79.995555555556","51005","","joseph.grist@de..."
"469399","echo_VA0003646003","Transfer","FROM VA0003646","74117","WestRock Covington Plant","manufacturing","2022","0","0.00","37.798055555556","-79.995555555556","51005","","gmahadwar"
"469399","echo_VA0003646003","Transfer","FROM VA0003646","74117","WestRock Covington Plant","manufacturing","2022","0","0.00","37.798055555556","-79.995555555556","51005","","Anonymous (not verified)"
