"MP_hydroid","Hydrocode","Source Type","MP Name","Facility_hydroid","Facility","Use Type","Year","Water Use MGY","Water Use (MGD)","Latitude","Longitude","FIPS Code","Locality","OWS Planner"
"463094","echo_VA0001015003","Transfer","FROM VA0001015","72546","CLINCH RIVER PLANT","fossilpower","2022","0","0.00","36.932777777778","-82.199166666667","51167","","trevor.lawson@d..."
"463094","echo_VA0001015003","Transfer","FROM VA0001015","72546","CLINCH RIVER PLANT","fossilpower","2022","0","0.00","36.932777777778","-82.199166666667","51167","","joseph.grist@de..."
"463094","echo_VA0001015003","Transfer","FROM VA0001015","72546","CLINCH RIVER PLANT","fossilpower","2022","0","0.00","36.932777777778","-82.199166666667","51167","","Anonymous (not verified)"
"464405","echo_VA0090590002","Transfer","FROM VA0090590","72619","GORE PLANT","mining","2022","0","0.00","39.251388888889","-78.340277777778","51069","","sgjordan"
"464405","echo_VA0090590002","Transfer","FROM VA0090590","72619","GORE PLANT","mining","2022","0","0.00","39.251388888889","-78.340277777778","51069","","joseph.grist@de..."
"464405","echo_VA0090590002","Transfer","FROM VA0090590","72619","GORE PLANT","mining","2022","0","0.00","39.251388888889","-78.340277777778","51069","","gmahadwar"
"464595","echo_VA0068144001","Transfer","FROM VA0068144","74365","WYTHEVILLE FISH HATCHERY","agriculture","2022","0","0.00","36.931388888889","-80.899166666667","51197","","phiggins"
"464595","echo_VA0068144001","Transfer","FROM VA0068144","74365","WYTHEVILLE FISH HATCHERY","agriculture","2022","0","0.00","36.931388888889","-80.899166666667","51197","","trevor.lawson@d..."
"464595","echo_VA0068144001","Transfer","FROM VA0068144","74365","WYTHEVILLE FISH HATCHERY","agriculture","2022","0","0.00","36.931388888889","-80.899166666667","51197","","Anonymous (not verified)"
"464615","echo_VA0067032001","Transfer","FROM VA0067032","71663","MCCLURE #1 MINE & PREP PLANT","mining","2021","0","0.00","37.105277777778","-82.514722222222","51051","","phiggins"
"464615","echo_VA0067032001","Transfer","FROM VA0067032","71663","MCCLURE #1 MINE & PREP PLANT","mining","2021","0","0.00","37.105277777778","-82.514722222222","51051","","trevor.lawson@d..."
"464615","echo_VA0067032001","Transfer","FROM VA0067032","71663","MCCLURE #1 MINE & PREP PLANT","mining","2021","0","0.00","37.105277777778","-82.514722222222","51051","","Anonymous (not verified)"
"464768","echo_VA0002071001","Transfer","FROM VA0002071","73170","POSSUM POINT POWER STATION","fossilpower","2021","0","0.00","38.536944444444","-77.277500000000","51153","","cetisdale"
"464768","echo_VA0002071001","Transfer","FROM VA0002071","73170","POSSUM POINT POWER STATION","fossilpower","2021","0","0.00","38.536944444444","-77.277500000000","51153","","sgjordan"
"464768","echo_VA0002071001","Transfer","FROM VA0002071","73170","POSSUM POINT POWER STATION","fossilpower","2021","0","0.00","38.536944444444","-77.277500000000","51153","","joseph.grist@de..."
"464768","echo_VA0002071001","Transfer","FROM VA0002071","73170","POSSUM POINT POWER STATION","fossilpower","2021","0","0.00","38.536944444444","-77.277500000000","51153","","hsomers"
"464834","echo_VA0004146001","Transfer","FROM VA0004146","73183","CHESTERFIELD POWER STATION","fossilpower","2022","0","0.00","37.383611111111","-77.382777777778","51041","","rgreen"
"464834","echo_VA0004146001","Transfer","FROM VA0004146","73183","CHESTERFIELD POWER STATION","fossilpower","2022","0","0.00","37.383611111111","-77.382777777778","51041","","bnsinha"
"464834","echo_VA0004146001","Transfer","FROM VA0004146","73183","CHESTERFIELD POWER STATION","fossilpower","2022","0","0.00","37.383611111111","-77.382777777778","51041","","joseph.grist@de..."
"464834","echo_VA0004146001","Transfer","FROM VA0004146","73183","CHESTERFIELD POWER STATION","fossilpower","2022","0","0.00","37.383611111111","-77.382777777778","51041","","Anonymous (not verified)"
"464842","echo_VA0004146304","Transfer","FROM VA0004146","73183","CHESTERFIELD POWER STATION","fossilpower","2021","0","0.00","37.383611111111","-77.382777777778","51041","","rgreen"
"464842","echo_VA0004146304","Transfer","FROM VA0004146","73183","CHESTERFIELD POWER STATION","fossilpower","2021","0","0.00","37.383611111111","-77.382777777778","51041","","bnsinha"
"464842","echo_VA0004146304","Transfer","FROM VA0004146","73183","CHESTERFIELD POWER STATION","fossilpower","2021","0","0.00","37.383611111111","-77.382777777778","51041","","joseph.grist@de..."
"464842","echo_VA0004146304","Transfer","FROM VA0004146","73183","CHESTERFIELD POWER STATION","fossilpower","2021","0","0.00","37.383611111111","-77.382777777778","51041","","Anonymous (not verified)"
"465010","echo_VA0072354001","Transfer","FROM VA0072354","71944","Fieldale Plant","manufacturing","2022","0","0.00","36.725833333333","-79.950833333333","51089","","phiggins"
"465010","echo_VA0072354001","Transfer","FROM VA0072354","71944","Fieldale Plant","manufacturing","2022","0","0.00","36.725833333333","-79.950833333333","51089","","trevor.lawson@d..."
"465010","echo_VA0072354001","Transfer","FROM VA0072354","71944","Fieldale Plant","manufacturing","2022","0","0.00","36.725833333333","-79.950833333333","51089","","Anonymous (not verified)"
"465011","echo_VA0072354002","Transfer","FROM VA0072354","71944","Fieldale Plant","manufacturing","2022","0","0.00","36.725833333333","-79.950833333333","51089","","phiggins"
"465011","echo_VA0072354002","Transfer","FROM VA0072354","71944","Fieldale Plant","manufacturing","2022","0","0.00","36.725833333333","-79.950833333333","51089","","trevor.lawson@d..."
"465011","echo_VA0072354002","Transfer","FROM VA0072354","71944","Fieldale Plant","manufacturing","2022","0","0.00","36.725833333333","-79.950833333333","51089","","Anonymous (not verified)"
"465565","echo_VA0003026002","Transfer","FROM VA0003026","73182","GEORGIA-PACIFIC BIG ISLAND WTP","manufacturing","2021","0","0.00","37.535277777778","-79.358055555556","51019","","trevor.lawson@d..."
"465565","echo_VA0003026002","Transfer","FROM VA0003026","73182","GEORGIA-PACIFIC BIG ISLAND WTP","manufacturing","2021","0","0.00","37.535277777778","-79.358055555556","51019","","joseph.grist@de..."
"466044","echo_VA0085901001","Transfer","FROM VA0085901","72482","IBM MANASSAS GROUNDWATER RECOVERY SYSTEM","commercial","2021","0","0.00","38.757500000000","-77.499166666667","51683","","sgjordan"
"466044","echo_VA0085901001","Transfer","FROM VA0085901","72482","IBM MANASSAS GROUNDWATER RECOVERY SYSTEM","commercial","2021","0","0.00","38.757500000000","-77.499166666667","51683","","joseph.grist@de..."
"466044","echo_VA0085901001","Transfer","FROM VA0085901","72482","IBM MANASSAS GROUNDWATER RECOVERY SYSTEM","commercial","2021","0","0.00","38.757500000000","-77.499166666667","51683","","hsomers"
"466198","echo_VA0050351001","Transfer","FROM VA0050351","71661","COKE OVENS","mining","2021","0","0.00","37.234166666667","-82.038055555556","51027","","phiggins"
"466198","echo_VA0050351001","Transfer","FROM VA0050351","71661","COKE OVENS","mining","2021","0","0.00","37.234166666667","-82.038055555556","51027","","trevor.lawson@d..."
"466198","echo_VA0050351001","Transfer","FROM VA0050351","71661","COKE OVENS","mining","2021","0","0.00","37.234166666667","-82.038055555556","51027","","Anonymous (not verified)"
"466443","echo_VA0091219001","Transfer","FROM VA0091219","73163","Laurel Hill Trout Farm- Middlebrook","agriculture","2021","0","0.00","38.037919440000","-79.380838890000","51015","","sgjordan"
