"MP_hydroid","Hydrocode","Source Type","MP Name","Facility_hydroid","Facility","Use Type","Year","Water Use MGY","Water Use (MGD)","Latitude","Longitude","FIPS Code","Locality" 
"225611","vwuds_tfr-0751-1043-TW-DL","Transfer","FROM HENRY CO MARROWBONE","74019","RIDGEWAY SERVICE AREA","municipal","1992","0","0.00","36.576666666667","-79.858888888889","51089",""
"225665","vwuds_tfr-0792-0891-TW-DL","Transfer","FROM CITY OF RADFORD","72552","BETHEL SERVICE AREA","municipal","2004","41.02","0.11","37.101388888889","-80.515277777778","51121",""
"224885","vwuds_tfr-0176-1751-TW-DL","Transfer","FROM GRUNDY (TOWN)","71666","SLATE CREEK SERVICE AREA","municipal","2003","0","0.00","37.285555555556","-82.070555555556","51027",""
"225843","vwuds_tfr-1128-0800-TW-DL","Transfer","FROM DAYTON (TOWN)","74037","DAYTON PLANT","manufacturing","1998","0","0.00","38.413055555556","-78.938888888889","51165",""
"224835","vwuds_tfr-0093-0716-TW-SD","Transfer","FROM WTP TO SERVICE AREA","72421","NORTH FORK SHENANDOAH WTP","municipal","1983","145.211","0.40","38.881944444444","-78.505555555556","51171",""
"225175","vwuds_tfr-0420-0021-TW-SD","Transfer","FROM WTP TO SERVICE AREA","72146","HALIFAX (TOWN) SERVICE AREA","municipal","2007","0","0.00","36.766666666667","-78.927777777778","51083",""
"225227","vwuds_tfr-0450-10189-TW-DL","Transfer","FROM WINDSOR FOR HIDDEN ACRES","73007","SUFFOLK AND ISLE OF WIGHT","municipal","1993","0","0.00","36.908333333333","-76.709722222222","51800",""
"225333","vwuds_tfr-0544-0159-TW-SD","Transfer","FROM WTP TO SERVICE AREA","72201","BIG STONE GAP SERVICE AREA","municipal","1984","0","0.00","36.866666666667","-82.773611111111","51195",""
"225155","vwuds_tfr-0400-0013-TW-SD","Transfer","FROM WTP TO SERVICE AREA","71617","FORT PICKETT SERVICE AREA","municipal","1987","315.275","0.86","37.033333333333","-77.933333333333","51135",""
"225467","vwuds_tfr-0661-0749-TW-DL","Transfer","FROM MARTINSVILLE (CITY)","73980","EDGEWOOD & WOODLAND AREA SA","municipal","1986","0","0.00","36.715000000000","-79.862777777778","51089",""
"225447","vwuds_tfr-0653-0654-TW-SD","Transfer","FROM MAIN WTP TO SER AREA","73095","DANVILLE MAIN WTP","municipal","1995","0","0.00","36.586111111111","-79.392222222222","51590",""
"225067","vwuds_tfr-0285-0286-TW-DL","Transfer","FROM MANASSAS, CITY OF","74431","MANASSAS PARK SERVICE AREA","municipal","1999","0","0.00","38.775833333333","-77.459166666667","51685",""
"225377","vwuds_tfr-0570-0205-TW-SD","Transfer","FROM WTP TO SERVICE AREA","72533","WYTHEVILLE SERVICE AREA","municipal","1998","761.65","2.09","36.950000000000","-82.583333333333","51197",""
"225536","vwuds_tfr-0720-0094-TW-SD","Transfer","FROM WTP TO SERVICE AREA","72632","BROADWAY SERVICE AREA","municipal","1990","0","0.00","38.613055555556","-78.799722222222","51165",""
"225161","vwuds_tfr-0404-0015-TW-SD","Transfer","FROM WTP TO SERVICE AREA","73100","KENBRIDGE SERVICE AREA","municipal","1997","0","0.00","36.961111111111","-78.126388888889","51111",""
"225707","vwuds_tfr-0830-0726-TW-SD","Transfer","FROM WTP TO RIEGEL PLANT","72241","FRIES PLANT","manufacturing","1983","0","0.00","36.715833333333","-80.984722222222","51077",""
"225037","vwuds_tfr-0282-0466-TW-DL","Transfer","FROM FAIRFAX CO WA-OCCOQUAN RE","74425","OWDT SERVICE AREA","municipal","1996","3406.05","9.33","38.661944444444","-77.247777777778","51153",""
"225099","vwuds_tfr-0315-2004-TW-DL","Transfer","TOWN OF LEBANON","72679","POOR FARM WATER WORKS","municipal","1999","20.068","0.05","37.036666666667","-81.918055555556","51167",""
"225179","vwuds_tfr-0422-0426-TW-DL","Transfer","FROM NORFOLK (CITY)","66884","Northwest River/Western Branch Systems","municipal","1985","0","0.00","36.733333333333","-76.240000000000","51550",""
"224853","vwuds_tfr-0160-1776-TW-DL","Transfer","FROM BLUEFIELD, VA (TOWN)","72783","BLUEFIELD DIVIDE","municipal","1992","2.726","0.01","37.234722222222","-81.288055555556","51185",""
"225617","vwuds_tfr-0766-0599-TW-DL","Transfer","FROM LYNCHBURG (CITY)","73457","FOREST CENTRAL SERVICE AREA","municipal","1996","303.813","0.83","37.450000000000","-79.261111111111","51019",""
"225275","vwuds_tfr-0484-0296-TW-SD","Transfer","FROM WTP TO SERVICE AREA","73551","WARRENTON SERVICE AREA","municipal","2000","0","0.00","38.721388888889","-77.804166666667","51061",""
"225275","vwuds_tfr-0484-0296-TW-SD","Transfer","FROM WTP TO SERVICE AREA","73551","WARRENTON SERVICE AREA","municipal","2005","0","0.00","38.721388888889","-77.804166666667","51061",""
"224899","vwuds_tfr-0186-0550-TW-DL","Transfer","FROM PENNINGTON GAP, TOWN","71733","DRYDEN SERVICE AREA","municipal","2011","66.15","0.18","36.778611111111","-82.941666666667","51105",""
"224943","vwuds_tfr-0202-0809-TW-DL","Transfer","FROM WISE (TOWN)","74407","STEPHENS SERVICE AREA","municipal","1996","0","0.00","36.608888888889","-81.602777777778","51195",""
"225267","vwuds_tfr-0479-0299-TW-SD","Transfer","FROM WTP TO SERVICE AREA","71653","CULPEPER (TOWN) SERVICE AREA","municipal","1989","390.7","1.07","38.476388888889","-77.995000000000","51047",""
"225421","vwuds_tfr-0622-0801-TW-DL","Transfer","FROM CLIFTON FORGE (CITY)","71833","SELMA-LOWMOOR SERVICE AREA","municipal","2013","92.91","0.25","37.791111111111","-79.877777777778","51005",""
"225289","vwuds_tfr-0526-0527-TW-SD","Transfer","FROM HARWOOD MILL WTP TO SER A","72531","NEWPORT NEWS SERVICE AREA","municipal","2004","0","0.00","36.969444444444","-76.429166666667","51700",""
"225569","vwuds_tfr-0731-0947-TW-DL","Transfer","FROM WVWA TO STEWARDSVILLE","72646","FROM WVWA TO STEWARTSVILLE","municipal","2007","11.9735","0.03","37.271666666667","-79.816666666667","51019",""
"225503","vwuds_tfr-0701-0334-TW-DL","Transfer","FROM RICHMOND (CITY)","72247","HENRICO COUNTY WTP & Service Area","municipal","2017","3972.86","10.88","37.558360858124","-77.620258580235","51087",""
"225339","vwuds_tfr-0549-0169-TW-SD","Transfer","FROM WTP TO SERVICE AREA","71741","COEBURN WTP","municipal","2014","0","0.00","37.943888888889","-82.464444444444","51195",""
"225961","vwuds_tfr-1884-0526-TW-SD","Transfer","FROM LITTLE CR TO HARWOOD MILL","72438","HARWOOD'S MILL WTP","municipal","1993","0","0.00","37.138055555556","-76.458333333333","51199",""
"225669","vwuds_tfr-0796-0797-TW-SD","Transfer","FROM WTP TO SERVICE AREA","74464","STUART WTP","municipal","1996","0","0.00","36.640277777778","-80.271944444444","51141",""
"225979","vwuds_tfr-1995-0709-TW-DL","Transfer","FROM ALLEGHANY CO IRON GATE SA","73432","Iron Gate Warehouse","manufacturing","1993","6.08","0.02","37.797777777778","-79.787222222222","51005",""
"225153","vwuds_tfr-0398-0012-TW-SD","Transfer","From Georgia Pacific - Allen Rd.","71812","JARRATT WTP","municipal","2009","0","0.00","36.816666666667","-77.466666666667","51081",""
"224947","vwuds_tfr-0207-0099-TW-DL","Transfer","FROM STAUNTON (CITY)","72562","VERONA SERVICE AREA","municipal","2002","168.048","0.46","38.200000000000","-79.008333333333","51015",""
"225371","vwuds_tfr-0566-0202-TW-SD","Transfer","FROM WTP TO SERVICE AREA","74221","WISE (TOWN) WTP","municipal","1996","0","0.00","36.975000000000","-82.580555555556","51195",""
"224947","vwuds_tfr-0207-0099-TW-DL","Transfer","FROM STAUNTON (CITY)","72562","VERONA SERVICE AREA","municipal","2009","268.46","0.74","38.200000000000","-79.008333333333","51015",""
"225439","vwuds_tfr-0647-0785-TW-DL-NULL","Transfer","Transfer from 0647 to 0785","73581","BLACKSBURG SERVICE AREA","municipal","2001","11.534","0.03","37.227222222222","-80.412777777778","51121",""
"225265","vwuds_tfr-0478-0277-TW-SD","Transfer","FROM WTP TO SERVICE AREA","72915","FAIRFAX (CITY) SERVICE AREA","municipal","2012","0","0.00","38.841111111111","-77.308333333333","51600",""
"225551","vwuds_tfr-0725-0325-TW-SD","Transfer","FROM WTP TO SERVICE AREA","71742","MCCLURE SERVICE AREA","municipal","1982","0","0.00","37.600000000000","-82.373611111111","51051",""
"224879","vwuds_tfr-0169-2110-TW-DL","Transfer","FROM COEBURN","71677","SANDY RIDGE SERVICE AREA","municipal","2007","38.1502","0.10","9.000000000000","-99.000000000000","51195",""
"225277","vwuds_tfr-0485-0302-TW-SD","Transfer","FROM WTP TO SERVICE AREA","72773","FREDERICKSBURG SERVICE AREA","municipal","1994","0","0.00","38.302777777778","-77.460555555556","51630",""
"225643","vwuds_tfr-0768-0766-TW-SD","Transfer","FROM COLLEGE HL WTP TO SA","72730","LYNCHBURG SERVICE AREA","municipal","1993","0","0.00","37.413888888889","-79.641666666667","51680",""
"225205","vwuds_tfr-0427-0535-TW-DL","Transfer","FROM WILLIAMSBURG (CITY)","67205","College of William and Mary","commercial","2019","0.1273","0.00","37.270833333333","-76.708888888889","51830",""
"225705","vwuds_tfr-0828-0829-TW-SD","Transfer","FROM WTP TO SERVICE AREA","74067","AUSTINVILLE SERVICE AREA","municipal","2016","0","0.00","36.850000000000","-80.915277777778","51197",""
"225825","vwuds_tfr-1113-1114-TW-SD","Transfer","FROM NOTTOWAY R TO LAKE PRINCE","66937","Norfolk City of Utilities Four Suffolk Wells","municipal","2009","1646.5","4.51","36.805555555556","-76.623611111111","51800",""
"225943","vwuds_tfr-1881-0534-TW-DL","Transfer","FROM NEWPORT NEWS WATER SYSTEM","67015","Williamsburg City of -number 1","municipal","1987","16","0.04","37.301111111111","-76.704444444444","51199",""
"225019","vwuds_tfr-0277-0282-TW-DL-NULL","Transfer","Transfer from 0277 to 0282","72835","GRIFFITH WATER TREATMENT PLANT","municipal","2008","32.731","0.09","38.867222000000","-77.273330000000","51153",""
"225341","vwuds_tfr-0551-0171-TW-SD","Transfer","FROM WTP TO SERVICE AREA","72784","DUFFIELD SERVICE AREA","municipal","2006","0","0.00","36.711666666667","-82.801388888889","51169",""
"225481","vwuds_tfr-0674-0428-TW-DL","Transfer","FROM PORTSMOUTH (CITY)","66913","Suffolk City of Water Supply System","municipal","2010","0","0.00","36.730555555556","-76.591111111111","51800",""
"225585","vwuds_tfr-0736-0731-TW-DL","Transfer","FROM SALEM (CITY)","74111","ROANOKE (CITY) SERVICE AREA","municipal","1995","1.426","0.00","37.271388888889","-79.945277777778","51770",""
"225567","vwuds_tfr-0731-0760-TW-DL","Transfer","FROM ROANOKE (CITY)","74092","ROANOKE SPACE DYE PLANT","manufacturing","1997","0","0.00","37.256388888889","-79.924722222222","51770",""
"225147","vwuds_tfr-0390-0010-TW-SD","Transfer","FROM WTP TO SERVICE AREA","73730","BUCKINGHAM COUNTY WTP","municipal","2002","0","0.00","37.533333333333","-78.483333333333","51029",""
"225263","vwuds_tfr-0477-0298-TW-SD","Transfer","FROM WTP TO SERVICE AREA","73347","MADISON (TOWN) SERVICE AREA","municipal","1985","15.368","0.04","38.381944444444","-78.256388888889","51113",""
"225485","vwuds_tfr-0674-0676-TW-DL","Transfer","FROM PORTSMOUTH (CITY)","73990","BOWERS HILL-SUNRAY BULK PURCHS","municipal","1997","0","0.00","36.783333333333","-76.413888888889","51550",""
"224789","vwuds_tfr-0017-0407-TW-DL","Transfer","FROM LAWRENCEVILLE (TOWN)","71798","ALBERTA SERVICE AREA","municipal","2003","19.132","0.05","36.866388888889","-77.875000000000","51025",""
"225177","vwuds_tfr-0422-0424-TW-DL","Transfer","FROM NORFOLK (CITY)","71956","VIRGINIA BEACH SERVICE AREA","municipal","1987","0","0.00","36.873428790070","-76.201108805339","51810",""
"225149","vwuds_tfr-0392-0011-TW-SD","Transfer","FROM WTP TO SERVICE AREA","72400","ASHLAND SERVICE AREA","municipal","2000","0","0.00","37.758333333333","-77.483333333333","51085",""
"225087","vwuds_tfr-0301-0467-TW-DL","Transfer","FROM ORANGE (TOWN)","72811","ORANGE SERVICE AREA","municipal","1991","0","0.00","38.194444444444","-77.136666666667","51137",""
"225585","vwuds_tfr-0736-0731-TW-DL","Transfer","FROM SALEM (CITY)","74111","ROANOKE (CITY) SERVICE AREA","municipal","1990","0","0.00","37.271388888889","-79.945277777778","51770",""
"224945","vwuds_tfr-0207-0098-TW-DL","Transfer","TOTAL FROM STAUNTON (CITY)","72068","SOUTH RIVER SERVICE AREA","municipal","2008","89.287","0.24","38.022222222222","-79.033333333333","51015",""
"225149","vwuds_tfr-0392-0011-TW-SD","Transfer","FROM WTP TO SERVICE AREA","72400","ASHLAND SERVICE AREA","municipal","2005","0","0.00","37.758333333333","-77.483333333333","51085",""
"224907","vwuds_tfr-0188-0164-TW-DL","Transfer","FROM RICHLANDS (TOWN)","74277","CEDAR BLUFF SERVICE AREA","municipal","1983","0","0.00","37.087500000000","-81.762500000000","51185",""
"225561","vwuds_tfr-0731-0741-TW-DL","Transfer","TO SALEM (CITY) Hearth Lane & Kessler Mill","74122","ROANOKE COUNTY SERVICE AREA","municipal","1992","937.61","2.57","37.234444444444","-80.005555555556","51161",""
"225019","vwuds_tfr-0277-0282-TW-DL-NULL","Transfer","Transfer from 0277 to 0282","72835","GRIFFITH WATER TREATMENT PLANT","municipal","1996","0","0.00","38.867222000000","-77.273330000000","51153",""
"225013","vwuds_tfr-0276-0283-TW-DL","Transfer","FROM FAIRFAX CO WA-POTOMAC R","73499","VIENNA SERVICE AREA","municipal","2012","21.026","0.06","38.901111111111","-77.264722222222","51059",""
"225567","vwuds_tfr-0731-0760-TW-DL","Transfer","FROM ROANOKE (CITY)","74092","ROANOKE SPACE DYE PLANT","manufacturing","1995","0","0.00","37.256388888889","-79.924722222222","51770",""
"225315","vwuds_tfr-0527-2099-TW-DL","Transfer","TOTAL OF ALL FROM NEWPORT NEWS","73367","YORK COUNTY PURCHASES","municipal","2010","0","0.00","37.210392500000","-76.386879700000","51199",""
"225413","vwuds_tfr-0612-1016-TW-DL","Transfer","FROM COVINGTON (CITY)","74117","COVINGTON PLANT WestRock","manufacturing","1987","0","0.00","37.798055555556","-79.995555555556","51005",""
"225417","vwuds_tfr-0621-0622-TW-SD","Transfer","FROM WTP TO SERVICE AREA","73335","CLIFTON FORGE SERVICE AREA","municipal","2012","318.587","0.87","37.816666666667","-79.823611111111","51005",""
"225181","vwuds_tfr-0422-0680-TW-DL","Transfer","FROM NORFOLK (CITY)","73920","NORFOLK-PORTSMOUTH-VA BEACH","commercial","1995","0","0.00","36.944444444444","-76.305555555556","51710",""
"225977","vwuds_tfr-1975-0248-TW-DL","Transfer","FROM NELSON COUNTY","73140","Lake Monacan-Stoney Creek (Wintergreen)","commercial","2000","0","0.00","37.931255700000","-78.811847700000","51125",""
"225619","vwuds_tfr-0766-0640-TW-DL","Transfer","FROM LYNCHBURG (CITY)","71758","CENTRAL SYSTEM SERVICE AREA","municipal","1989","0","0.00","37.318055555556","-79.259722222222","51031",""
"225663","vwuds_tfr-0792-0793-TW-DL","Transfer","FROM RADFORD (CITY)","72662","RADFORD PLANT","manufacturing","1990","0","0.00","37.125277777778","-80.591111111111","51750",""
"224981","vwuds_tfr-0218-1357-TW-DL","Transfer","FROM GOSHEN (TOWN)","73708","GOSHEN PLANT","manufacturing","1989","0.367","0.00","37.983888888889","-79.495000000000","51163",""
"225587","vwuds_tfr-0736-0741-TW-DL","Transfer","FROM SALEM (CITY)","74122","ROANOKE COUNTY SERVICE AREA","municipal","1988","75.49","0.21","37.234444444444","-80.005555555556","51161",""
"226073","vwuds_tfr-pmp773-0283-TW-DL","Transfer","FROM ARLINGTON COUNTY","73527","CORBALIS WATER TREATMENT PLANT","municipal","2014","23.58","0.06","38.903333000000","-77.159722000000","51059",""
"225525","vwuds_tfr-0715-0227-TW-SD","Transfer","FROM WTP TO SERVICE AREA","72396","SHENANDOAH (TOWN) SERVICE AREA","municipal","1991","0","0.00","38.485833333333","-78.621666666667","51139",""
"225677","vwuds_tfr-0804-0061-TW-SD","Transfer","FROM WTP TO SERVICE AREA","73497","HARRISONBURG SERVICE AREA","municipal","2008","0","0.00","38.450000000000","-78.869444444444","51660",""
"225217","vwuds_tfr-0427-2016-TW-DL","Transfer","FROM WILLIAMSBURG, CITY OF","72542","KINGSWD/WINSTON TER/DRUID HLLS","municipal","1992","0","0.00","-99.000000000000","-99.000000000000","51095",""
"225367","vwuds_tfr-0564-0197-TW-SD","Transfer","FROM WTP TO SERVICE AREA","74368","TAZEWELL (TOWN) SERVICE AREA","municipal","1985","0","0.00","37.116666666667","-81.144444444444","51185",""
"225559","vwuds_tfr-0731-0740-TW-DL","Transfer","FROM WESTERN VA WATER AUTH","74424","VINTON SERVICE AREA","municipal","2010","37.18","0.10","37.279444444444","-79.891944444444","51161",""
"226075","vwuds_tfr-pmp845-10328-SW-SD","Transfer","Pond 2","68653","Captains Cove Golf and Yacht Club","commercial","2014","4.8","0.01","37.991567000000","-75.423809000000","51001",""
"225485","vwuds_tfr-0674-0676-TW-DL","Transfer","FROM PORTSMOUTH (CITY)","73990","BOWERS HILL-SUNRAY BULK PURCHS","municipal","1995","0","0.00","36.783333333333","-76.413888888889","51550",""
"225947","vwuds_tfr-1881-1884-TW-SD","Transfer","FROM CHICKAHOMINY TO LITTLE CR","72532","LITTLE CREEK RESERVOIR","municipal","2011","0","0.00","37.363888888889","-76.827777777778","51095",""
"225511","vwuds_tfr-0710-0711-TW-SD","Transfer","FROM WTP TO SERVICE AREA","71820","PULASKI COUNTY SERVICE AREA","municipal","1998","644.5","1.77","37.138055555556","-80.586666666667","51155",""
"225871","vwuds_tfr-1533-1534-TW-SD","Transfer","FROM WTP TO SERVICE AREA","71734","UPPER SMITH SERVICE AREA","municipal","1993","0","0.00","36.702500000000","-79.913611111111","51089",""
"225503","vwuds_tfr-0701-0334-TW-DL","Transfer","FROM RICHMOND (CITY)","72247","HENRICO COUNTY WTP & Service Area","municipal","2002","6823","18.69","37.558360858124","-77.620258580235","51087",""
"225331","vwuds_tfr-0543-0157-TW-SD","Transfer","FROM WTP TO SERVICE AREA","74367","APPALACHIA SERVICE AREA","municipal","2001","0","0.00","36.904166666667","-82.783888888889","51195",""
"225035","vwuds_tfr-0282-0288-TW-DL","Transfer","FROM FAIRFAX CO WA","74448","GMSD SERVICE AREA","municipal","2003","789.731","2.16","38.784166666667","-77.481111111111","51153",""
"225283","vwuds_tfr-0490-0475-TW-SD","Transfer","FROM WTP TO POST CAMP","71709","POST CAMP SERVICE AREA","commercial","2004","0","0.00","38.506944444444","-77.304166666667","51153",""
"225497","vwuds_tfr-0683-0674-TW-SD","Transfer","FROM CLEARWELL TO SERV AR","73487","PORTSMOUTH SERVICE AREA","municipal","2013","5347.78","14.65","36.833888888889","-76.297222222222","51740",""
"225551","vwuds_tfr-0725-0325-TW-SD","Transfer","FROM WTP TO SERVICE AREA","71742","MCCLURE SERVICE AREA","municipal","1986","0","0.00","37.600000000000","-82.373611111111","51051",""
"224889","vwuds_tfr-0180-0203-TW-DL","Transfer","FROM JONESVILLE (TOWN)","71647","WOODWAY SERVICE AREA","municipal","1987","0","0.00","36.731388888889","-82.992500000000","51105",""
"225671","vwuds_tfr-0803-0184-TW-SD","Transfer","FROM WTP TO SERVICE AREA","71775","MOCCASIN GAP SERVICE AREA","municipal","2013","0","0.00","36.638611111111","-82.558611111111","51169",""
"225593","vwuds_tfr-0738-0736-TW-SD","Transfer","FROM NEW WTP 2 TO SERV AR","73333","SALEM SERVICE AREA","municipal","1988","208.38","0.57","37.293055555556","-80.061944444445","51775",""
"225671","vwuds_tfr-0803-0184-TW-SD","Transfer","FROM WTP TO SERVICE AREA","71775","MOCCASIN GAP SERVICE AREA","municipal","1988","0","0.00","36.638611111111","-82.558611111111","51169",""
"225859","vwuds_tfr-1468-0274-TW-SD","Transfer","Delivered to service area FROM WTP","73093","LEESBURG WTP","municipal","2002","0","0.00","39.115555555556","-77.565833333333","51107",""
"225093","vwuds_tfr-0303-0482-TW-SD","Transfer","FROM ABEL WTP TO SERVICE AREA","71706","STAFFORD COUNTY SERVICE AREA","municipal","2013","1329.662","3.64","38.422222222222","-77.408333333333","51179",""
"224927","vwuds_tfr-0194-1840-TW-DL","Transfer","FROM SALTVILLE (TOWN)","71772","UPPER POORE VALLEY SERV AREA","municipal","1998","2.962","0.01","36.893888888889","-81.791111111111","51173",""
"224931","vwuds_tfr-0195-0575-TW-SD","Transfer","FROM SCOTT CO SERV AREA","72288","DUFFIELD-PATTONSVILLE SER AREA","municipal","2008","0","0.00","36.705000000000","-82.823055555556","51169",""
"225365","vwuds_tfr-0563-0193-TW-SD","Transfer","FROM WTP TO SERVICE AREA","72331","ST. PAUL SERVICE AREA","municipal","2008","79.9479","0.22","36.904166666667","-82.311111111111","51195",""
"225353","vwuds_tfr-0556-0176-TW-SD","Transfer","FROM WTP TO SERVICE AREA","73416","GRUNDY SERVICE AREA","municipal","2014","0","0.00","37.277777777778","-82.059722222222","51027",""
"225555","vwuds_tfr-0728-0314-TW-SD","Transfer","FROM WTP TO SERVICE AREA","71784","CLAYPOOL HILL SERVICE AREA","municipal","1996","0","0.00","37.062500000000","-81.752222222222","51185",""
"224993","vwuds_tfr-0232-2040-TW-DL","Transfer","FROM VA HOT SPRINGS INC","73396","Thomastown/Bacova Junction Service Area","municipal","1993","0","0.00","-99.000000000000","-99.000000000000","51017",""
"226032","vwuds_tfr-pmp1060-0482-TW-SD","Transfer","FROM LAKE MOONEY WTP TO SERVICE AREA","71706","STAFFORD COUNTY SERVICE AREA","municipal","2015","1311.28","3.59","38.422222222222","-77.408333333333","51179",""
"225617","vwuds_tfr-0766-0599-TW-DL","Transfer","FROM LYNCHBURG (CITY)","73457","FOREST CENTRAL SERVICE AREA","municipal","1983","0","0.00","37.450000000000","-79.261111111111","51019",""
"225419","vwuds_tfr-0622-0623-TW-DL","Transfer","FROM CLIFTON FORGE","73763","WILSON SERVICE AREA","municipal","2011","70.79","0.19","37.823055555556","-79.796666666667","51005",""
"59505","vwuds_373248077405801","Transfer","PRIMARY","72492","SYDNOR - FOUNDER'S BRIDGE","municipal","2012","0","0.00","","","51145",""
"224915","vwuds_tfr-0193-0323-TW-DL","Transfer","FROM ST PAUL (TOWN)","72795","DANTE-LICK CREEK SERVICE AREA","municipal","1988","7.65","0.02","36.958333333333","-82.292500000000","51167",""
"225421","vwuds_tfr-0622-0801-TW-DL","Transfer","FROM CLIFTON FORGE (CITY)","71833","SELMA-LOWMOOR SERVICE AREA","municipal","1988","68.971","0.19","37.791111111111","-79.877777777778","51005",""
"224861","vwuds_tfr-0162-0326-TW-DL","Transfer","FROM BUCHANAN CO PSA-DIRECT","72764","CLINCHCO SERVICE AREA","municipal","1985","0","0.00","37.161111111111","-82.358333333333","51051",""
"225943","vwuds_tfr-1881-0534-TW-DL","Transfer","FROM NEWPORT NEWS WATER SYSTEM","67015","Williamsburg City of -number 1","municipal","2009","0","0.00","37.301111111111","-76.704444444444","51199",""
"225111","vwuds_tfr-0333-0701-TW-SD","Transfer","FROM WTP TO SERVICE AREA","72510","RICHMOND (CITY) SERVICE AREA","municipal","1988","16364.9","44.84","37.550000000000","-77.462500000000","51760",""
"225603","vwuds_tfr-0743-1125-TW-DL","Transfer","FROM HENRY CO PSA-SA 1","74018","BASSETT DIVISION","manufacturing","1984","0","0.00","36.763888888889","-79.998611111111","51089",""
"225645","vwuds_tfr-0784-0785-TW-DL","Transfer","FROM BLCKBG-CHRSTNSBG-VPI","73581","BLACKSBURG SERVICE AREA","municipal","2013","0","0.00","37.227222222222","-80.412777777778","51121",""
"225005","vwuds_tfr-0267-0269-TW-DL","Transfer","FROM WINCHESTER (CITY)","72449","FREDERICK COUNTY SANITATION AUTHORITY","municipal","2010","375.788","1.03","39.083333333333","-78.183333333333","51069",""
"225961","vwuds_tfr-1884-0526-TW-SD","Transfer","FROM LITTLE CR TO HARWOOD MILL","72438","HARWOOD'S MILL WTP","municipal","1998","0","0.00","37.138055555556","-76.458333333333","51199",""
"225417","vwuds_tfr-0621-0622-TW-SD","Transfer","FROM WTP TO SERVICE AREA","73335","CLIFTON FORGE SERVICE AREA","municipal","2007","0","0.00","37.816666666667","-79.823611111111","51005",""
"225393","vwuds_tfr-0603-0706-TW-DL","Transfer","FROM PEARISBURG (TOWN)","72695","VIRGINIA HEIGHTS SERVICE AREA","municipal","1985","0","0.00","37.325555555556","-80.704722222222","51071",""
"225401","vwuds_tfr-0606-0711-TW-DL","Transfer","FROM PULASKI (TOWN)","71820","PULASKI COUNTY SERVICE AREA","municipal","1983","0","0.00","37.138055555556","-80.586666666667","51155",""
"225407","vwuds_tfr-0612-0613-TW-DL","Transfer","FROM COVINGTON (CITY)","72622","ROSEDALE ET. AL. SERVICE AREA","municipal","1995","21.88","0.06","37.798611111111","-80.005555555556","51005",""
"225069","vwuds_tfr-0285-0288-TW-DL","Transfer","FROM MANASSAS (CITY)","74448","GMSD SERVICE AREA","municipal","1993","364.122","1.00","38.784166666667","-77.481111111111","51153",""
"225483","vwuds_tfr-0674-0675-TW-DL","Transfer","FROM PORTSMOUTH (CITY)","74319","CHESAPEAKE DIRECT CUSTOMERS-From Portsmouth","municipal","2004","1187.441","3.25","36.863055555556","-76.401944444444","51550",""
"224959","vwuds_tfr-0211-1973-TW-DL","Transfer","FROM RIVANNA WSA","72134","CHALOTTESVILLE SERVICE AREA","municipal","1988","2543.52","6.97","-99.000000000000","-99.000000000000","51540",""
"225361","vwuds_tfr-0560-0186-TW-SD","Transfer","FROM WTP TO SERVICE AREA","74248","PENNINGTON GAP SERVICE AREA","municipal","2002","0","0.00","36.758333333333","-83.035555555556","51105",""
"225421","vwuds_tfr-0622-0801-TW-DL","Transfer","FROM CLIFTON FORGE (CITY)","71833","SELMA-LOWMOOR SERVICE AREA","municipal","2006","75.88548","0.21","37.791111111111","-79.877777777778","51005",""
"224885","vwuds_tfr-0176-1751-TW-DL","Transfer","FROM GRUNDY (TOWN)","71666","SLATE CREEK SERVICE AREA","municipal","2010","0","0.00","37.285555555556","-82.070555555556","51027",""
"225381","vwuds_tfr-0578-0579-TW-SD","Transfer","FROM WTP TO SERVICE AREA","73573","GRETNA WTP","municipal","1990","0","0.00","36.955000000000","-79.363333333333","51143",""
"225217","vwuds_tfr-0427-2016-TW-DL","Transfer","FROM WILLIAMSBURG, CITY OF","72542","KINGSWD/WINSTON TER/DRUID HLLS","municipal","2009","0","0.00","-99.000000000000","-99.000000000000","51095",""
"224857","vwuds_tfr-0161-1482-TW-DL","Transfer","FROM BRISTOL VA UTILITIES","71789","BRISTOL, TENNESSEE SERV AREA","municipal","1990","0","0.00","-99.000000000000","-99.000000000000","51520",""
"224889","vwuds_tfr-0180-0203-TW-DL","Transfer","FROM JONESVILLE (TOWN)","71647","WOODWAY SERVICE AREA","municipal","2014","41.83","0.11","36.731388888889","-82.992500000000","51105",""
"225517","vwuds_tfr-0711-0606-TW-DL","Transfer","FROM PULASKI CO PSA","72128","PULASKI (TOWN) SERVICE AREA","municipal","2000","14.34","0.04","37.089444444444","-80.781666666667","51155",""
"225587","vwuds_tfr-0736-0741-TW-DL","Transfer","FROM SALEM (CITY)","74122","ROANOKE COUNTY SERVICE AREA","municipal","2007","61.743","0.17","37.234444444444","-80.005555555556","51161",""
"225037","vwuds_tfr-0282-0466-TW-DL","Transfer","FROM FAIRFAX CO WA-OCCOQUAN RE","74425","OWDT SERVICE AREA","municipal","1998","3314.3","9.08","38.661944444444","-77.247777777778","51153",""
