"MP_hydroid","Hydrocode","Source Type","MP Name","Facility_hydroid","Facility","Use Type","Year","Water Use MGY","Water Use (MGD)","Latitude","Longitude","FIPS Code","Locality"
"225561","vwuds_tfr-0731-0741-TW-DL","Transfer","TO SALEM (CITY) Hearth Lane & Kessler Mill","74122","ROANOKE COUNTY SERVICE AREA","municipal","1993","957.7","2.62","37.234444444444","-80.005555555556","51161",""
"225721","vwuds_tfr-0912-1000-TW-SD","Transfer","FROM WTP TO PLANT","73332","MARTINSVILLE PLANT","manufacturing","1987","16569","45.39","36.663055555556","-79.893611111111","51089",""
"225471","vwuds_tfr-0661-0957-TW-DL","Transfer","FROM MARTINSVILLE (CITY)","73397","RT 58 EAST WATER SYSTEM","municipal","2003","137.167","0.38","36.691397500000","-79.839912900000","51089",""
"225385","vwuds_tfr-0587-0588-TW-SD","Transfer","FROM WTP TO SERVICE AREA","72148","CHATHAM SERVICE AREA","municipal","2007","0","0.00","36.824444444444","-79.815000000000","51143",""
"225095","vwuds_tfr-0306-0481-TW-SD","Transfer","FROM NI R WTP TO NI R SER AREA","72916","NI RIVER SERVICE AREA","municipal","1993","0","0.00","38.201111111111","-77.590000000000","51177",""
"225813","vwuds_tfr-1108-0682-TW-SD","Transfer","FROM WESTERN BR TO MOORES WTP","71625","MOORES BRIDGE WTP","municipal","2008","13682.09","37.49","36.872222222222","-76.212500000000","51710",""
"225433","vwuds_tfr-0636-1699-TW-DL","Transfer","FROM ALTAVISTA (TOWN)","72664","ALTAVISTA PLANT","manufacturing","2017","440.2","1.21","37.132500000000","-79.270000000000","51031",""
"225861","vwuds_tfr-1471-1362-TW-DL","Transfer","FROM VDOC-JAMES R CORRECTIONS","73695","GOOCHLAND CT HSE SERVICE AREA","municipal","2006","27.003","0.07","37.682500000000","-77.885000000000","51075",""
"225593","vwuds_tfr-0738-0736-TW-SD","Transfer","FROM NEW WTP 2 TO SERV AR","73333","SALEM SERVICE AREA","municipal","1994","0","0.00","37.293055555556","-80.061944444445","51775",""
"225361","vwuds_tfr-0560-0186-TW-SD","Transfer","FROM WTP TO SERVICE AREA","74248","PENNINGTON GAP SERVICE AREA","municipal","1985","0","0.00","36.758333333333","-83.035555555556","51105",""
"225145","vwuds_tfr-0359-0814-TW-SD","Transfer","FROM WTP TO SERVICE AREA","74354","DOSWELL SERVICE AREA","municipal","1993","0","0.00","37.860277777778","-77.464722222222","51085",""
"224815","vwuds_tfr-0060-1940-TW-DL","Transfer","FROM CITY OF WAYNESBORO","72425","WAYNESBORO PLANT","manufacturing","2002","0","0.00","-99.000000000000","-99.000000000000","51820",""
"224881","vwuds_tfr-0171-0195-TW-DL","Transfer","FROM DUFFIELD DEVELOPMENT AUTH","71753","SCOTT COUNTY SERVICE AREA","municipal","2010","0","0.00","36.638888888889","-82.579166666667","51169",""
"225533","vwuds_tfr-0719-0090-TW-SD","Transfer","FROM WTP TO SERVICE AREA","72382","BERRYVILLE SERVICE AREA","municipal","1985","116.052","0.32","39.151666666667","-77.982500000000","51043",""
"225267","vwuds_tfr-0479-0299-TW-SD","Transfer","FROM WTP TO SERVICE AREA","71653","CULPEPER (TOWN) SERVICE AREA","municipal","2010","630.73","1.73","38.476388888889","-77.995000000000","51047",""
"225359","vwuds_tfr-0559-0185-TW-SD","Transfer","FROM WTP TO SERVICE AREA","71778","NORTON SERVICE AREA","municipal","2004","0","0.00","36.933333333333","-82.630555555556","51720",""
