"hydrocode"	"varkey"	"entity_type"	"propname"	"propcode"	"startdate"	"enddate"	"proptext"
"echo_VA0090883001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"E90"	"02/01/2016"	"02/29/2016"	"Effluent Violation"
"echo_VA0090883001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"E90"	"04/01/2016"	"04/30/2016"	"Effluent Violation"
"echo_VA0091821001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"E90"	"05/01/2017"	"05/31/2017"	"Effluent Violation"
"echo_VA0091821001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"E90"	"02/01/2016"	"02/29/2016"	"Effluent Violation"
"echo_VA0091995001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D80"	"01/01/2017"	"03/31/2017"	"DMR Overdue, monitoring only required"
"echo_VA0092339001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D90"	"01/01/2016"	"12/31/2016"	"DMR Overdue, with a numeric limit"
"echo_VA0092428001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D80"	"01/01/2015"	"12/31/2015"	"DMR Overdue, monitoring only required"
"echo_VA0092584001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D90"	"02/01/2016"	"02/29/2016"	"DMR Overdue, with a numeric limit"
"echo_VA0092711102"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D80"	"01/01/2016"	"03/31/2016"	"DMR Overdue, monitoring only required"
"echo_VA0092711103"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D80"	"01/01/2016"	"03/31/2016"	"DMR Overdue, monitoring only required"
"echo_VA0092711104"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D80"	"01/01/2016"	"03/31/2016"	"DMR Overdue, monitoring only required"
"echo_VA0092711105"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D80"	"01/01/2016"	"03/31/2016"	"DMR Overdue, monitoring only required"
"echo_VA0092711106"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D80"	"01/01/2016"	"03/31/2016"	"DMR Overdue, monitoring only required"
"echo_VA0092711107"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D80"	"01/01/2016"	"03/31/2016"	"DMR Overdue, monitoring only required"
"echo_VA0092959001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D90"	"06/01/2017"	"06/30/2017"	"DMR Overdue, with a numeric limit"
"echo_VAN020030500"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D80"	"04/01/2017"	"04/30/2017"	"DMR Overdue, monitoring only required"
