"hydrocode"	"varkey"	"entity_type"	"propname"	"propcode"	"startdate"	"enddate"	"proptext"
"echo_VA0020320001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"E90"	"12/01/2015"	"12/31/2015"	"Effluent Violation"
"echo_VA0020729001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"E90"	"02/01/2016"	"02/29/2016"	"Effluent Violation"
"echo_VA0020729001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"E90"	"01/01/2018"	"01/31/2018"	"Effluent Violation"
"echo_VA0020991001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"E90"	"07/01/2013"	"07/31/2013"	"Effluent Violation"
"echo_VA0021849001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D90"	"12/01/2017"	"12/31/2017"	"DMR Overdue, with a numeric limit"
"echo_VA0024163001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D80"	"10/01/2017"	"10/31/2017"	"DMR Overdue, monitoring only required"
"echo_VA0024163001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D80"	"11/01/2017"	"11/30/2017"	"DMR Overdue, monitoring only required"
"echo_VA0024431001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"E90"	"07/01/2016"	"07/31/2016"	"Effluent Violation"
"echo_VA0024490001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D90"	"02/01/2018"	"02/28/2018"	"DMR Overdue, with a numeric limit"
"echo_VA0024490001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D90"	"06/01/2018"	"06/30/2018"	"DMR Overdue, with a numeric limit"
"echo_VA0024490001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D90"	"11/01/2017"	"11/30/2017"	"DMR Overdue, with a numeric limit"
"echo_VA0024490001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D90"	"07/01/2017"	"07/31/2017"	"DMR Overdue, with a numeric limit"
"echo_VA0024490001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D90"	"12/01/2017"	"12/31/2017"	"DMR Overdue, with a numeric limit"
"echo_VA0024490001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D90"	"10/01/2017"	"10/31/2017"	"DMR Overdue, with a numeric limit"
"echo_VA0024490001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D90"	"01/01/2018"	"01/31/2018"	"DMR Overdue, with a numeric limit"
"echo_VA0024490001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D90"	"06/01/2017"	"06/30/2017"	"DMR Overdue, with a numeric limit"
"echo_VA0024490001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D90"	"03/01/2018"	"03/31/2018"	"DMR Overdue, with a numeric limit"
"echo_VA0024490001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D90"	"05/01/2018"	"05/31/2018"	"DMR Overdue, with a numeric limit"
"echo_VA0024490001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D90"	"09/01/2017"	"09/30/2017"	"DMR Overdue, with a numeric limit"
"echo_VA0024490001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D90"	"08/01/2017"	"08/31/2017"	"DMR Overdue, with a numeric limit"
"echo_VA0024490001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D90"	"04/01/2018"	"04/30/2018"	"DMR Overdue, with a numeric limit"
"echo_VA0024945001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"E90"	"12/01/2015"	"12/31/2015"	"Effluent Violation"
"echo_VA0024945001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"E90"	"02/01/2016"	"02/29/2016"	"Effluent Violation"
"echo_VA0024945001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"E90"	"10/01/2015"	"10/31/2015"	"Effluent Violation"
"echo_VA0024945001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"E90"	"05/01/2016"	"05/31/2016"	"Effluent Violation"
"echo_VA0025291001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"E90"	"02/01/2014"	"02/28/2014"	"Effluent Violation"
"echo_VA0025291001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"E90"	"03/01/2014"	"03/31/2014"	"Effluent Violation"
"echo_VA0025470001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"E90"	"01/01/2016"	"01/31/2016"	"Effluent Violation"
"echo_VA0025470001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"E90"	"02/01/2016"	"02/29/2016"	"Effluent Violation"
"echo_VA0025470001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"E90"	"08/01/2016"	"08/31/2016"	"Effluent Violation"
"echo_VA0025992001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"E90"	"02/01/2016"	"02/29/2016"	"Effluent Violation"
"echo_VA0025992001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"E90"	"10/01/2015"	"10/31/2015"	"Effluent Violation"
"echo_VA0027278001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D90"	"10/01/2016"	"10/31/2016"	"DMR Overdue, with a numeric limit"
"echo_VA0027561001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D80"	"05/01/2016"	"05/31/2016"	"DMR Overdue, monitoring only required"
"echo_VA0027561001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D80"	"02/01/2016"	"02/29/2016"	"DMR Overdue, monitoring only required"
"echo_VA0027561001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D90"	"05/01/2017"	"05/31/2017"	"DMR Overdue, with a numeric limit"
"echo_VA0027561001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D80"	"11/01/2017"	"11/30/2017"	"DMR Overdue, monitoring only required"
"echo_VA0027561001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D80"	"10/01/2016"	"10/31/2016"	"DMR Overdue, monitoring only required"
"echo_VA0027561001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D80"	"03/01/2018"	"03/31/2018"	"DMR Overdue, monitoring only required"
"echo_VA0027561001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D80"	"12/01/2015"	"12/31/2015"	"DMR Overdue, monitoring only required"
"echo_VA0027561001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D80"	"01/01/2016"	"01/31/2016"	"DMR Overdue, monitoring only required"
"echo_VA0027561001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D80"	"09/01/2017"	"09/30/2017"	"DMR Overdue, monitoring only required"
"echo_VA0027561001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D90"	"04/01/2017"	"04/30/2017"	"DMR Overdue, with a numeric limit"
