"hydrocode"	"desflow"	"tsvalue"	"limit"	"tstime"	"tsendtime"	"varkey"	"vardesc"
"echo_VA0002178101"	7.54	1.32	1.2	"03/01/2012"	"03/31/2012"	"E90"	"ECHO Flag: Effluent Violation"
"echo_VA0002178101"	7.54	1.34	1.2	"07/01/2012"	"07/31/2012"	"E90"	"ECHO Flag: Effluent Violation"
"echo_VA0003697001"	1	0.3486	NA	"07/01/2017"	"07/31/2017"	"D80"	"ECHO Flag: DMR Overdue, monitoring only required"
"echo_VA0004669102"	43.67	0.28	NA	"02/01/2016"	"02/29/2016"	"D80"	"ECHO Flag: DMR Overdue, monitoring only required"
"echo_VA0006076001"	0.05	0.021	NA	"01/01/2017"	"01/31/2017"	"D80"	"ECHO Flag: DMR Overdue, monitoring only required"
"echo_VA0020176001"	0.2	0.092	NA	"11/01/2015"	"11/30/2015"	"D90"	"ECHO Flag: DMR Overdue, with a numeric limit"
"echo_VA0020184001"	0.4	0.181	0.4	"11/01/2015"	"11/30/2015"	"D90"	"ECHO Flag: DMR Overdue, with a numeric limit"
"echo_VA0020320001"	0.3	0.305	0.3	"12/01/2015"	"12/31/2015"	"E90"	"ECHO Flag: Effluent Violation"
"echo_VA0020532002"	0.7	0.87	0.7	"05/01/2018"	"05/31/2018"	"E90"	"ECHO Flag: Effluent Violation"
"echo_VA0020532999"	0.7	0.87	0.7	"05/01/2018"	"05/31/2018"	"E90"	"ECHO Flag: Effluent Violation"
"echo_VA0020729001"	0.15	0.134	0.132	"02/01/2016"	"02/29/2016"	"E90"	"ECHO Flag: Effluent Violation"
"echo_VA0020729001"	0.15	0.144	0.132	"01/01/2018"	"01/31/2018"	"E90"	"ECHO Flag: Effluent Violation"
"echo_VA0020991001"	2.25	2.53	2.25	"07/01/2013"	"07/31/2013"	"E90"	"ECHO Flag: Effluent Violation"
"echo_VA0021849001"	0.0096	0.004	0.0096	"12/01/2017"	"12/31/2017"	"D90"	"ECHO Flag: DMR Overdue, with a numeric limit"
"echo_VA0024163001"	0.015	0.008	0.015	"11/01/2017"	"11/30/2017"	"D80"	"ECHO Flag: DMR Overdue, monitoring only required"
"echo_VA0024163001"	0.015	0.007	0.015	"10/01/2017"	"10/31/2017"	"D80"	"ECHO Flag: DMR Overdue, monitoring only required"
"echo_VA0024431001"	0.025	0.048	0.025	"07/01/2016"	"07/31/2016"	"E90"	"ECHO Flag: Effluent Violation"
"echo_VA0024490001"	0.0271	NA	0.0271	"02/01/2018"	"02/28/2018"	"D90"	"ECHO Flag: DMR Overdue, with a numeric limit"
"echo_VA0024490001"	0.0271	NA	0.0271	"11/01/2017"	"11/30/2017"	"D90"	"ECHO Flag: DMR Overdue, with a numeric limit"
"echo_VA0024490001"	0.0271	NA	0.0271	"09/01/2017"	"09/30/2017"	"D90"	"ECHO Flag: DMR Overdue, with a numeric limit"
"echo_VA0024490001"	0.0271	NA	0.0271	"08/01/2017"	"08/31/2017"	"D90"	"ECHO Flag: DMR Overdue, with a numeric limit"
"echo_VA0024490001"	0.0271	NA	0.0271	"04/01/2018"	"04/30/2018"	"D90"	"ECHO Flag: DMR Overdue, with a numeric limit"
"echo_VA0024490001"	0.0271	NA	0.0271	"12/01/2017"	"12/31/2017"	"D90"	"ECHO Flag: DMR Overdue, with a numeric limit"
"echo_VA0024490001"	0.0271	NA	0.0271	"07/01/2017"	"07/31/2017"	"D90"	"ECHO Flag: DMR Overdue, with a numeric limit"
"echo_VA0024490001"	0.0271	NA	0.0271	"01/01/2018"	"01/31/2018"	"D90"	"ECHO Flag: DMR Overdue, with a numeric limit"
"echo_VA0024490001"	0.0271	NA	0.0271	"05/01/2018"	"05/31/2018"	"D90"	"ECHO Flag: DMR Overdue, with a numeric limit"
"echo_VA0024490001"	0.0271	NA	0.0271	"06/01/2017"	"06/30/2017"	"D90"	"ECHO Flag: DMR Overdue, with a numeric limit"
"echo_VA0024490001"	0.0271	NA	0.0271	"03/01/2018"	"03/31/2018"	"D90"	"ECHO Flag: DMR Overdue, with a numeric limit"
"echo_VA0024490001"	0.0271	NA	0.0271	"10/01/2017"	"10/31/2017"	"D90"	"ECHO Flag: DMR Overdue, with a numeric limit"
"echo_VA0024945001"	0.775	0.867	0.775	"02/01/2016"	"02/29/2016"	"E90"	"ECHO Flag: Effluent Violation"
"echo_VA0024945001"	0.775	0.786	0.775	"05/01/2016"	"05/31/2016"	"E90"	"ECHO Flag: Effluent Violation"
"echo_VA0024945001"	0.775	0.869	0.775	"12/01/2015"	"12/31/2015"	"E90"	"ECHO Flag: Effluent Violation"
"echo_VA0024945001"	0.775	0.787	0.775	"10/01/2015"	"10/31/2015"	"E90"	"ECHO Flag: Effluent Violation"
"echo_VA0025291001"	4	2.015	2	"03/01/2014"	"03/31/2014"	"E90"	"ECHO Flag: Effluent Violation"
"echo_VA0025291001"	4	2.273	2	"02/01/2014"	"02/28/2014"	"E90"	"ECHO Flag: Effluent Violation"
"echo_VA0025470001"	0.2	0.59	0.1	"08/01/2016"	"08/31/2016"	"E90"	"ECHO Flag: Effluent Violation"
"echo_VA0025470001"	0.2	0.102	0.1	"01/01/2016"	"01/31/2016"	"E90"	"ECHO Flag: Effluent Violation"
"echo_VA0025470001"	0.2	0.134	0.1	"02/01/2016"	"02/29/2016"	"E90"	"ECHO Flag: Effluent Violation"
"echo_VA0025992001"	0.25	0.255	0.25	"10/01/2015"	"10/31/2015"	"E90"	"ECHO Flag: Effluent Violation"
"echo_VA0025992001"	0.25	0.282	0.25	"02/01/2016"	"02/29/2016"	"E90"	"ECHO Flag: Effluent Violation"
"echo_VA0027278001"	0.0079	0.0052	0.0079	"10/01/2016"	"10/31/2016"	"D90"	"ECHO Flag: DMR Overdue, with a numeric limit"
"echo_VA0027561001"	0.01	0	NA	"09/01/2016"	"09/30/2016"	"D80"	"ECHO Flag: DMR Overdue, monitoring only required"
"echo_VA0027561001"	0.01	0	NA	"10/01/2016"	"10/31/2016"	"D80"	"ECHO Flag: DMR Overdue, monitoring only required"
"echo_VA0027561001"	0.01	NA	NA	"11/01/2015"	"11/30/2015"	"D80"	"ECHO Flag: DMR Overdue, monitoring only required"
"echo_VA0027561001"	0.01	NA	NA	"04/01/2018"	"04/30/2018"	"D80"	"ECHO Flag: DMR Overdue, monitoring only required"
