"hydrocode"	"varkey"	"entity_type"	"propname"	"propvalue"	"proptext"	"propcode"	"startdate"	"enddate"
"echo_DC0022004001"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"09/01/2011"	"09/30/2011"
"echo_DC0022004001"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"05/01/2012"	"05/31/2012"
"echo_DC0022004001"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"04/01/2012"	"04/30/2012"
"echo_DC0022004001"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"10/01/2011"	"10/31/2011"
"echo_DC0022004001"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"08/01/2012"	"08/31/2012"
"echo_DC0022004001"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"02/01/2012"	"02/29/2012"
"echo_VA0004162001"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"01/01/2016"	"01/31/2016"
"echo_DC0022004001"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"09/01/2010"	"09/30/2010"
"echo_DC0022004001"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"01/01/2012"	"01/31/2012"
"echo_VA0004162001"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"01/01/2015"	"01/31/2015"
"echo_VA0004162001"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"01/01/2017"	"01/31/2017"
"echo_VA0004162001"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"01/01/2013"	"01/31/2013"
"echo_VA0000370005"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"07/01/2011"	"07/31/2011"
"echo_VA0000370005"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"07/01/2010"	"07/31/2010"
"echo_VA0000370005"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"08/01/2010"	"08/31/2010"
"echo_VA0000370005"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"10/01/2013"	"10/31/2013"
"echo_DC0022004001"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"03/01/2012"	"03/31/2012"
"echo_VA0000370005"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"07/01/2012"	"07/31/2012"
"echo_VA0004162001"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"01/01/2014"	"01/31/2014"
"echo_VA0000370005"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"11/01/2013"	"11/30/2013"
"echo_VA0000370005"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"12/01/2013"	"12/31/2013"
"echo_VA0000370005"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"02/01/2015"	"02/28/2015"
"echo_VA0000370005"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"08/01/2011"	"08/31/2011"
"echo_DC0022004001"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"02/01/2011"	"02/28/2011"
"echo_DC0022004001"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"05/01/2010"	"05/31/2010"
"echo_VA0000370005"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"01/01/2010"	"01/31/2010"
"echo_VA0000370005"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"07/01/2014"	"07/31/2014"
"echo_VA0004162001"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"02/01/2014"	"02/28/2014"
"echo_VA0000370003"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"10/01/2013"	"10/31/2013"
"echo_VA0000370005"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"09/01/2010"	"09/30/2010"
"echo_DC0022004001"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"06/01/2011"	"06/30/2011"
"echo_VA0000370005"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"03/01/2015"	"03/31/2015"
"echo_VA0000370005"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"02/01/2010"	"02/28/2010"
"echo_VA0000370005"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"12/01/2011"	"12/31/2011"
"echo_VA0000370005"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"09/01/2013"	"09/30/2013"
"echo_VA0004162001"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"01/01/2018"	"01/31/2018"
"echo_VA0004162001"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"02/01/2013"	"02/28/2013"
"echo_VA0000370005"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"01/01/2011"	"01/31/2011"
"echo_VA0000370003"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"02/01/2014"	"02/28/2014"
"echo_VA0000370005"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"12/01/2010"	"12/31/2010"
"echo_VA0000370005"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"04/01/2015"	"04/30/2015"
"echo_VA0000370005"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"06/01/2010"	"06/30/2010"
"echo_VA0000370003"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"02/01/2012"	"02/29/2012"
"echo_VA0000370005"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"01/01/2014"	"01/31/2014"
"echo_VA0000370005"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"03/01/2014"	"03/31/2014"
"echo_DC0022004001"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"06/01/2012"	"06/30/2012"
"echo_VA0004162001"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"02/01/2017"	"02/28/2017"
"echo_VA0000370005"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"08/01/2012"	"08/31/2012"
"echo_VA0000370005"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"06/01/2012"	"06/30/2012"
"echo_VA0000370003"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"09/01/2013"	"09/30/2013"
"echo_VA0000370005"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"02/01/2011"	"02/28/2011"
"echo_VA0003018102"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"06/01/2010"	"06/30/2010"
"echo_VA0000370005"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"10/01/2011"	"10/31/2011"
"echo_DC0022004001"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"08/01/2011"	"08/31/2011"
"echo_VA0000370005"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"09/01/2011"	"09/30/2011"
"echo_VA0003018102"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"08/01/2010"	"08/31/2010"
"echo_VA0004162001"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"02/01/2016"	"02/29/2016"
"echo_VA0003018102"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"07/01/2010"	"07/31/2010"
"echo_VA0003018102"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"09/01/2010"	"09/30/2010"
"echo_VA0000370005"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"01/01/2015"	"01/31/2015"
"echo_VA0000370005"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"08/01/2013"	"08/31/2013"
"echo_VA0000370005"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"07/01/2013"	"07/31/2013"
"echo_VA0000370005"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"12/01/2014"	"12/31/2014"
"echo_VA0004162001"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"02/01/2018"	"02/28/2018"
"echo_VA0000370005"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"03/01/2010"	"03/31/2010"
"echo_VA0000370003"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"07/01/2010"	"07/31/2010"
"echo_VA0000370003"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"08/01/2013"	"08/31/2013"
"echo_VA0000370003"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"12/01/2013"	"12/31/2013"
"echo_VA0004162001"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"02/01/2015"	"02/28/2015"
"echo_DC0022004001"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"03/01/2010"	"03/31/2010"
"echo_VA0000370003"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"09/01/2011"	"09/30/2011"
"echo_VA0000370003"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"01/01/2014"	"01/31/2014"
"echo_VA0003018102"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"12/01/2010"	"12/31/2010"
"echo_VA0004162001"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"01/01/2012"	"01/31/2012"
"echo_VA0003018102"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"11/01/2010"	"11/30/2010"
"echo_VA0003018102"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"10/01/2010"	"10/31/2010"
"echo_VA0000370003"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"11/01/2013"	"11/30/2013"
"echo_VA0004162001"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"01/01/2011"	"01/31/2011"
"echo_VA0000370003"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"01/01/2010"	"01/31/2010"
"echo_VA0000370003"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"10/01/2011"	"10/31/2011"
"echo_DC0022004001"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"04/01/2010"	"04/30/2010"
"echo_VA0004162001"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"02/01/2012"	"02/29/2012"
"echo_VA0000370003"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"06/01/2010"	"06/30/2010"
"echo_VA0000370003"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"04/01/2015"	"04/30/2015"
"echo_DC0022004001"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"04/01/2011"	"04/30/2011"
"echo_DC0022004001"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"05/01/2011"	"05/31/2011"
"echo_VA0004162001"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"02/01/2011"	"02/28/2011"
"echo_VA0000370003"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"07/01/2013"	"07/31/2013"
"echo_VA0000370002"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"07/01/2011"	"07/31/2011"
"echo_VA0000370003"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"03/01/2014"	"03/31/2014"
"echo_VA0000370002"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"08/01/2010"	"08/31/2010"
"echo_VA0000370002"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"07/01/2010"	"07/31/2010"
"echo_VA0000370002"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"10/01/2013"	"10/31/2013"
"echo_VA0000370002"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"07/01/2012"	"07/31/2012"
"echo_VA0000370002"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"11/01/2013"	"11/30/2013"
"echo_VA0000370002"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"12/01/2013"	"12/31/2013"
"echo_VA0000370002"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"02/01/2015"	"02/28/2015"
"echo_VA0000370002"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"08/01/2011"	"08/31/2011"
"echo_VA0000370003"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"08/01/2012"	"08/31/2012"
"echo_VA0000370003"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"07/01/2011"	"07/31/2011"
"echo_DC0022004001"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"03/01/2011"	"03/31/2011"
"echo_VA0000370002"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"01/01/2010"	"01/31/2010"
"echo_VA0000370002"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"07/01/2014"	"07/31/2014"
"echo_VA0000370002"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"03/01/2015"	"03/31/2015"
"echo_VA0000370002"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"02/01/2010"	"02/28/2010"
"echo_VA0000370002"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"01/01/2011"	"01/31/2011"
"echo_VA0000370002"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"09/01/2013"	"09/30/2013"
"echo_VA0032000001"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"09/01/2016"	"09/30/2016"
"echo_VA0092711004"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"08/01/2016"	"08/31/2016"
"echo_VA0000370002"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"12/01/2010"	"12/31/2010"
"echo_VA0000370002"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"04/01/2015"	"04/30/2015"
"echo_VA0000370002"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"09/01/2010"	"09/30/2010"
"echo_VA0000370002"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"06/01/2010"	"06/30/2010"
"echo_VA0000370002"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"01/01/2014"	"01/31/2014"
"echo_VA0000370002"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"03/01/2014"	"03/31/2014"
"echo_VA0000370002"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"08/01/2012"	"08/31/2012"
"echo_VA0000370002"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"06/01/2012"	"06/30/2012"
"echo_VA0000370002"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"02/01/2011"	"02/28/2011"
"echo_VA0000370002"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"10/01/2011"	"10/31/2011"
"echo_VA0000370002"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"12/01/2011"	"12/31/2011"
"echo_VA0000370002"	"dmr_flag_units_100"	"dh_timeseries"	"dmr_flag_units_100"	""	"Exceeds 10^6*Median Outfall Discharge"	"dmr_flag_units_100"	"09/01/2011"	"09/30/2011"
