"hydocode","bundle","ftype","name","from_node","to_node"
"VA0002151:VA0002151074","coneyance","water_transfer","From VA0002151 to VA0002151074","VA0002151:VA0002151074","VA0002151074"
"VA0002151:VA0002151086","coneyance","water_transfer","From VA0002151 to VA0002151086","VA0002151:VA0002151086","VA0002151086"
"VA0002151:VA0002151090","coneyance","water_transfer","From VA0002151 to VA0002151090","VA0002151:VA0002151090","VA0002151090"
"VA0002151:VA0002151091","coneyance","water_transfer","From VA0002151 to VA0002151091","VA0002151:VA0002151091","VA0002151091"
"VA0002151:VA0002151721","coneyance","water_transfer","From VA0002151 to VA0002151721","VA0002151:VA0002151721","VA0002151721"
"VA0002160:VA0002160001","coneyance","water_transfer","From VA0002160 to VA0002160001","VA0002160:VA0002160001","VA0002160001"
"VA0002160:VA0002160003","coneyance","water_transfer","From VA0002160 to VA0002160003","VA0002160:VA0002160003","VA0002160003"
"VA0002160:VA0002160011","coneyance","water_transfer","From VA0002160 to VA0002160011","VA0002160:VA0002160011","VA0002160011"
"VA0002160:VA0002160013","coneyance","water_transfer","From VA0002160 to VA0002160013","VA0002160:VA0002160013","VA0002160013"
"VA0002160:VA0002160101","coneyance","water_transfer","From VA0002160 to VA0002160101","VA0002160:VA0002160101","VA0002160101"
"VA0002178:VA0002178001","coneyance","water_transfer","From VA0002178 to VA0002178001","VA0002178:VA0002178001","VA0002178001"
"VA0002178:VA0002178101","coneyance","water_transfer","From VA0002178 to VA0002178101","VA0002178:VA0002178101","VA0002178101"
"VA0002178:VA0002178102","coneyance","water_transfer","From VA0002178 to VA0002178102","VA0002178:VA0002178102","VA0002178102"
"VA0002194:VA0002194001","coneyance","water_transfer","From VA0002194 to VA0002194001","VA0002194:VA0002194001","VA0002194001"
"VA0002194:VA0002194003","coneyance","water_transfer","From VA0002194 to VA0002194003","VA0002194:VA0002194003","VA0002194003"
"VA0002283:VA0002283001","coneyance","water_transfer","From VA0002283 to VA0002283001","VA0002283:VA0002283001","VA0002283001"
"VA0002283:VA0002283002","coneyance","water_transfer","From VA0002283 to VA0002283002","VA0002283:VA0002283002","VA0002283002"
"VA0002313:VA0002313001","coneyance","water_transfer","From VA0002313 to VA0002313001","VA0002313:VA0002313001","VA0002313001"
"VA0002313:VA0002313008","coneyance","water_transfer","From VA0002313 to VA0002313008","VA0002313:VA0002313008","VA0002313008"
"VA0002313:VA0002313101","coneyance","water_transfer","From VA0002313 to VA0002313101","VA0002313:VA0002313101","VA0002313101"
"VA0002313:VA0002313102","coneyance","water_transfer","From VA0002313 to VA0002313102","VA0002313:VA0002313102","VA0002313102"
"VA0002402:VA0002402001","coneyance","water_transfer","From VA0002402 to VA0002402001","VA0002402:VA0002402001","VA0002402001"
"VA0002585:VA0002585001","coneyance","water_transfer","From VA0002585 to VA0002585001","VA0002585:VA0002585001","VA0002585001"
"VA0002585:VA0002585007","coneyance","water_transfer","From VA0002585 to VA0002585007","VA0002585:VA0002585007","VA0002585007"
"VA0002585:VA0002585008","coneyance","water_transfer","From VA0002585 to VA0002585008","VA0002585:VA0002585008","VA0002585008"
"VA0002585:VA0002585009","coneyance","water_transfer","From VA0002585 to VA0002585009","VA0002585:VA0002585009","VA0002585009"
"VA0002674:VA0002674001","coneyance","water_transfer","From VA0002674 to VA0002674001","VA0002674:VA0002674001","VA0002674001"
"VA0002771:VA0002771001","coneyance","water_transfer","From VA0002771 to VA0002771001","VA0002771:VA0002771001","VA0002771001"
"VA0002780:VA0002780001","coneyance","water_transfer","From VA0002780 to VA0002780001","VA0002780:VA0002780001","VA0002780001"
"VA0003026:VA0003026002","coneyance","water_transfer","From VA0003026 to VA0003026002","VA0003026:VA0003026002","VA0003026002"
"VA0003026:VA0003026003","coneyance","water_transfer","From VA0003026 to VA0003026003","VA0003026:VA0003026003","VA0003026003"
"VA0003026:VA0003026301","coneyance","water_transfer","From VA0003026 to VA0003026301","VA0003026:VA0003026301","VA0003026301"
"VA0003077:VA0003077001","coneyance","water_transfer","From VA0003077 to VA0003077001","VA0003077:VA0003077001","VA0003077001"
"VA0003077:VA0003077002","coneyance","water_transfer","From VA0003077 to VA0003077002","VA0003077:VA0003077002","VA0003077002"
"VA0003077:VA0003077003","coneyance","water_transfer","From VA0003077 to VA0003077003","VA0003077:VA0003077003","VA0003077003"
"VA0003077:VA0003077101","coneyance","water_transfer","From VA0003077 to VA0003077101","VA0003077:VA0003077101","VA0003077101"
"VA0003077:VA0003077102","coneyance","water_transfer","From VA0003077 to VA0003077102","VA0003077:VA0003077102","VA0003077102"
"VA0003115:VA0003115001","coneyance","water_transfer","From VA0003115 to VA0003115001","VA0003115:VA0003115001","VA0003115001"
"VA0003115:VA0003115101","coneyance","water_transfer","From VA0003115 to VA0003115101","VA0003115:VA0003115101","VA0003115101"
"VA0003263:VA0003263001","coneyance","water_transfer","From VA0003263 to VA0003263001","VA0003263:VA0003263001","VA0003263001"
"VA0003344:VA0003344001","coneyance","water_transfer","From VA0003344 to VA0003344001","VA0003344:VA0003344001","VA0003344001"
"VA0003409:VA0003409005","coneyance","water_transfer","From VA0003409 to VA0003409005","VA0003409:VA0003409005","VA0003409005"
"VA0003409:VA0003409006","coneyance","water_transfer","From VA0003409 to VA0003409006","VA0003409:VA0003409006","VA0003409006"
"VA0003433:VA0003433002","coneyance","water_transfer","From VA0003433 to VA0003433002","VA0003433:VA0003433002","VA0003433002"
"VA0003433:VA0003433201","coneyance","water_transfer","From VA0003433 to VA0003433201","VA0003433:VA0003433201","VA0003433201"
"VA0003492:VA0003492005","coneyance","water_transfer","From VA0003492 to VA0003492005","VA0003492:VA0003492005","VA0003492005"
"VA0003492:VA0003492006","coneyance","water_transfer","From VA0003492 to VA0003492006","VA0003492:VA0003492006","VA0003492006"
"VA0003646:VA0003646003","coneyance","water_transfer","From VA0003646 to VA0003646003","VA0003646:VA0003646003","VA0003646003"
"VA0003697:VA0003697001","coneyance","water_transfer","From VA0003697 to VA0003697001","VA0003697:VA0003697001","VA0003697001"
"VA0003697:VA0003697002","coneyance","water_transfer","From VA0003697 to VA0003697002","VA0003697:VA0003697002","VA0003697002"
"VA0003697:VA0003697003","coneyance","water_transfer","From VA0003697 to VA0003697003","VA0003697:VA0003697003","VA0003697003"
"VA0003697:VA0003697101","coneyance","water_transfer","From VA0003697 to VA0003697101","VA0003697:VA0003697101","VA0003697101"
"VA0003697:VA0003697601","coneyance","water_transfer","From VA0003697 to VA0003697601","VA0003697:VA0003697601","VA0003697601"
"VA0003697:VA0003697701","coneyance","water_transfer","From VA0003697 to VA0003697701","VA0003697:VA0003697701","VA0003697701"
"VA0003808:VA0003808001","coneyance","water_transfer","From VA0003808 to VA0003808001","VA0003808:VA0003808001","VA0003808001"
