"bundle"	"name"	"ftype"	"hydrocode"	"fstatus"	"dh_geofield"	"dh_link_facility_mps"
"transfer"	"FROM VA0000523"	"outfall"	"echo_VA0000523001"	"active"	"POINT (-80.6652777775964 37.3811111110412)"	"echo_VA0000523"
"transfer"	"FROM VA0000523"	"outfall"	"echo_VA0000523002"	"inactive"	"POINT (-80.6661111114478 37.3788888889387)"	"echo_VA0000523"
"transfer"	"FROM VA0000523"	"outfall"	"echo_VA0000523003"	"active"	"POINT (-80.6826944445806 37.3608055552949)"	"echo_VA0000523"
"transfer"	"FROM VA0000523"	"outfall"	"echo_VA0000523004"	"inactive"	"POINT (-80.6733333336685 37.3713888888417)"	"echo_VA0000523"
"transfer"	"FROM VA0000523"	"outfall"	"echo_VA0000523301"	"inactive"	"POINT (-80.6802777779387 37.3605555557334)"	"echo_VA0000523"
"transfer"	"FROM VA0001015"	"outfall"	"echo_VA0001015003"	"active"	"POINT (-82.1980555551814 36.9349999998039)"	"echo_VA0001015"
"transfer"	"FROM VA0001015"	"outfall"	"echo_VA0001015007"	"active"	"POINT (-82.1988888890328 36.9238888890899)"	"echo_VA0001015"
"transfer"	"FROM VA0001015"	"outfall"	"echo_VA0001015008"	"active"	"POINT (-82.2016666667408 36.9316666669633)"	"echo_VA0001015"
"transfer"	"FROM VA0001015"	"outfall"	"echo_VA0001015015"	"active"	"POINT (-82.1911111109112 36.9394444446626)"	"echo_VA0001015"
"transfer"	"FROM VA0001015"	"outfall"	"echo_VA0001015727"	"active"	"POINT (-82.2016666667408 36.9316666669633)"	"echo_VA0001015"
"transfer"	"FROM VA0001015"	"outfall"	"echo_VA0001015D03"	"active"	"POINT (-82.1980369995808 36.9351220003339)"	"echo_VA0001015"
"transfer"	"FROM VA0001201"	"outfall"	"echo_VA0001201001"	"inactive"	"POINT (-79.378055555514 36.5497222219063)"	"echo_VA0001201"
"transfer"	"FROM VA0001201"	"outfall"	"echo_VA0001201003"	"inactive"	"POINT (-79.3749999998555 36.5541666664331)"	"echo_VA0001201"
"transfer"	"FROM VA0001201"	"outfall"	"echo_VA0001201004"	"inactive"	"POINT (-79.3711111112438 36.5488888886992)"	"echo_VA0001201"
"transfer"	"FROM VA0001201"	"outfall"	"echo_VA0001201005"	"inactive"	"POINT (-79.3705555553429 36.5466666664302)"	"echo_VA0001201"
"transfer"	"FROM VA0001201"	"outfall"	"echo_VA0001201006"	"inactive"	"POINT (-79.3708333332933 36.543333333404)"	"echo_VA0001201"
"transfer"	"FROM VA0001201"	"outfall"	"echo_VA0001201007"	"inactive"	"POINT (-79.3716666662464 36.5430555558398)"	"echo_VA0001201"
"transfer"	"FROM VA0001201"	"outfall"	"echo_VA0001201008"	"inactive"	"POINT (-79.3727777780483 36.5430555558398)"	"echo_VA0001201"
"transfer"	"FROM VA0001201"	"outfall"	"echo_VA0001201009"	"inactive"	"POINT (-79.3752777778059 36.5447222221312)"	"echo_VA0001201"
"transfer"	"FROM VA0001201"	"outfall"	"echo_VA0001201010"	"inactive"	"POINT (-79.3783333334645 36.5458333334778)"	"echo_VA0001201"
"transfer"	"FROM VA0001201"	"outfall"	"echo_VA0001201011"	"inactive"	"POINT (-79.3786111114149 36.5472222220331)"	"echo_VA0001201"
"transfer"	"FROM VA0001333"	"outfall"	"echo_VA0001333001"	"active"	"POINT (-80.1304279999365 37.2703330000531)"	"echo_VA0001333"
"transfer"	"FROM VA0001333"	"outfall"	"echo_VA0001333002"	"active"	"POINT (-80.1362800002947 37.2713899996735)"	"echo_VA0001333"
"transfer"	"FROM VA0001431"	"outfall"	"echo_VA0001431001"	"active"	"POINT (-79.9916666663198 37.2127777778476)"	"echo_VA0001431"
"transfer"	"FROM VA0001449"	"outfall"	"echo_VA0001449001"	"active"	"POINT (-79.4027600001751 37.4083899998528)"	"echo_VA0001449"
"transfer"	"FROM VA0001490"	"outfall"	"echo_VA0001490001"	"active"	"POINT (-79.732150000423 37.3800100003457)"	"echo_VA0001490"
"transfer"	"FROM VA0001490"	"outfall"	"echo_VA0001490101"	"inactive"	"POINT (-79.733830000023 37.380110000039)"	"echo_VA0001490"
"transfer"	"FROM VA0001554"	"outfall"	"echo_VA0001554001"	"active"	"POINT (-80.259750000041 36.7733888889966)"	"echo_VA0001554"
"transfer"	"FROM VA0001554"	"outfall"	"echo_VA0001554002"	"inactive"	"POINT (-80.2598611108618 36.7733888889966)"	"echo_VA0001554"
"transfer"	"FROM VA0001554"	"outfall"	"echo_VA0001554003"	"inactive"	"POINT (-80.2623611115178 36.7730833333815)"	"echo_VA0001554"
"transfer"	"FROM VA0001554"	"outfall"	"echo_VA0001554004"	"inactive"	"POINT (-80.264722221851 36.773250000297)"	"echo_VA0001554"
"transfer"	"FROM VA0001589"	"outfall"	"echo_VA0001589001"	"inactive"	"POINT (-79.9969444446838 37.2738888891976)"	"echo_VA0001589"
"transfer"	"FROM VA0001589"	"outfall"	"echo_VA0001589002"	"inactive"	"POINT (-79.9980555555874 37.2747222223292)"	"echo_VA0001589"
"transfer"	"FROM VA0001589"	"outfall"	"echo_VA0001589003"	"inactive"	"POINT (-79.999166666491 37.2749999996578)"	"echo_VA0001589"
"transfer"	"FROM VA0001589"	"outfall"	"echo_VA0001589005"	"active"	"POINT (-79.9968710002229 37.2741440001508)"	"echo_VA0001589"
"transfer"	"FROM VA0001589"	"outfall"	"echo_VA0001589006"	"inactive"	"POINT (-80.0061111107612 37.2799999999949)"	"echo_VA0001589"
"transfer"	"FROM VA0001589"	"outfall"	"echo_VA0001589007"	"inactive"	"POINT (-80.005833333709 37.2794444447604)"	"echo_VA0001589"
"transfer"	"FROM VA0001597"	"outfall"	"echo_VA0001597002"	"active"	"POINT (-79.9755555559723 37.2788888889992)"	"echo_VA0001597"
"transfer"	"FROM VA0001597"	"outfall"	"echo_VA0001597004"	"inactive"	"POINT (-79.977499999829 37.2797222225329)"	"echo_VA0001597"
"transfer"	"FROM VA0001597"	"outfall"	"echo_VA0001597005"	"inactive"	"POINT (-79.9772222218785 37.2802777778614)"	"echo_VA0001597"
"transfer"	"FROM VA0001597"	"outfall"	"echo_VA0001597902"	"inactive"	"POINT (-79.9755555559723 37.2788888889992)"	"echo_VA0001597"
"transfer"	"FROM VA0001767"	"outfall"	"echo_VA0001767001"	"active"	"POINT (-78.8307500004325 38.258666666594)"	"echo_VA0001767"
"transfer"	"FROM VA0001767"	"outfall"	"echo_VA0001767002"	"inactive"	"POINT (-78.8307500004325 38.258666666594)"	"echo_VA0001767"
"transfer"	"FROM VA0001767"	"outfall"	"echo_VA0001767101"	"active"	"POINT (-78.8313888885508 38.2588888885616)"	"echo_VA0001767"
"transfer"	"FROM VA0001872"	"outfall"	"echo_VA0001872001"	"active"	"POINT (-77.2777777781553 38.8505555555386)"	"echo_VA0001872"
"transfer"	"FROM VA0001872"	"outfall"	"echo_VA0001872101"	"active"	"POINT (-77.1933333333145 38.8530555557773)"	"echo_VA0001872"
"transfer"	"FROM VA0001872"	"outfall"	"echo_VA0001872102"	"active"	"POINT (-77.2777777781553 38.8505555555386)"	"echo_VA0001872"
"transfer"	"FROM VA0001945"	"outfall"	"echo_VA0001945001"	"active"	"POINT (-77.1933333333145 38.7444444444462)"	"echo_VA0001945"
"transfer"	"FROM VA0001945"	"outfall"	"echo_VA0001945901"	"active"	"POINT (-77.1936111112649 38.7358333332442)"	"echo_VA0001945"
"transfer"	"FROM VA0001961"	"outfall"	"echo_VA0001961001"	"active"	"POINT (-78.5661111111413 38.5899999998447)"	"echo_VA0001961"
"transfer"	"FROM VA0001988"	"outfall"	"echo_VA0001988001"	"active"	"POINT (-77.1938888892154 38.7311111111846)"	"echo_VA0001988"
"transfer"	"FROM VA0002071"	"outfall"	"echo_VA0002071001"	"active"	"POINT (-77.2833333335714 38.5366666667372)"	"echo_VA0002071"
"transfer"	"FROM VA0002071"	"outfall"	"echo_VA0002071002"	"inactive"	"POINT (-77.2833333335714 38.5366666667372)"	"echo_VA0002071"
"transfer"	"FROM VA0002071"	"outfall"	"echo_VA0002071003"	"active"	"POINT (-77.2827777776705 38.5380555553484)"	"echo_VA0002071"
"transfer"	"FROM VA0002071"	"outfall"	"echo_VA0002071004"	"active"	"POINT (-77.284444444475 38.5319444441667)"	"echo_VA0002071"
"transfer"	"FROM VA0002071"	"outfall"	"echo_VA0002071005"	"active"	"POINT (-77.2935555551419 38.5519138891323)"	"echo_VA0002071"
"transfer"	"FROM VA0002071"	"outfall"	"echo_VA0002071007"	"active"	"POINT (-77.2793888886511 38.5360555555164)"	"echo_VA0002071"
"transfer"	"FROM VA0002071"	"outfall"	"echo_VA0002071008"	"active"	"POINT (-77.2794444440615 38.5361111112326)"	"echo_VA0002071"
"transfer"	"FROM VA0002071"	"outfall"	"echo_VA0002071009"	"active"	"POINT (-77.2793333332406 38.5365277780876)"	"echo_VA0002071"
"transfer"	"FROM VA0002071"	"outfall"	"echo_VA0002071010"	"inactive"	"POINT (-77.2863333329212 38.546916666711)"	"echo_VA0002071"
"transfer"	"FROM VA0002071"	"outfall"	"echo_VA0002071201"	"active"	"POINT (-77.28249999972 38.5363900000968)"	"echo_VA0002071"
"transfer"	"FROM VA0002071"	"outfall"	"echo_VA0002071202"	"active"	"POINT (-77.28249999972 38.5363888891699)"	"echo_VA0002071"
"transfer"	"FROM VA0002071"	"outfall"	"echo_VA0002071501"	"active"	"POINT (-77.2888888889876 38.549444444332)"	"echo_VA0002071"
"transfer"	"FROM VA0002071"	"outfall"	"echo_VA0002071502"	"active"	"POINT (-77.2777777781553 38.545000000141)"	"echo_VA0002071"
"transfer"	"FROM VA0002071"	"outfall"	"echo_VA0002071503"	"active"	"POINT (-77.2833333335714 38.5366666667372)"	"echo_VA0002071"
"transfer"	"FROM VA0002151"	"outfall"	"echo_VA0002151003"	"active"	"POINT (-77.3688888893158 38.5191666663823)"	"echo_VA0002151"
"transfer"	"FROM VA0002151"	"outfall"	"echo_VA0002151009"	"active"	"POINT (-77.3094490001028 38.5055559997419)"	"echo_VA0002151"
"transfer"	"FROM VA0002151"	"outfall"	"echo_VA0002151016"	"active"	"POINT (-77.3030555554785 38.5130555556371)"	"echo_VA0002151"
"transfer"	"FROM VA0002151"	"outfall"	"echo_VA0002151035"	"active"	"POINT (-77.3030555554785 38.5119444447712)"	"echo_VA0002151"
"transfer"	"FROM VA0002151"	"outfall"	"echo_VA0002151072"	"active"	"POINT (-77.4111111108379 38.5238888890946)"	"echo_VA0002151"
"transfer"	"FROM VA0002151"	"outfall"	"echo_VA0002151073"	"active"	"POINT (-77.4252777773288 38.522499999687)"	"echo_VA0002151"
"transfer"	"FROM VA0002151"	"outfall"	"echo_VA0002151074"	"active"	"POINT (-77.4219444446181 38.523055555574)"	"echo_VA0002151"
"transfer"	"FROM VA0002151"	"outfall"	"echo_VA0002151086"	"active"	"POINT (-77.373055555878 38.5252777777022)"	"echo_VA0002151"
"transfer"	"FROM VA0002151"	"outfall"	"echo_VA0002151090"	"active"	"POINT (-77.3683333334149 38.5249999997356)"	"echo_VA0002151"
"transfer"	"FROM VA0002151"	"outfall"	"echo_VA0002151091"	"active"	"POINT (-77.3008333336713 38.5036111111932)"	"echo_VA0002151"
"transfer"	"FROM VA0002160"	"outfall"	"echo_VA0002160001"	"active"	"POINT (-78.8909779996106 38.0591050003093)"	"echo_VA0002160"
"transfer"	"FROM VA0002160"	"outfall"	"echo_VA0002160003"	"active"	"POINT (-78.8885740001125 38.0598160002253)"	"echo_VA0002160"
"transfer"	"FROM VA0002160"	"outfall"	"echo_VA0002160011"	"active"	"POINT (-78.8844390000624 38.0639559999026)"	"echo_VA0002160"
"transfer"	"FROM VA0002160"	"outfall"	"echo_VA0002160013"	"active"	"POINT (-78.8866430004423 38.0608019998715)"	"echo_VA0002160"
"transfer"	"FROM VA0002160"	"outfall"	"echo_VA0002160101"	"active"	"POINT (-78.8908169999521 38.0584790003371)"	"echo_VA0002160"
"transfer"	"FROM VA0002160"	"outfall"	"echo_VA0002160901"	"inactive"	"POINT (-78.8900000001675 38.0569444446076)"	"echo_VA0002160"
"transfer"	"FROM VA0002160"	"outfall"	"echo_VA0002160911"	"inactive"	"POINT (-78.8838888888504 38.0622222220293)"	"echo_VA0002160"
"transfer"	"FROM VA0002160"	"outfall"	"echo_VA0002160913"	"inactive"	"POINT (-78.8900000001675 38.0569444446076)"	"echo_VA0002160"
"transfer"	"FROM VA0002178"	"outfall"	"echo_VA0002178001"	"active"	"POINT (-78.6447222226155 38.3877777780533)"	"echo_VA0002178"
"transfer"	"FROM VA0002178"	"outfall"	"echo_VA0002178101"	"active"	"POINT (-78.6463888885217 38.3861111113924)"	"echo_VA0002178"
"transfer"	"FROM VA0002178"	"outfall"	"echo_VA0002178102"	"active"	"POINT (-78.6463888885217 38.3861111113924)"	"echo_VA0002178"
"transfer"	"FROM VA0002194"	"outfall"	"echo_VA0002194001"	"active"	"POINT (-78.9846388888736 38.1915277776052)"	"echo_VA0002194"
"transfer"	"FROM VA0002194"	"outfall"	"echo_VA0002194003"	"active"	"POINT (-78.986638889039 38.191083333569)"	"echo_VA0002194"
"transfer"	"FROM VA0002283"	"outfall"	"echo_VA0002283001"	"active"	"POINT (-77.2748055556124 38.8460833334937)"	"echo_VA0002283"
"transfer"	"FROM VA0002283"	"outfall"	"echo_VA0002283002"	"active"	"POINT (-77.2738888886453 38.8472222220993)"	"echo_VA0002283"
"transfer"	"FROM VA0002313"	"outfall"	"echo_VA0002313001"	"active"	"POINT (-78.9755730002964 38.4662739997046)"	"echo_VA0002313"
"transfer"	"FROM VA0002313"	"outfall"	"echo_VA0002313002"	"inactive"	"POINT (-78.9771890003223 38.4664460000512)"	"echo_VA0002313"
"transfer"	"FROM VA0002313"	"outfall"	"echo_VA0002313008"	"active"	"POINT (-78.9811050000892 38.4686460001026)"	"echo_VA0002313"
"transfer"	"FROM VA0002313"	"outfall"	"echo_VA0002313009"	"inactive"	"POINT (-78.9811879999298 38.4686710001331)"	"echo_VA0002313"
"transfer"	"FROM VA0002313"	"outfall"	"echo_VA0002313101"	"active"	"POINT (-78.9777340001203 38.4667610002687)"	"echo_VA0002313"
"transfer"	"FROM VA0002313"	"outfall"	"echo_VA0002313102"	"active"	"POINT (-78.9776639998001 38.4667740003441)"	"echo_VA0002313"
"transfer"	"FROM VA0002402"	"outfall"	"echo_VA0002402001"	"active"	"POINT (-78.8724722223624 38.0919444445105)"	"echo_VA0002402"
"transfer"	"FROM VA0002585"	"outfall"	"echo_VA0002585001"	"active"	"POINT (-77.262777777813 38.6863888890752)"	"echo_VA0002585"
"transfer"	"FROM VA0002585"	"outfall"	"echo_VA0002585002"	"inactive"	"POINT (-77.0000000001611 38.0000000002117)"	"echo_VA0002585"
"transfer"	"FROM VA0002585"	"outfall"	"echo_VA0002585003"	"inactive"	"POINT (-77.0000000001611 38.0000000002117)"	"echo_VA0002585"
"transfer"	"FROM VA0002585"	"outfall"	"echo_VA0002585004"	"inactive"	"POINT (-77.0000000001611 38.0000000002117)"	"echo_VA0002585"
"transfer"	"FROM VA0002585"	"outfall"	"echo_VA0002585005"	"inactive"	"POINT (-77.0000000001611 38.0000000002117)"	"echo_VA0002585"
"transfer"	"FROM VA0002585"	"outfall"	"echo_VA0002585006"	"inactive"	"POINT (-77.0000000001611 38.0000000002117)"	"echo_VA0002585"
"transfer"	"FROM VA0002585"	"outfall"	"echo_VA0002585007"	"active"	"POINT (-77.2766666663534 38.6938888888327)"	"echo_VA0002585"
"transfer"	"FROM VA0002585"	"outfall"	"echo_VA0002585008"	"active"	"POINT (-77.2761111113508 38.6938888888327)"	"echo_VA0002585"
"transfer"	"FROM VA0002585"	"outfall"	"echo_VA0002585009"	"active"	"POINT (-77.2641666666671 38.6872222219415)"	"echo_VA0002585"
"transfer"	"FROM VA0002674"	"outfall"	"echo_VA0002674001"	"active"	"POINT (-78.91194444478 38.3591666668517)"	"echo_VA0002674"
"transfer"	"FROM VA0002771"	"outfall"	"echo_VA0002771001"	"active"	"POINT (-79.3594444445106 37.7269444447622)"	"echo_VA0002771"
"transfer"	"FROM VA0002780"	"outfall"	"echo_VA0002780001"	"active"	"POINT (-77.3052777781839 37.3583333330176)"	"echo_VA0002780"
"transfer"	"FROM VA0003018"	"outfall"	"echo_VA0003018002"	"inactive"	"POINT (-76.4374999999026 37.2180555553997)"	"echo_VA0003018"
"transfer"	"FROM VA0003018"	"outfall"	"echo_VA0003018004"	"inactive"	"POINT (-76.438333333754 37.226666666334)"	"echo_VA0003018"
"transfer"	"FROM VA0003018"	"outfall"	"echo_VA0003018005"	"inactive"	"POINT (-76.438333333754 37.226666666334)"	"echo_VA0003018"
"transfer"	"FROM VA0003026"	"outfall"	"echo_VA0003026002"	"active"	"POINT (-79.3568100001926 37.5333999997945)"	"echo_VA0003026"
"transfer"	"FROM VA0003026"	"outfall"	"echo_VA0003026003"	"active"	"POINT (-79.3452100001315 37.5202900003303)"	"echo_VA0003026"
"transfer"	"FROM VA0003026"	"outfall"	"echo_VA0003026005"	"inactive"	"POINT (-79.3569399998889 37.5350000001497)"	"echo_VA0003026"
"transfer"	"FROM VA0003026"	"outfall"	"echo_VA0003026012"	"inactive"	"POINT (-79.3544400001313 37.5327800003307)"	"echo_VA0003026"
"transfer"	"FROM VA0003026"	"outfall"	"echo_VA0003026014"	"inactive"	"POINT (-79.3527799997245 37.5299999997606)"	"echo_VA0003026"
"transfer"	"FROM VA0003026"	"outfall"	"echo_VA0003026015"	"inactive"	"POINT (-79.3522199998579 37.5283299996706)"	"echo_VA0003026"
"transfer"	"FROM VA0003026"	"outfall"	"echo_VA0003026017"	"inactive"	"POINT (-79.351670000037 37.527499999965)"	"echo_VA0003026"
"transfer"	"FROM VA0003026"	"outfall"	"echo_VA0003026018"	"inactive"	"POINT (-79.3508333334359 37.5244444447853)"	"echo_VA0003026"
"transfer"	"FROM VA0003026"	"outfall"	"echo_VA0003026021"	"inactive"	"POINT (-79.3580599996223 37.5366699997737)"	"echo_VA0003026"
"transfer"	"FROM VA0003026"	"outfall"	"echo_VA0003026022"	"inactive"	"POINT (-79.3491700002794 37.5416700002972)"	"echo_VA0003026"
"transfer"	"FROM VA0003026"	"outfall"	"echo_VA0003026023"	"inactive"	"POINT (-79.3441699998659 37.5419400001376)"	"echo_VA0003026"
"transfer"	"FROM VA0003026"	"outfall"	"echo_VA0003026025"	"inactive"	"POINT (-79.3486100004127 37.5388899999002)"	"echo_VA0003026"
"transfer"	"FROM VA0003026"	"outfall"	"echo_VA0003026028"	"inactive"	"POINT (-79.3486110002376 37.5388899999002)"	"echo_VA0003026"
"transfer"	"FROM VA0003026"	"outfall"	"echo_VA0003026301"	"active"	"POINT (-79.3649999999267 37.5111111112025)"	"echo_VA0003026"
"transfer"	"FROM VA0003026"	"outfall"	"echo_VA0003026555"	"inactive"	"POINT (-79.3461111109728 37.5211111108449)"	"echo_VA0003026"
"transfer"	"FROM VA0003026"	"outfall"	"echo_VA0003026999"	"inactive"	"POINT (-79.3461111109728 37.5211111108449)"	"echo_VA0003026"
"transfer"	"FROM VA0003077"	"outfall"	"echo_VA0003077001"	"active"	"POINT (-77.2912800003564 37.35300000025)"	"echo_VA0003077"
"transfer"	"FROM VA0003077"	"outfall"	"echo_VA0003077002"	"inactive"	"POINT (-77.29172800007 37.3530980001029)"	"echo_VA0003077"
"transfer"	"FROM VA0003077"	"outfall"	"echo_VA0003077003"	"inactive"	"POINT (-77.2901000003486 37.3527009999009)"	"echo_VA0003077"
"transfer"	"FROM VA0003077"	"outfall"	"echo_VA0003077004"	"inactive"	"POINT (-77.2899289997461 37.3527510001138)"	"echo_VA0003077"
"transfer"	"FROM VA0003077"	"outfall"	"echo_VA0003077101"	"active"	"POINT (-77.2922222225966 37.3513888887209)"	"echo_VA0003077"
"transfer"	"FROM VA0003077"	"outfall"	"echo_VA0003077102"	"active"	"POINT (-77.2922222225966 37.3513888887209)"	"echo_VA0003077"
"transfer"	"FROM VA0003077"	"outfall"	"echo_VA0003077901"	"inactive"	"POINT (-77.2917289998949 37.3530989998166)"	"echo_VA0003077"
