"bundle"	"name"	"ftype"	"hydrocode"	"fstatus"	"dh_geofield"	"dh_link_facility_mps"
"transfer"	"FROM VA0003115"	"outfall"	"echo_VA0003115001"	"active"	"POINT (-76.8105555556194 37.5430555555218)"	"echo_VA0003115"
"transfer"	"FROM VA0003115"	"outfall"	"echo_VA0003115002"	"inactive"	"POINT (-76.8038888892997 37.5358333334885)"	"echo_VA0003115"
"transfer"	"FROM VA0003115"	"outfall"	"echo_VA0003115003"	"inactive"	"POINT (-76.8038888892997 37.5358333334885)"	"echo_VA0003115"
"transfer"	"FROM VA0003115"	"outfall"	"echo_VA0003115004"	"inactive"	"POINT (-76.8038888892997 37.5358333334885)"	"echo_VA0003115"
"transfer"	"FROM VA0003115"	"outfall"	"echo_VA0003115007"	"inactive"	"POINT (-76.8038888892997 37.5358333334885)"	"echo_VA0003115"
"transfer"	"FROM VA0003115"	"outfall"	"echo_VA0003115008"	"inactive"	"POINT (-76.8038888892997 37.5358333334885)"	"echo_VA0003115"
"transfer"	"FROM VA0003115"	"outfall"	"echo_VA0003115101"	"active"	"POINT (-76.8105555556194 37.5430555555218)"	"echo_VA0003115"
"transfer"	"FROM VA0003409"	"outfall"	"echo_VA0003409001"	"inactive"	"POINT (-76.3277777777386 36.8736111113776)"	"echo_VA0003409"
"transfer"	"FROM VA0003409"	"outfall"	"echo_VA0003409002"	"inactive"	"POINT (-76.3277777777386 36.8736111113776)"	"echo_VA0003409"
"transfer"	"FROM VA0003409"	"outfall"	"echo_VA0003409003"	"inactive"	"POINT (-76.3277777777386 36.8736111113776)"	"echo_VA0003409"
"transfer"	"FROM VA0003409"	"outfall"	"echo_VA0003409004"	"inactive"	"POINT (-76.3277777777386 36.8736111113776)"	"echo_VA0003409"
"transfer"	"FROM VA0003409"	"outfall"	"echo_VA0003409005"	"active"	"POINT (-76.3277777777386 36.8736111113776)"	"echo_VA0003409"
"transfer"	"FROM VA0003409"	"outfall"	"echo_VA0003409006"	"active"	"POINT (-76.3277777777386 36.8736111113776)"	"echo_VA0003409"
"transfer"	"FROM VA0003409"	"outfall"	"echo_VA0003409015"	"inactive"	"POINT (-76.3277777777386 36.8736111113776)"	"echo_VA0003409"
"transfer"	"FROM VA0003409"	"outfall"	"echo_VA0003409017"	"inactive"	"POINT (-76.3277777777386 36.8736111113776)"	"echo_VA0003409"
"transfer"	"FROM VA0003409"	"outfall"	"echo_VA0003409018"	"inactive"	"POINT (-76.3277777777386 36.8736111113776)"	"echo_VA0003409"
"transfer"	"FROM VA0003409"	"outfall"	"echo_VA0003409019"	"inactive"	"POINT (-76.3277777777386 36.8736111113776)"	"echo_VA0003409"
"transfer"	"FROM VA0003409"	"outfall"	"echo_VA0003409020"	"inactive"	"POINT (-76.3277777777386 36.8736111113776)"	"echo_VA0003409"
"transfer"	"FROM VA0003409"	"outfall"	"echo_VA0003409021"	"inactive"	"POINT (-76.3277777777386 36.8736111113776)"	"echo_VA0003409"
"transfer"	"FROM VA0003409"	"outfall"	"echo_VA0003409022"	"inactive"	"POINT (-76.3277777777386 36.8736111113776)"	"echo_VA0003409"
"transfer"	"FROM VA0003433"	"outfall"	"echo_VA0003433002"	"active"	"POINT (-77.0030555558197 36.6519444443818)"	"echo_VA0003433"
