"hydrocode"	"varkey"	"tsvalue"	"tstime"	"tsendtime"	"tscode"
"echo_VA0063606001"	"dmr_mon_mgd"	0.013	"2015-10-01"	"10/31/2015"	1
"echo_VA0063606001"	"dmr_mon_mgd"	0.012	"2015-11-01"	"11/30/2015"	1
"echo_VA0063606001"	"dmr_mon_mgd"	0.013	"2015-12-01"	"12/31/2015"	1
"echo_VA0063606001"	"dmr_mon_mgd"	0.01	"2016-01-01"	"01/31/2016"	1
"echo_VA0063606001"	"dmr_mon_mgd"	0.012	"2016-02-01"	"02/29/2016"	1
"echo_VA0063606001"	"dmr_mon_mgd"	0.011	"2016-03-01"	"03/31/2016"	1
"echo_VA0063606001"	"dmr_mon_mgd"	0.012	"2016-04-01"	"04/30/2016"	1
"echo_VA0063606001"	"dmr_mon_mgd"	0.016	"2016-05-01"	"05/31/2016"	1
"echo_VA0063606001"	"dmr_mon_mgd"	0.015	"2016-06-01"	"06/30/2016"	1
"echo_VA0063606001"	"dmr_mon_mgd"	0.016	"2016-07-01"	"07/31/2016"	1
"echo_VA0063606001"	"dmr_mon_mgd"	0.015	"2016-08-01"	"08/31/2016"	1
"echo_VA0063606001"	"dmr_mon_mgd"	0.014	"2016-09-01"	"09/30/2016"	1
"echo_VA0063606001"	"dmr_mon_mgd"	0.014	"2016-10-01"	"10/31/2016"	1
"echo_VA0063606001"	"dmr_mon_mgd"	0.01	"2016-11-01"	"11/30/2016"	1
"echo_VA0063606001"	"dmr_mon_mgd"	0.012	"2016-12-01"	"12/31/2016"	1
"echo_VA0063606001"	"dmr_mon_mgd"	0.013	"2017-01-01"	"01/31/2017"	1
"echo_VA0063606001"	"dmr_mon_mgd"	0.011	"2017-02-01"	"02/28/2017"	1
"echo_VA0063606001"	"dmr_mon_mgd"	0.011	"2017-03-01"	"03/31/2017"	1
"echo_VA0063606001"	"dmr_mon_mgd"	0.01	"2017-04-01"	"04/30/2017"	1
"echo_VA0063606001"	"dmr_mon_mgd"	0.01	"2017-05-01"	"05/31/2017"	1
