"bundle","name","ftype","hydrocode","fstatus","wkt_geom","dh_link_facility_mps"
"transfer","FROM VA0001589","outfall","echo_VA0088846006","inactive","POINT (37.2747222223292 -79.9980555555874)","echo_VA0001589"
"transfer","FROM VA0001589","outfall","echo_VA0088846006","inactive","POINT (37.2749999996578 -79.999166666491)","echo_VA0001589"
"transfer","FROM VA0001589","outfall","echo_VA0088846006","active","POINT (37.2741440001508 -79.9968710002229)","echo_VA0001589"
"transfer","FROM VA0001589","outfall","echo_VA0088846006","inactive","POINT (37.2799999999949 -80.0061111107612)","echo_VA0001589"
"transfer","FROM VA0001589","outfall","echo_VA0088846006","inactive","POINT (37.2794444447604 -80.005833333709)","echo_VA0001589"
"transfer","FROM VA0001597","outfall","echo_VA0088846006","active","POINT (37.2788888889992 -79.9755555559723)","echo_VA0001597"
"transfer","FROM VA0001597","outfall","echo_VA0088846006","inactive","POINT (37.2797222225329 -79.977499999829)","echo_VA0001597"
"transfer","FROM VA0001597","outfall","echo_VA0088846006","inactive","POINT (37.2802777778614 -79.9772222218785)","echo_VA0001597"
"transfer","FROM VA0001597","outfall","echo_VA0088846006","inactive","POINT (37.2788888889992 -79.9755555559723)","echo_VA0001597"
"transfer","FROM VA0001767","outfall","echo_VA0088846006","active","POINT (38.258666666594 -78.8307500004325)","echo_VA0001767"
"transfer","FROM VA0001767","outfall","echo_VA0088846006","inactive","POINT (38.258666666594 -78.8307500004325)","echo_VA0001767"
"transfer","FROM VA0001767","outfall","echo_VA0088846006","active","POINT (38.2588888885616 -78.8313888885508)","echo_VA0001767"
"transfer","FROM VA0001872","outfall","echo_VA0088846006","active","POINT (38.8505555555386 -77.2777777781553)","echo_VA0001872"
"transfer","FROM VA0001872","outfall","echo_VA0088846006","active","POINT (38.8530555557773 -77.1933333333145)","echo_VA0001872"
"transfer","FROM VA0001872","outfall","echo_VA0088846006","active","POINT (38.8505555555386 -77.2777777781553)","echo_VA0001872"
"transfer","FROM VA0001945","outfall","echo_VA0088846006","active","POINT (38.7444444444462 -77.1933333333145)","echo_VA0001945"
"transfer","FROM VA0001945","outfall","echo_VA0088846006","active","POINT (38.7358333332442 -77.1936111112649)","echo_VA0001945"
"transfer","FROM VA0001961","outfall","echo_VA0088846006","active","POINT (38.5899999998447 -78.5661111111413)","echo_VA0001961"
"transfer","FROM VA0001988","outfall","echo_VA0088846006","active","POINT (38.7311111111846 -77.1938888892154)","echo_VA0001988"
"transfer","FROM VA0002071","outfall","echo_VA0088846006","active","POINT (38.5366666667372 -77.2833333335714)","echo_VA0002071"
"transfer","FROM VA0002071","outfall","echo_VA0088846006","inactive","POINT (38.5366666667372 -77.2833333335714)","echo_VA0002071"
"transfer","FROM VA0002071","outfall","echo_VA0088846006","active","POINT (38.5380555553484 -77.2827777776705)","echo_VA0002071"
"transfer","FROM VA0002071","outfall","echo_VA0088846006","active","POINT (38.5319444441667 -77.284444444475)","echo_VA0002071"
"transfer","FROM VA0002071","outfall","echo_VA0088846006","active","POINT (38.5519138891323 -77.2935555551419)","echo_VA0002071"
"transfer","FROM VA0002071","outfall","echo_VA0088846006","active","POINT (38.5360555555164 -77.2793888886511)","echo_VA0002071"
"transfer","FROM VA0002071","outfall","echo_VA0088846006","active","POINT (38.5361111112326 -77.2794444440615)","echo_VA0002071"
"transfer","FROM VA0002071","outfall","echo_VA0088846006","active","POINT (38.5365277780876 -77.2793333332406)","echo_VA0002071"
"transfer","FROM VA0002071","outfall","echo_VA0088846006","inactive","POINT (38.546916666711 -77.2863333329212)","echo_VA0002071"
"transfer","FROM VA0002071","outfall","echo_VA0088846006","active","POINT (38.5363900000968 -77.28249999972)","echo_VA0002071"
"transfer","FROM VA0002071","outfall","echo_VA0088846006","active","POINT (38.5363888891699 -77.28249999972)","echo_VA0002071"
"transfer","FROM VA0002071","outfall","echo_VA0088846006","active","POINT (38.549444444332 -77.2888888889876)","echo_VA0002071"
"transfer","FROM VA0002071","outfall","echo_VA0088846006","active","POINT (38.545000000141 -77.2777777781553)","echo_VA0002071"
"transfer","FROM VA0002071","outfall","echo_VA0088846006","active","POINT (38.5366666667372 -77.2833333335714)","echo_VA0002071"
"transfer","FROM VA0002151","outfall","echo_VA0088846006","active","POINT (38.5191666663823 -77.3688888893158)","echo_VA0002151"
"transfer","FROM VA0002151","outfall","echo_VA0088846006","active","POINT (38.5055559997419 -77.3094490001028)","echo_VA0002151"
"transfer","FROM VA0002151","outfall","echo_VA0088846006","active","POINT (38.5130555556371 -77.3030555554785)","echo_VA0002151"
"transfer","FROM VA0002151","outfall","echo_VA0088846006","active","POINT (38.5119444447712 -77.3030555554785)","echo_VA0002151"
"transfer","FROM VA0002151","outfall","echo_VA0088846006","active","POINT (38.5238888890946 -77.4111111108379)","echo_VA0002151"
"transfer","FROM VA0002151","outfall","echo_VA0088846006","active","POINT (38.522499999687 -77.4252777773288)","echo_VA0002151"
"transfer","FROM VA0002151","outfall","echo_VA0088846006","active","POINT (38.523055555574 -77.4219444446181)","echo_VA0002151"
"transfer","FROM VA0002151","outfall","echo_VA0088846006","active","POINT (38.5252777777022 -77.373055555878)","echo_VA0002151"
"transfer","FROM VA0002151","outfall","echo_VA0088846006","active","POINT (38.5249999997356 -77.3683333334149)","echo_VA0002151"
"transfer","FROM VA0002151","outfall","echo_VA0088846006","active","POINT (38.5036111111932 -77.3008333336713)","echo_VA0002151"
"transfer","FROM VA0002160","outfall","echo_VA0088846006","active","POINT (38.0591050003093 -78.8909779996106)","echo_VA0002160"
"transfer","FROM VA0002160","outfall","echo_VA0088846006","active","POINT (38.0598160002253 -78.8885740001125)","echo_VA0002160"
"transfer","FROM VA0002160","outfall","echo_VA0088846006","active","POINT (38.0639559999026 -78.8844390000624)","echo_VA0002160"
"transfer","FROM VA0002160","outfall","echo_VA0088846006","active","POINT (38.0608019998715 -78.8866430004423)","echo_VA0002160"
"transfer","FROM VA0002160","outfall","echo_VA0088846006","active","POINT (38.0584790003371 -78.8908169999521)","echo_VA0002160"
"transfer","FROM VA0002160","outfall","echo_VA0088846006","inactive","POINT (38.0569444446076 -78.8900000001675)","echo_VA0002160"
"transfer","FROM VA0002160","outfall","echo_VA0088846006","inactive","POINT (38.0622222220293 -78.8838888888504)","echo_VA0002160"
"transfer","FROM VA0002160","outfall","echo_VA0088846006","inactive","POINT (38.0569444446076 -78.8900000001675)","echo_VA0002160"
"transfer","FROM VA0002178","outfall","echo_VA0088846006","active","POINT (38.3877777780533 -78.6447222226155)","echo_VA0002178"
"transfer","FROM VA0002178","outfall","echo_VA0088846006","active","POINT (38.3861111113924 -78.6463888885217)","echo_VA0002178"
"transfer","FROM VA0002178","outfall","echo_VA0088846006","active","POINT (38.3861111113924 -78.6463888885217)","echo_VA0002178"
"transfer","FROM VA0002194","outfall","echo_VA0088846006","active","POINT (38.1915277776052 -78.9846388888736)","echo_VA0002194"
"transfer","FROM VA0002194","outfall","echo_VA0088846006","active","POINT (38.191083333569 -78.986638889039)","echo_VA0002194"
"transfer","FROM VA0002283","outfall","echo_VA0088846006","active","POINT (38.8460833334937 -77.2748055556124)","echo_VA0002283"
"transfer","FROM VA0002283","outfall","echo_VA0088846006","active","POINT (38.8472222220993 -77.2738888886453)","echo_VA0002283"
"transfer","FROM VA0002313","outfall","echo_VA0088846006","active","POINT (38.4662739997046 -78.9755730002964)","echo_VA0002313"
"transfer","FROM VA0002313","outfall","echo_VA0088846006","inactive","POINT (38.4664460000512 -78.9771890003223)","echo_VA0002313"
"transfer","FROM VA0002313","outfall","echo_VA0088846006","active","POINT (38.4686460001026 -78.9811050000892)","echo_VA0002313"
"transfer","FROM VA0002313","outfall","echo_VA0088846006","inactive","POINT (38.4686710001331 -78.9811879999298)","echo_VA0002313"
"transfer","FROM VA0002313","outfall","echo_VA0088846006","active","POINT (38.4667610002687 -78.9777340001203)","echo_VA0002313"
"transfer","FROM VA0002313","outfall","echo_VA0088846006","active","POINT (38.4667740003441 -78.9776639998001)","echo_VA0002313"
"transfer","FROM VA0002402","outfall","echo_VA0088846006","active","POINT (38.0919444445105 -78.8724722223624)","echo_VA0002402"
"transfer","FROM VA0002585","outfall","echo_VA0088846006","active","POINT (38.6863888890752 -77.262777777813)","echo_VA0002585"
"transfer","FROM VA0002585","outfall","echo_VA0088846006","inactive","POINT (38.0000000002117 -77.0000000001611)","echo_VA0002585"
"transfer","FROM VA0002585","outfall","echo_VA0088846006","inactive","POINT (38.0000000002117 -77.0000000001611)","echo_VA0002585"
"transfer","FROM VA0002585","outfall","echo_VA0088846006","inactive","POINT (38.0000000002117 -77.0000000001611)","echo_VA0002585"
"transfer","FROM VA0002585","outfall","echo_VA0088846006","inactive","POINT (38.0000000002117 -77.0000000001611)","echo_VA0002585"
"transfer","FROM VA0002585","outfall","echo_VA0088846006","inactive","POINT (38.0000000002117 -77.0000000001611)","echo_VA0002585"
"transfer","FROM VA0002585","outfall","echo_VA0088846006","active","POINT (38.6938888888327 -77.2766666663534)","echo_VA0002585"
"transfer","FROM VA0002585","outfall","echo_VA0088846006","active","POINT (38.6938888888327 -77.2761111113508)","echo_VA0002585"
"transfer","FROM VA0002585","outfall","echo_VA0088846006","active","POINT (38.6872222219415 -77.2641666666671)","echo_VA0002585"
"transfer","FROM VA0002674","outfall","echo_VA0088846006","active","POINT (38.3591666668517 -78.91194444478)","echo_VA0002674"
"transfer","FROM VA0002771","outfall","echo_VA0088846006","active","POINT (37.7269444447622 -79.3594444445106)","echo_VA0002771"
"transfer","FROM VA0002780","outfall","echo_VA0088846006","active","POINT (37.3583333330176 -77.3052777781839)","echo_VA0002780"
"transfer","FROM VA0003018","outfall","echo_VA0088846006","inactive","POINT (37.2180555553997 -76.4374999999026)","echo_VA0003018"
"transfer","FROM VA0003018","outfall","echo_VA0088846006","inactive","POINT (37.226666666334 -76.438333333754)","echo_VA0003018"
"transfer","FROM VA0003018","outfall","echo_VA0088846006","inactive","POINT (37.226666666334 -76.438333333754)","echo_VA0003018"
"transfer","FROM VA0003026","outfall","echo_VA0088846006","active","POINT (37.5333999997945 -79.3568100001926)","echo_VA0003026"
"transfer","FROM VA0003026","outfall","echo_VA0088846006","active","POINT (37.5202900003303 -79.3452100001315)","echo_VA0003026"
"transfer","FROM VA0003026","outfall","echo_VA0088846006","inactive","POINT (37.5350000001497 -79.3569399998889)","echo_VA0003026"
"transfer","FROM VA0003026","outfall","echo_VA0088846006","inactive","POINT (37.5327800003307 -79.3544400001313)","echo_VA0003026"
"transfer","FROM VA0003026","outfall","echo_VA0088846006","inactive","POINT (37.5299999997606 -79.3527799997245)","echo_VA0003026"
"transfer","FROM VA0003026","outfall","echo_VA0088846006","inactive","POINT (37.5283299996706 -79.3522199998579)","echo_VA0003026"
"transfer","FROM VA0003026","outfall","echo_VA0088846006","inactive","POINT (37.527499999965 -79.351670000037)","echo_VA0003026"
"transfer","FROM VA0003026","outfall","echo_VA0088846006","inactive","POINT (37.5244444447853 -79.3508333334359)","echo_VA0003026"
"transfer","FROM VA0003026","outfall","echo_VA0088846006","inactive","POINT (37.5366699997737 -79.3580599996223)","echo_VA0003026"
"transfer","FROM VA0003026","outfall","echo_VA0088846006","inactive","POINT (37.5416700002972 -79.3491700002794)","echo_VA0003026"
"transfer","FROM VA0003026","outfall","echo_VA0088846006","inactive","POINT (37.5419400001376 -79.3441699998659)","echo_VA0003026"
"transfer","FROM VA0003026","outfall","echo_VA0088846006","inactive","POINT (37.5388899999002 -79.3486100004127)","echo_VA0003026"
"transfer","FROM VA0003026","outfall","echo_VA0088846006","inactive","POINT (37.5388899999002 -79.3486110002376)","echo_VA0003026"
"transfer","FROM VA0003026","outfall","echo_VA0088846006","active","POINT (37.5111111112025 -79.3649999999267)","echo_VA0003026"
"transfer","FROM VA0003026","outfall","echo_VA0088846006","inactive","POINT (37.5211111108449 -79.3461111109728)","echo_VA0003026"
"transfer","FROM VA0003026","outfall","echo_VA0088846006","inactive","POINT (37.5211111108449 -79.3461111109728)","echo_VA0003026"
"transfer","FROM VA0003077","outfall","echo_VA0088846006","active","POINT (37.35300000025 -77.2912800003564)","echo_VA0003077"
"transfer","FROM VA0003077","outfall","echo_VA0088846006","active","POINT (37.3530980001029 -77.29172800007)","echo_VA0003077"
"transfer","FROM VA0003077","outfall","echo_VA0088846006","active","POINT (37.3527009999009 -77.2901000003486)","echo_VA0003077"
"transfer","FROM VA0003077","outfall","echo_VA0088846006","inactive","POINT (37.3527510001138 -77.2899289997461)","echo_VA0003077"
"transfer","FROM VA0003077","outfall","echo_VA0088846006","active","POINT (37.3513888887209 -77.2922222225966)","echo_VA0003077"
"transfer","FROM VA0003077","outfall","echo_VA0088846006","active","POINT (37.3513888887209 -77.2922222225966)","echo_VA0003077"
"transfer","FROM VA0003077","outfall","echo_VA0088846006","inactive","POINT (37.3530989998166 -77.2917289998949)","echo_VA0003077"
"transfer","FROM VA0003115","outfall","echo_VA0088846006","active","POINT (37.5430555555218 -76.8105555556194)","echo_VA0003115"
"transfer","FROM VA0003115","outfall","echo_VA0088846006","inactive","POINT (37.5358333334885 -76.8038888892997)","echo_VA0003115"
"transfer","FROM VA0003115","outfall","echo_VA0088846006","inactive","POINT (37.5358333334885 -76.8038888892997)","echo_VA0003115"
"transfer","FROM VA0003115","outfall","echo_VA0088846006","inactive","POINT (37.5358333334885 -76.8038888892997)","echo_VA0003115"
"transfer","FROM VA0003115","outfall","echo_VA0088846006","inactive","POINT (37.5358333334885 -76.8038888892997)","echo_VA0003115"
"transfer","FROM VA0003115","outfall","echo_VA0088846006","inactive","POINT (37.5358333334885 -76.8038888892997)","echo_VA0003115"
"transfer","FROM VA0003115","outfall","echo_VA0088846006","active","POINT (37.5430555555218 -76.8105555556194)","echo_VA0003115"
"transfer","FROM VA0003409","outfall","echo_VA0088846006","inactive","POINT (36.8736111113776 -76.3277777777386)","echo_VA0003409"
"transfer","FROM VA0003409","outfall","echo_VA0088846006","inactive","POINT (36.8736111113776 -76.3277777777386)","echo_VA0003409"
"transfer","FROM VA0003409","outfall","echo_VA0088846006","inactive","POINT (36.8736111113776 -76.3277777777386)","echo_VA0003409"
"transfer","FROM VA0003409","outfall","echo_VA0088846006","inactive","POINT (36.8736111113776 -76.3277777777386)","echo_VA0003409"
"transfer","FROM VA0003409","outfall","echo_VA0088846006","active","POINT (36.8736111113776 -76.3277777777386)","echo_VA0003409"
"transfer","FROM VA0003409","outfall","echo_VA0088846006","active","POINT (36.8736111113776 -76.3277777777386)","echo_VA0003409"
"transfer","FROM VA0003409","outfall","echo_VA0088846006","inactive","POINT (36.8736111113776 -76.3277777777386)","echo_VA0003409"
"transfer","FROM VA0003409","outfall","echo_VA0088846006","inactive","POINT (36.8736111113776 -76.3277777777386)","echo_VA0003409"
"transfer","FROM VA0003409","outfall","echo_VA0088846006","inactive","POINT (36.8736111113776 -76.3277777777386)","echo_VA0003409"
"transfer","FROM VA0003409","outfall","echo_VA0088846006","inactive","POINT (36.8736111113776 -76.3277777777386)","echo_VA0003409"
"transfer","FROM VA0003409","outfall","echo_VA0088846006","inactive","POINT (36.8736111113776 -76.3277777777386)","echo_VA0003409"
"transfer","FROM VA0003409","outfall","echo_VA0088846006","inactive","POINT (36.8736111113776 -76.3277777777386)","echo_VA0003409"
"transfer","FROM VA0003409","outfall","echo_VA0088846006","inactive","POINT (36.8736111113776 -76.3277777777386)","echo_VA0003409"
"transfer","FROM VA0003433","outfall","echo_VA0088846006","active","POINT (36.6519444443818 -77.0030555558197)","echo_VA0003433"
"transfer","FROM VA0003433","outfall","echo_VA0088846006","inactive","POINT (36.6511111112338 -77.0036111108223)","echo_VA0003433"
"transfer","FROM VA0003433","outfall","echo_VA0088846006","inactive","POINT (36.6511111112338 -77.0033333337701)","echo_VA0003433"
"transfer","FROM VA0003433","outfall","echo_VA0088846006","inactive","POINT (36.6511111112338 -77.0038888887728)","echo_VA0003433"
"transfer","FROM VA0003433","outfall","echo_VA0088846006","inactive","POINT (36.6513888892312 -77.0033333337701)","echo_VA0003433"
"transfer","FROM VA0003433","outfall","echo_VA0088846006","active","POINT (36.5519444443667 -77.0030555558197)","echo_VA0003433"
"transfer","FROM VA0003433","outfall","echo_VA0088846006","inactive","POINT (36.6519444443818 -77.0030555558197)","echo_VA0003433"
"transfer","FROM VA0003492","outfall","echo_VA0088846006","active","POINT (37.2805555554174 -77.2755555554499)","echo_VA0003492"
"transfer","FROM VA0003492","outfall","echo_VA0088846006","active","POINT (37.2819444442592 -77.2713888888877)","echo_VA0003492"
"transfer","FROM VA0003492","outfall","echo_VA0088846006","inactive","POINT (37.2874999998958 -77.2624999998626)","echo_VA0003492"
"transfer","FROM VA0003646","outfall","echo_VA0088846006","active","POINT (37.8002777780543 -79.9927777781217)","echo_VA0003646"
"transfer","FROM VA0003646","outfall","echo_VA0088846006","inactive","POINT (37.7963888889983 -79.9977777776369)","echo_VA0003646"
"transfer","FROM VA0003646","outfall","echo_VA0088846006","inactive","POINT (37.7983333335641 -79.9933333331244)","echo_VA0003646"
"transfer","FROM VA0003646","outfall","echo_VA0088846006","inactive","POINT (37.7977777775178 -79.9936111110748)","echo_VA0003646"
"transfer","FROM VA0003646","outfall","echo_VA0088846006","inactive","POINT (37.7961111112842 -79.9938888890253)","echo_VA0003646"
"transfer","FROM VA0003646","outfall","echo_VA0088846006","inactive","POINT (37.7958333332355 -79.9938888890253)","echo_VA0003646"
"transfer","FROM VA0003646","outfall","echo_VA0088846006","inactive","POINT (37.7949999999212 -79.9947222219784)","echo_VA0003646"
"transfer","FROM VA0003646","outfall","echo_VA0088846006","inactive","POINT (37.7991666668976 -79.9952777778793)","echo_VA0003646"
