"bundle","name","ftype","hydrocode","fstatus","wkt_geom","dh_link_facility_mps"
"transfer","FROM VA0000248","outfall","echo_VA0088846006","inactive","POINT (37.1850000003527 -80.5569444442865)","echo_VA0000248"
"transfer","FROM VA0000248","outfall","echo_VA0088846006","active","POINT (37.1874999996578 -80.5558333333829)","echo_VA0000248"
"transfer","FROM VA0000248","outfall","echo_VA0088846006","active","POINT (37.1936111109879 -80.540277778038)","echo_VA0000248"
"transfer","FROM VA0000248","outfall","echo_VA0088846006","active","POINT (37.1908333333338 -80.5288888892552)","echo_VA0000248"
"transfer","FROM VA0000248","outfall","echo_VA0088846006","inactive","POINT (37.1836111108416 -80.5291666663074)","echo_VA0000248"
"transfer","FROM VA0000248","outfall","echo_VA0088846006","active","POINT (37.1880555558272 -80.5286111113048)","echo_VA0000248"
"transfer","FROM VA0000248","outfall","echo_VA0088846006","inactive","POINT (37.1922222224117 -80.5227777779381)","echo_VA0000248"
"transfer","FROM VA0000248","outfall","echo_VA0088846006","active","POINT (37.1911111107601 -80.5297222222083)","echo_VA0000248"
"transfer","FROM VA0000248","outfall","echo_VA0088846006","active","POINT (37.1902777775626 -80.5736111114333)","echo_VA0000248"
"transfer","FROM VA0000248","outfall","echo_VA0088846006","active","POINT (37.1927777774731 -80.53361111082)","echo_VA0000248"
"transfer","FROM VA0000248","outfall","echo_VA0088846006","active","POINT (37.1874999996578 -80.5558333333829)","echo_VA0000248"
"transfer","FROM VA0000248","outfall","echo_VA0088846006","inactive","POINT (37.1880555558272 -80.5286111113048)","echo_VA0000248"
"transfer","FROM VA0000248","outfall","echo_VA0088846006","inactive","POINT (37.1880555558272 -80.5286111113048)","echo_VA0000248"
"transfer","FROM VA0000248","outfall","echo_VA0088846006","inactive","POINT (37.1944444446077 -80.5677777780666)","echo_VA0000248"
"transfer","FROM VA0000248","outfall","echo_VA0088846006","inactive","POINT (37.1944444446077 -80.5677777780666)","echo_VA0000248"
"transfer","FROM VA0000248","outfall","echo_VA0088846006","inactive","POINT (37.197500000039 -80.5163888886706)","echo_VA0000248"
"transfer","FROM VA0000248","outfall","echo_VA0088846006","inactive","POINT (37.1955555558661 -80.5177777775246)","echo_VA0000248"
"transfer","FROM VA0000248","outfall","echo_VA0088846006","active","POINT (37.1955555558661 -80.5177777775246)","echo_VA0000248"
"transfer","FROM VA0000248","outfall","echo_VA0088846006","inactive","POINT (37.1955555558661 -80.5177777775246)","echo_VA0000248"
"transfer","FROM VA0000248","outfall","echo_VA0088846006","active","POINT (37.1850000003527 -80.5569444442865)","echo_VA0000248"
"transfer","FROM VA0000248","outfall","echo_VA0088846006","inactive","POINT (37.1902777775626 -80.5736111114333)","echo_VA0000248"
"transfer","FROM VA0000299","outfall","echo_VA0088846006","active","POINT (37.3435500003126 -80.7664500001762)","echo_VA0000299"
"transfer","FROM VA0000299","outfall","echo_VA0088846006","active","POINT (37.3472900002775 -80.7670100000428)","echo_VA0000299"
"transfer","FROM VA0000299","outfall","echo_VA0088846006","active","POINT (37.3438888891642 -80.7686111113912)","echo_VA0000299"
"transfer","FROM VA0000299","outfall","echo_VA0088846006","active","POINT (37.3487699998963 -80.7478500004345)","echo_VA0000299"
"transfer","FROM VA0000299","outfall","echo_VA0088846006","inactive","POINT (37.3471388888549 -80.7595277775311)","echo_VA0000299"
"transfer","FROM VA0000299","outfall","echo_VA0088846006","inactive","POINT (37.3509799996912 -80.759430000404)","echo_VA0000299"
"transfer","FROM VA0000299","outfall","echo_VA0088846006","inactive","POINT (37.3449599997274 -80.764700000256)","echo_VA0000299"
"transfer","FROM VA0000299","outfall","echo_VA0088846006","inactive","POINT (37.3444166666131 -80.765138889256)","echo_VA0000299"
"transfer","FROM VA0000299","outfall","echo_VA0088846006","inactive","POINT (37.3433611108626 -80.7666900003757)","echo_VA0000299"
"transfer","FROM VA0000299","outfall","echo_VA0088846006","inactive","POINT (37.3495000000766 -80.7480833333379)","echo_VA0000299"
"transfer","FROM VA0000299","outfall","echo_VA0088846006","inactive","POINT (37.3497899996457 -80.7503700002836)","echo_VA0000299"
"transfer","FROM VA0000299","outfall","echo_VA0088846006","inactive","POINT (37.349729999876 -80.7519600003701)","echo_VA0000299"
"transfer","FROM VA0000299","outfall","echo_VA0088846006","inactive","POINT (37.3488699998123 -80.7478400003887)","echo_VA0000299"
"transfer","FROM VA0000299","outfall","echo_VA0088846006","inactive","POINT (37.3446799997572 -80.7693099997839)","echo_VA0000299"
"transfer","FROM VA0000370","outfall","echo_VA0088846006","active","POINT (37.3713888888417 -80.8622222223093)","echo_VA0000370"
"transfer","FROM VA0000370","outfall","echo_VA0088846006","active","POINT (37.3716666667492 -80.8633333332129)","echo_VA0000370"
"transfer","FROM VA0000370","outfall","echo_VA0088846006","active","POINT (37.3719444443421 -80.8638888891138)","echo_VA0000370"
"transfer","FROM VA0000370","outfall","echo_VA0088846006","active","POINT (37.3736111111432 -80.8672222218245)","echo_VA0000370"
"transfer","FROM VA0000370","outfall","echo_VA0088846006","active","POINT (37.3727777780881 -80.8672222218245)","echo_VA0000370"
"transfer","FROM VA0000370","outfall","echo_VA0088846006","active","POINT (37.3741666666053 -80.8694444445299)","echo_VA0000370"
"transfer","FROM VA0000370","outfall","echo_VA0088846006","active","POINT (37.3833333336769 -80.8797222224092)","echo_VA0000370"
"transfer","FROM VA0000370","outfall","echo_VA0088846006","inactive","POINT (37.3763888887105 -80.8719444442876)","echo_VA0000370"
"transfer","FROM VA0000370","outfall","echo_VA0088846006","inactive","POINT (37.374999999936 -80.8700000004309)","echo_VA0000370"
"transfer","FROM VA0000370","outfall","echo_VA0088846006","inactive","POINT (37.3727777780881 -80.8672222218245)","echo_VA0000370"
"transfer","FROM VA0000370","outfall","echo_VA0088846006","active","POINT (37.3713888888417 -80.8622222223093)","echo_VA0000370"
"transfer","FROM VA0000370","outfall","echo_VA0088846006","active","POINT (37.3833333336769 -80.8797222224092)","echo_VA0000370"
"transfer","FROM VA0000370","outfall","echo_VA0088846006","inactive","POINT (37.3719444443421 -80.8638888891138)","echo_VA0000370"
"transfer","FROM VA0000523","outfall","echo_VA0088846006","active","POINT (37.3811111110412 -80.6652777775964)","echo_VA0000523"
"transfer","FROM VA0000523","outfall","echo_VA0088846006","inactive","POINT (37.3788888889387 -80.6661111114478)","echo_VA0000523"
"transfer","FROM VA0000523","outfall","echo_VA0088846006","active","POINT (37.3608055552949 -80.6826944445806)","echo_VA0000523"
"transfer","FROM VA0000523","outfall","echo_VA0088846006","inactive","POINT (37.3713888888417 -80.6733333336685)","echo_VA0000523"
"transfer","FROM VA0000523","outfall","echo_VA0088846006","inactive","POINT (37.3605555557334 -80.6802777779387)","echo_VA0000523"
"transfer","FROM VA0001015","outfall","echo_VA0088846006","active","POINT (36.9349999998039 -82.1980555551814)","echo_VA0001015"
"transfer","FROM VA0001015","outfall","echo_VA0088846006","active","POINT (36.9238888890899 -82.1988888890328)","echo_VA0001015"
"transfer","FROM VA0001015","outfall","echo_VA0088846006","active","POINT (36.9316666669633 -82.2016666667408)","echo_VA0001015"
"transfer","FROM VA0001015","outfall","echo_VA0088846006","active","POINT (36.9394444446626 -82.1911111109112)","echo_VA0001015"
"transfer","FROM VA0001015","outfall","echo_VA0088846006","inactive","POINT (36.9316666669633 -82.2016666667408)","echo_VA0001015"
"transfer","FROM VA0001015","outfall","echo_VA0088846006","active","POINT (36.9351220003339 -82.1980369995808)","echo_VA0001015"
"transfer","FROM VA0001201","outfall","echo_VA0088846006","inactive","POINT (36.5497222219063 -79.378055555514)","echo_VA0001201"
"transfer","FROM VA0001201","outfall","echo_VA0088846006","inactive","POINT (36.5541666664331 -79.3749999998555)","echo_VA0001201"
"transfer","FROM VA0001201","outfall","echo_VA0088846006","inactive","POINT (36.5488888886992 -79.3711111112438)","echo_VA0001201"
"transfer","FROM VA0001201","outfall","echo_VA0088846006","inactive","POINT (36.5466666664302 -79.3705555553429)","echo_VA0001201"
"transfer","FROM VA0001201","outfall","echo_VA0088846006","inactive","POINT (36.543333333404 -79.3708333332933)","echo_VA0001201"
"transfer","FROM VA0001201","outfall","echo_VA0088846006","inactive","POINT (36.5430555558398 -79.3716666662464)","echo_VA0001201"
"transfer","FROM VA0001201","outfall","echo_VA0088846006","inactive","POINT (36.5430555558398 -79.3727777780483)","echo_VA0001201"
"transfer","FROM VA0001201","outfall","echo_VA0088846006","inactive","POINT (36.5447222221312 -79.3752777778059)","echo_VA0001201"
"transfer","FROM VA0001201","outfall","echo_VA0088846006","inactive","POINT (36.5458333334778 -79.3783333334645)","echo_VA0001201"
"transfer","FROM VA0001201","outfall","echo_VA0088846006","inactive","POINT (36.5472222220331 -79.3786111114149)","echo_VA0001201"
"transfer","FROM VA0001333","outfall","echo_VA0088846006","active","POINT (37.2703330000531 -80.1304279999365)","echo_VA0001333"
"transfer","FROM VA0001333","outfall","echo_VA0088846006","active","POINT (37.2713899996735 -80.1362800002947)","echo_VA0001333"
"transfer","FROM VA0001431","outfall","echo_VA0088846006","active","POINT (37.2127777778476 -79.9916666663198)","echo_VA0001431"
"transfer","FROM VA0001449","outfall","echo_VA0088846006","active","POINT (37.4083899998528 -79.4027600001751)","echo_VA0001449"
"transfer","FROM VA0001490","outfall","echo_VA0088846006","active","POINT (37.3800100003457 -79.732150000423)","echo_VA0001490"
"transfer","FROM VA0001490","outfall","echo_VA0088846006","inactive","POINT (37.380110000039 -79.733830000023)","echo_VA0001490"
"transfer","FROM VA0001554","outfall","echo_VA0088846006","active","POINT (36.7733888889966 -80.259750000041)","echo_VA0001554"
"transfer","FROM VA0001554","outfall","echo_VA0088846006","inactive","POINT (36.7733888889966 -80.2598611108618)","echo_VA0001554"
"transfer","FROM VA0001554","outfall","echo_VA0088846006","inactive","POINT (36.7730833333815 -80.2623611115178)","echo_VA0001554"
"transfer","FROM VA0001554","outfall","echo_VA0088846006","inactive","POINT (36.773250000297 -80.264722221851)","echo_VA0001554"
"transfer","FROM VA0001589","outfall","echo_VA0088846006","inactive","POINT (37.2738888891976 -79.9969444446838)","echo_VA0001589"
