"bundle","name","ftype","hydocode","fstatus","wkt_geom","dh_link_facility_mps"
"transfer","TO VA0001015727","release","vahydro_VA0001015727","inactive","POINT (36.990541 -82.145269)","echo_VA0001015"
"transfer","TO VA0001015D03","release","vahydro_VA0001015D03","active","POINT (36.990541 -82.145269)","echo_VA0001015"
"transfer","TO VA0001201001","release","vahydro_VA0001201001","inactive","POINT (36.558914 -79.373017)","echo_VA0001201"
"transfer","TO VA0001201003","release","vahydro_VA0001201003","inactive","POINT (36.558914 -79.373017)","echo_VA0001201"
"transfer","TO VA0001201004","release","vahydro_VA0001201004","inactive","POINT (36.558914 -79.373017)","echo_VA0001201"
"transfer","TO VA0001201005","release","vahydro_VA0001201005","inactive","POINT (36.558914 -79.373017)","echo_VA0001201"
"transfer","TO VA0001201006","release","vahydro_VA0001201006","inactive","POINT (36.558914 -79.373017)","echo_VA0001201"
"transfer","TO VA0001201007","release","vahydro_VA0001201007","inactive","POINT (36.558914 -79.373017)","echo_VA0001201"
"transfer","TO VA0001201008","release","vahydro_VA0001201008","inactive","POINT (36.558914 -79.373017)","echo_VA0001201"
"transfer","TO VA0001201009","release","vahydro_VA0001201009","inactive","POINT (36.558914 -79.373017)","echo_VA0001201"
"transfer","TO VA0001201010","release","vahydro_VA0001201010","inactive","POINT (36.558914 -79.373017)","echo_VA0001201"
"transfer","TO VA0001201011","release","vahydro_VA0001201011","inactive","POINT (36.558914 -79.373017)","echo_VA0001201"
"transfer","TO VA0001333001","release","vahydro_VA0001333001","active","POINT (37.27286 -80.13361)","echo_VA0001333"
"transfer","TO VA0001333002","release","vahydro_VA0001333002","active","POINT (37.27286 -80.13361)","echo_VA0001333"
"transfer","TO VA0001431001","release","vahydro_VA0001431001","active","POINT (37.21328 -79.9897)","echo_VA0001431"
"transfer","TO VA0001449001","release","vahydro_VA0001449001","active","POINT (37.40734 -79.40356)","echo_VA0001449"
"transfer","TO VA0001490001","release","vahydro_VA0001490001","active","POINT (37.383697 -79.72684)","echo_VA0001490"
"transfer","TO VA0001490101","release","vahydro_VA0001490101","inactive","POINT (37.383697 -79.72684)","echo_VA0001490"
"transfer","TO VA0001554001","release","vahydro_VA0001554001","active","POINT (36.775033 -80.263324)","echo_VA0001554"
"transfer","TO VA0001554002","release","vahydro_VA0001554002","inactive","POINT (36.775033 -80.263324)","echo_VA0001554"
"transfer","TO VA0001554003","release","vahydro_VA0001554003","inactive","POINT (36.775033 -80.263324)","echo_VA0001554"
"transfer","TO VA0001554004","release","vahydro_VA0001554004","inactive","POINT (36.775033 -80.263324)","echo_VA0001554"
"transfer","TO VA0001589001","release","vahydro_VA0001589001","inactive","POINT (37.27251 -79.99861)","echo_VA0001589"
"transfer","TO VA0001589002","release","vahydro_VA0001589002","inactive","POINT (37.27251 -79.99861)","echo_VA0001589"
"transfer","TO VA0001589003","release","vahydro_VA0001589003","inactive","POINT (37.27251 -79.99861)","echo_VA0001589"
"transfer","TO VA0001589005","release","vahydro_VA0001589005","active","POINT (37.27251 -79.99861)","echo_VA0001589"
"transfer","TO VA0001589006","release","vahydro_VA0001589006","inactive","POINT (37.27251 -79.99861)","echo_VA0001589"
"transfer","TO VA0001589007","release","vahydro_VA0001589007","inactive","POINT (37.27251 -79.99861)","echo_VA0001589"
"transfer","TO VA0001597002","release","vahydro_VA0001597002","active","POINT (37.282513 -79.976829)","echo_VA0001597"
"transfer","TO VA0001597004","release","vahydro_VA0001597004","inactive","POINT (37.282513 -79.976829)","echo_VA0001597"
"transfer","TO VA0001597005","release","vahydro_VA0001597005","inactive","POINT (37.282513 -79.976829)","echo_VA0001597"
"transfer","TO VA0001597902","release","vahydro_VA0001597902","inactive","POINT (37.282513 -79.976829)","echo_VA0001597"
"transfer","TO VA0001767001","release","vahydro_VA0001767001","active","POINT (38.25863 -78.8277)","echo_VA0001767"
"transfer","TO VA0001767002","release","vahydro_VA0001767002","inactive","POINT (38.25863 -78.8277)","echo_VA0001767"
"transfer","TO VA0001767101","release","vahydro_VA0001767101","active","POINT (38.25863 -78.8277)","echo_VA0001767"
"transfer","TO VA0001872001","release","vahydro_VA0001872001","active","POINT (38.84781 -77.27795)","echo_VA0001872"
"transfer","TO VA0001872101","release","vahydro_VA0001872101","active","POINT (38.84781 -77.27795)","echo_VA0001872"
