"bundle","name","ftype","hydocode","fstatus","wkt_geom","dh_link_facility_mps"
"transfer","TO VA0003808002","release","vahydro_VA0003808002","inactive","POINT (37.736111 -75.656111)","echo_VA0003808"
"transfer","TO VA0003808003","release","vahydro_VA0003808003","inactive","POINT (37.736111 -75.656111)","echo_VA0003808"
"transfer","TO VA0003808004","release","vahydro_VA0003808004","inactive","POINT (37.736111 -75.656111)","echo_VA0003808"
"transfer","TO VA0003808007","release","vahydro_VA0003808007","inactive","POINT (37.736111 -75.656111)","echo_VA0003808"
"transfer","TO VA0003808008","release","vahydro_VA0003808008","inactive","POINT (37.736111 -75.656111)","echo_VA0003808"
"transfer","TO VA0003808009","release","vahydro_VA0003808009","inactive","POINT (37.736111 -75.656111)","echo_VA0003808"
"transfer","TO VA0003867002","release","vahydro_VA0003867002","active","POINT (37.829281 -76.277158)","echo_VA0003867"
"transfer","TO VA0003867995","release","vahydro_VA0003867995","active","POINT (37.829281 -76.277158)","echo_VA0003867"
"transfer","TO VA0004031001","release","vahydro_VA0004031001","inactive","POINT (37.697222 -77.5525)","echo_VA0004031"
"transfer","TO VA0004031002","release","vahydro_VA0004031002","inactive","POINT (37.697222 -77.5525)","echo_VA0004031"
"transfer","TO VA0004031003","release","vahydro_VA0004031003","inactive","POINT (37.697222 -77.5525)","echo_VA0004031"
"transfer","TO VA0004049001","release","vahydro_VA0004049001","active","POINT (37.885 -75.555278)","echo_VA0004049"
"transfer","TO VA0004049002","release","vahydro_VA0004049002","inactive","POINT (37.885 -75.555278)","echo_VA0004049"
"transfer","TO VA0004049003","release","vahydro_VA0004049003","inactive","POINT (37.885 -75.555278)","echo_VA0004049"
"transfer","TO VA0004049004","release","vahydro_VA0004049004","inactive","POINT (37.885 -75.555278)","echo_VA0004049"
"transfer","TO VA0004081001","release","vahydro_VA0004081001","active","POINT (36.7711 -76.3009)","echo_VA0004081"
"transfer","TO VA0004081002","release","vahydro_VA0004081002","active","POINT (36.7711 -76.3009)","echo_VA0004081"
"transfer","TO VA0004081003","release","vahydro_VA0004081003","active","POINT (36.7711 -76.3009)","echo_VA0004081"
"transfer","TO VA0004081004","release","vahydro_VA0004081004","inactive","POINT (36.7711 -76.3009)","echo_VA0004081"
"transfer","TO VA0004081005","release","vahydro_VA0004081005","inactive","POINT (36.7711 -76.3009)","echo_VA0004081"
"transfer","TO VA0004081010","release","vahydro_VA0004081010","inactive","POINT (36.7711 -76.3009)","echo_VA0004081"
"transfer","TO VA0004081011","release","vahydro_VA0004081011","inactive","POINT (36.7711 -76.3009)","echo_VA0004081"
