"Facility.ID"	"FacilityName"	"Facility_Longitude"	"Facility_Latitude"	"OutfallID"	"Outfall_Longitude"	"Outfall_Latitude"	"DesignFlow_mgd"	"Statistic"	"Units"	"Mean_ME"	"Median_ME"	"Std_ME"	"Measured_Effluent"	"Permitted_Limit"	"MP_Begin_Date"	"MP_End_Date"	"dmr_flag_units_100"	"dmr_flag_units_1000000"
"VA0057576"	"DOMINION TERMINAL ASSOCIATES LLP"	-76.415479	36.966822	"VA0057576001"	-76.4215833334915	36.9638888887878	1.01	"mon_ave"	"MGD"	21071.1132183333	0.487385	96218.3325988603	441000	NA	"06/01/2016"	"06/30/2016"	"dmr_flag_units_100"	NA
"VA0052621"	"VALLEY MILK PRODUCTS"	-78.35636	38.98779	"VA0052621001"	-78.3600000003511	38.9850000001148	0.08	"mon_ave"	"MGD"	9218.92203571429	0.0495	16383.8263461706	44116	NA	"02/01/2018"	"02/28/2018"	"dmr_flag_units_100"	NA
"VA0052621"	"VALLEY MILK PRODUCTS"	-78.35636	38.98779	"VA0052621001"	-78.3600000003511	38.9850000001148	0.08	"mon_ave"	"MGD"	9218.92203571429	0.0495	16383.8263461706	39554	NA	"12/01/2017"	"12/31/2017"	"dmr_flag_units_100"	NA
"VA0052621"	"VALLEY MILK PRODUCTS"	-78.35636	38.98779	"VA0052621001"	-78.3600000003511	38.9850000001148	0.08	"mon_ave"	"MGD"	9218.92203571429	0.0495	16383.8263461706	39532	NA	"01/01/2018"	"01/31/2018"	"dmr_flag_units_100"	NA
"VA0052621"	"VALLEY MILK PRODUCTS"	-78.35636	38.98779	"VA0052621001"	-78.3600000003511	38.9850000001148	0.08	"mon_ave"	"MGD"	9218.92203571429	0.0495	16383.8263461706	34799	NA	"03/01/2018"	"03/31/2018"	"dmr_flag_units_100"	NA
"VA0052621"	"VALLEY MILK PRODUCTS"	-78.35636	38.98779	"VA0052621001"	-78.3600000003511	38.9850000001148	0.08	"mon_ave"	"MGD"	9218.92203571429	0.0495	16383.8263461706	33844	NA	"04/01/2018"	"04/30/2018"	"dmr_flag_units_100"	NA
"VA0052621"	"VALLEY MILK PRODUCTS"	-78.35636	38.98779	"VA0052621001"	-78.3600000003511	38.9850000001148	0.08	"mon_ave"	"MGD"	9218.92203571429	0.0495	16383.8263461706	33686	NA	"06/01/2018"	"06/30/2018"	"dmr_flag_units_100"	NA
"VA0052621"	"VALLEY MILK PRODUCTS"	-78.35636	38.98779	"VA0052621001"	-78.3600000003511	38.9850000001148	0.08	"mon_ave"	"MGD"	9218.92203571429	0.0495	16383.8263461706	32598	NA	"05/01/2018"	"05/31/2018"	"dmr_flag_units_100"	NA
"VA0004677"	"MOHAWK INDUSTRIES INC"	-79.446543	37.636098	"VA0004677101"	NA	NA	0.5	"mon_ave"	"MGD"	416.69125	0.025	3227.48289435339	25000	NA	"03/01/2010"	"03/31/2010"	"dmr_flag_units_100"	NA
"VA0029785"	"LINCOLN TERMINAL COMPANY"	-77.451871	38.284314	"VA0029785007"	NA	NA	6	"mon_ave"	"MGD"	1350.0009	0	5399.99976000119	21600	NA	"05/01/2016"	"05/31/2016"	"dmr_flag_units_100"	"dmr_flag_units_1000000"
"VA0004090"	"DOMINION ENERGY- SURRY AND GRAVEL NECK STATIONS"	-76.6911	37.1575	"VA0004090101"	-76.7063888888716	37.1716666670214	2170	"mon_ave"	"MGD"	596.362917392157	0.0205435	2998.29977673762	18461	NA	"12/01/2016"	"12/31/2016"	"dmr_flag_units_100"	NA
"VA0004090"	"DOMINION ENERGY- SURRY AND GRAVEL NECK STATIONS"	-76.6911	37.1575	"VA0004090101"	-76.7063888888716	37.1716666670214	2170	"mon_ave"	"MGD"	596.362917392157	0.0205435	2998.29977673762	15055	NA	"11/01/2016"	"11/30/2016"	"dmr_flag_units_100"	NA
"VA0004090"	"DOMINION ENERGY- SURRY AND GRAVEL NECK STATIONS"	-76.6911	37.1575	"VA0004090101"	-76.7063888888716	37.1716666670214	2170	"mon_ave"	"MGD"	596.362917392157	0.0205435	2998.29977673762	15041	NA	"08/01/2017"	"08/31/2017"	"dmr_flag_units_100"	NA
"VA0029785"	"LINCOLN TERMINAL COMPANY"	-77.451871	38.284314	"VA0029785009"	-77.4497770000665	38.2849709997308	6	"mon_ave"	"MGD"	762.370720941177	0.01152	3143.25711894245	12960	NA	"06/01/2017"	"06/30/2017"	"dmr_flag_units_100"	"dmr_flag_units_1000000"
"VA0004090"	"DOMINION ENERGY- SURRY AND GRAVEL NECK STATIONS"	-76.6911	37.1575	"VA0004090101"	-76.7063888888716	37.1716666670214	2170	"mon_ave"	"MGD"	596.362917392157	0.0205435	2998.29977673762	12270	NA	"10/01/2017"	"10/31/2017"	"dmr_flag_units_100"	NA
