"Facility.ID"	"FacilityName"	"Facility_Longitude"	"Facility_Latitude"	"OutfallID"	"Outfall_Longitude"	"Outfall_Latitude"	"DesignFlow_mgd"	"Statistic"	"Measured_Effluent"	"Units"	"Permitted_Limit"	"MP_Begin_Date"	"MP_End_Date"	"dmr_flag_desflow"
"VA0057576"	"DOMINION TERMINAL ASSOCIATES LLP"	-76.415479	36.966822	"VA0057576001"	-76.4215833334915	36.9638888887878	1.01	"mon_ave"	441000	"MGD"	NA	"06/01/2016"	"06/30/2016"	"dmr_flag_desflow"
"VA0052621"	"VALLEY MILK PRODUCTS"	-78.35636	38.98779	"VA0052621001"	-78.3600000003511	38.9850000001148	0.08	"mon_ave"	44116	"MGD"	NA	"02/01/2018"	"02/28/2018"	"dmr_flag_desflow"
"VA0052621"	"VALLEY MILK PRODUCTS"	-78.35636	38.98779	"VA0052621001"	-78.3600000003511	38.9850000001148	0.08	"mon_ave"	39554	"MGD"	NA	"12/01/2017"	"12/31/2017"	"dmr_flag_desflow"
"VA0052621"	"VALLEY MILK PRODUCTS"	-78.35636	38.98779	"VA0052621001"	-78.3600000003511	38.9850000001148	0.08	"mon_ave"	39532	"MGD"	NA	"01/01/2018"	"01/31/2018"	"dmr_flag_desflow"
"VA0052621"	"VALLEY MILK PRODUCTS"	-78.35636	38.98779	"VA0052621001"	-78.3600000003511	38.9850000001148	0.08	"mon_ave"	34799	"MGD"	NA	"03/01/2018"	"03/31/2018"	"dmr_flag_desflow"
"VA0052621"	"VALLEY MILK PRODUCTS"	-78.35636	38.98779	"VA0052621001"	-78.3600000003511	38.9850000001148	0.08	"mon_ave"	33844	"MGD"	NA	"04/01/2018"	"04/30/2018"	"dmr_flag_desflow"
"VA0052621"	"VALLEY MILK PRODUCTS"	-78.35636	38.98779	"VA0052621001"	-78.3600000003511	38.9850000001148	0.08	"mon_ave"	33686	"MGD"	NA	"06/01/2018"	"06/30/2018"	"dmr_flag_desflow"
"VA0052621"	"VALLEY MILK PRODUCTS"	-78.35636	38.98779	"VA0052621001"	-78.3600000003511	38.9850000001148	0.08	"mon_ave"	32598	"MGD"	NA	"05/01/2018"	"05/31/2018"	"dmr_flag_desflow"
"VA0004677"	"MOHAWK INDUSTRIES INC"	-79.446543	37.636098	"VA0004677101"	NA	NA	0.5	"mon_ave"	25000	"MGD"	NA	"03/01/2010"	"03/31/2010"	"dmr_flag_desflow"
"VA0029785"	"LINCOLN TERMINAL COMPANY"	-77.451871	38.284314	"VA0029785007"	NA	NA	6	"mon_ave"	21600	"MGD"	NA	"05/01/2016"	"05/31/2016"	"dmr_flag_desflow"
"VA0004090"	"DOMINION ENERGY- SURRY AND GRAVEL NECK STATIONS"	-76.6911	37.1575	"VA0004090101"	-76.7063888888716	37.1716666670214	2170	"mon_ave"	18461	"MGD"	NA	"12/01/2016"	"12/31/2016"	"dmr_flag_desflow"
"VA0029785"	"LINCOLN TERMINAL COMPANY"	-77.451871	38.284314	"VA0029785009"	-77.4497770000665	38.2849709997308	6	"mon_ave"	12960	"MGD"	NA	"06/01/2017"	"06/30/2017"	"dmr_flag_desflow"
"VA0004090"	"DOMINION ENERGY- SURRY AND GRAVEL NECK STATIONS"	-76.6911	37.1575	"VA0004090101"	-76.7063888888716	37.1716666670214	2170	"mon_ave"	15055	"MGD"	NA	"11/01/2016"	"11/30/2016"	"dmr_flag_desflow"
"VA0004090"	"DOMINION ENERGY- SURRY AND GRAVEL NECK STATIONS"	-76.6911	37.1575	"VA0004090101"	-76.7063888888716	37.1716666670214	2170	"mon_ave"	15041	"MGD"	NA	"08/01/2017"	"08/31/2017"	"dmr_flag_desflow"
"VA0004090"	"DOMINION ENERGY- SURRY AND GRAVEL NECK STATIONS"	-76.6911	37.1575	"VA0004090101"	-76.7063888888716	37.1716666670214	2170	"mon_ave"	12270	"MGD"	NA	"10/01/2017"	"10/31/2017"	"dmr_flag_desflow"
"VA0029785"	"LINCOLN TERMINAL COMPANY"	-77.451871	38.284314	"VA0029785006"	-77.4498359996178	38.2849580000889	6	"mon_ave"	10080	"MGD"	NA	"06/01/2017"	"06/30/2017"	"dmr_flag_desflow"
"VA0029785"	"LINCOLN TERMINAL COMPANY"	-77.451871	38.284314	"VA0029785006"	-77.4498359996178	38.2849580000889	6	"mon_ave"	8640	"MGD"	NA	"12/01/2015"	"12/31/2015"	"dmr_flag_desflow"
"VA0029785"	"LINCOLN TERMINAL COMPANY"	-77.451871	38.284314	"VA0029785006"	-77.4498359996178	38.2849580000889	6	"mon_ave"	7920	"MGD"	NA	"10/01/2016"	"10/31/2016"	"dmr_flag_desflow"
"VA0029785"	"LINCOLN TERMINAL COMPANY"	-77.451871	38.284314	"VA0029785006"	-77.4498359996178	38.2849580000889	6	"mon_ave"	7200	"MGD"	NA	"08/01/2016"	"08/31/2016"	"dmr_flag_desflow"
"VA0029785"	"LINCOLN TERMINAL COMPANY"	-77.451871	38.284314	"VA0029785006"	-77.4498359996178	38.2849580000889	6	"mon_ave"	7200	"MGD"	NA	"11/01/2016"	"11/30/2016"	"dmr_flag_desflow"
"VA0029785"	"LINCOLN TERMINAL COMPANY"	-77.451871	38.284314	"VA0029785006"	-77.4498359996178	38.2849580000889	6	"mon_ave"	7200	"MGD"	NA	"05/01/2016"	"05/31/2016"	"dmr_flag_desflow"
"VA0029785"	"LINCOLN TERMINAL COMPANY"	-77.451871	38.284314	"VA0029785006"	-77.4498359996178	38.2849580000889	6	"mon_ave"	6480	"MGD"	NA	"11/01/2015"	"11/30/2015"	"dmr_flag_desflow"
"VA0029785"	"LINCOLN TERMINAL COMPANY"	-77.451871	38.284314	"VA0029785008"	-77.4507360001414	38.2848499998824	6	"mon_ave"	4320	"MGD"	NA	"06/01/2017"	"06/30/2017"	"dmr_flag_desflow"
"VA0029785"	"LINCOLN TERMINAL COMPANY"	-77.451871	38.284314	"VA0029785006"	-77.4498359996178	38.2849580000889	6	"mon_ave"	2160	"MGD"	NA	"01/01/2017"	"01/31/2017"	"dmr_flag_desflow"
"VA0057576"	"DOMINION TERMINAL ASSOCIATES LLP"	-76.415479	36.966822	"VA0057576001"	-76.4215833334915	36.9638888887878	1.01	"mon_ave"	1476	"MGD"	NA	"08/01/2016"	"08/31/2016"	"dmr_flag_desflow"
"VA0003077"	"DUPONT TEIJIN FILMS - HOPEWELL SITE"	-77.291096	37.350627	"VA0003077101"	-77.2922222225966	37.3513888887209	1	"mon_ave"	993	"MGD"	NA	"02/01/2018"	"02/28/2018"	"dmr_flag_desflow"
"VA0003077"	"DUPONT TEIJIN FILMS - HOPEWELL SITE"	-77.291096	37.350627	"VA0003077001"	-77.2912800003564	37.35300000025	1	"mon_ave"	610	"MGD"	NA	"10/01/2013"	"10/31/2013"	"dmr_flag_desflow"
"VA0050181"	"MANASSAS CITY WATER TREATMENT PLANT"	-77.62245	38.76297	"VA0050181001"	-77.6213888890885	38.7611111110197	0.903	"mon_ave"	454	"MGD"	NA	"01/01/2017"	"03/31/2017"	"dmr_flag_desflow"
"VA0050181"	"MANASSAS CITY WATER TREATMENT PLANT"	-77.62245	38.76297	"VA0050181001"	-77.6213888890885	38.7611111110197	0.903	"mon_ave"	400	"MGD"	NA	"10/01/2016"	"12/31/2016"	"dmr_flag_desflow"
"VA0004090"	"DOMINION ENERGY- SURRY AND GRAVEL NECK STATIONS"	-76.6911	37.1575	"VA0004090001"	-76.7063888888716	37.1716666670214	2170	"mon_ave"	2375.3	"MGD"	NA	"12/01/2016"	"12/31/2016"	"dmr_flag_desflow"
"VA0004138"	"DOMINION - BREMO POWER STATION"	-78.28784	37.71175	"VA0004138001"	-78.2881089995661	37.7079239996663	4.59	"mon_ave"	164.2	"MGD"	NA	"07/01/2011"	"07/31/2011"	"dmr_flag_desflow"
"VA0004138"	"DOMINION - BREMO POWER STATION"	-78.28784	37.71175	"VA0004138001"	-78.2881089995661	37.7079239996663	4.59	"mon_ave"	162.7	"MGD"	NA	"12/01/2010"	"12/31/2010"	"dmr_flag_desflow"
"VA0004138"	"DOMINION - BREMO POWER STATION"	-78.28784	37.71175	"VA0004138001"	-78.2881089995661	37.7079239996663	4.59	"mon_ave"	157.6	"MGD"	NA	"07/01/2012"	"07/31/2012"	"dmr_flag_desflow"
"VA0004138"	"DOMINION - BREMO POWER STATION"	-78.28784	37.71175	"VA0004138001"	-78.2881089995661	37.7079239996663	4.59	"mon_ave"	157.6	"MGD"	NA	"07/01/2013"	"07/31/2013"	"dmr_flag_desflow"
